hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,300,0.4788,0.7532,0.7463,0.8902,0.8359,0.8350
415,3,0.43,300,0.6494,0.8214,0.8120,0.8569,0.8241,0.8237
68,3,0.15,300,0.7130,0.9379,0.9372,0.8481,0.8061,0.8047
115,1,0.45,300,0.8683,0.9613,0.9757,0.8165,0.7972,0.7957
401,3,0.05,300,0.5223,0.8303,0.8443,0.8871,0.8273,0.8216
359,1,0.46,300,0.6179,0.8323,0.8371,0.8733,0.8279,0.8266
47,2,0.22,300,0.8417,0.9630,0.9767,0.8200,0.7959,0.7934
144,1,0.38,300,0.7291,0.8754,0.8818,0.8444,0.8152,0.8140
298,2,0.12,300,0.4493,0.7811,0.7894,0.9041,0.8315,0.8292
76,2,0.33,300,0.8593,0.9593,0.9695,0.8135,0.7932,0.7913
15,2,0.34,300,2.0138,2.0293,2.0487,0.5636,0.5629,0.5576
184,1,0.41000000000000003,300,0.7065,0.8624,0.8749,0.8493,0.8183,0.8167
182,1,0.34,300,0.5758,0.8099,0.8166,0.8783,0.8299,0.8287
36,1,0.19,300,0.7953,0.9359,0.9475,0.8302,0.8045,0.8011
48,1,0.34,300,0.9034,0.9926,1.0008,0.8090,0.7922,0.7921
57,2,0.37,300,1.0557,1.1155,1.1306,0.7747,0.7612,0.7604
140,3,0.05,300,0.5649,0.8725,0.8657,0.8787,0.8175,0.8178
222,1,0.31,300,0.5165,0.7943,0.7978,0.8903,0.8338,0.8311
304,3,0.08,300,0.4640,0.8302,0.8292,0.8989,0.8248,0.8252
206,2,0.24,300,0.4578,0.7664,0.7701,0.8978,0.8341,0.8345
184,2,0.2,300,0.5090,0.7798,0.7805,0.8869,0.8314,0.8288
93,2,0.06,300,0.6127,0.8535,0.8580,0.8662,0.8182,0.8169
89,2,0.39,300,0.9501,1.0157,1.0350,0.7992,0.7833,0.7819
139,3,0.11,300,0.5253,0.8439,0.8525,0.8886,0.8221,0.8185
347,3,0.31,300,0.5252,0.7801,0.7861,0.8836,0.8336,0.8302
410,3,0.25,300,0.4813,0.7817,0.7759,0.8937,0.8336,0.8316
147,3,0.1,300,0.5125,0.8446,0.8548,0.8909,0.8241,0.8199
144,3,0.22,300,0.5861,0.8273,0.8394,0.8727,0.8223,0.8206
194,1,0.09,300,0.4974,0.8173,0.8273,0.8935,0.8268,0.8283
43,3,0.07,300,0.7535,1.0029,1.0144,0.8441,0.8007,0.7977
349,3,0.29,300,0.4739,0.7802,0.7686,0.8944,0.8355,0.8321
252,3,0.22,300,0.4754,0.7914,0.7979,0.8966,0.8324,0.8275
233,3,0.19,300,0.5116,0.8103,0.8100,0.8905,0.8292,0.8291
181,2,0.17,300,0.4708,0.7810,0.7868,0.8964,0.8315,0.8309
38,3,0.34,300,1.7413,1.7692,1.7796,0.6033,0.5985,0.5988
92,2,0.07,300,0.5362,0.8466,0.8523,0.8850,0.8199,0.8192
298,2,0.29,300,0.5056,0.7636,0.7679,0.8869,0.8330,0.8326
107,3,0.4,300,1.0577,1.1312,1.1372,0.7792,0.7663,0.7656
19,1,0.05,300,0.8330,0.9834,1.0068,0.8238,0.7963,0.7928
90,2,0.17,300,0.5743,0.8232,0.8259,0.8734,0.8231,0.8218
44,2,0.23,300,0.9087,1.0035,1.0237,0.8087,0.7881,0.7852
39,3,0.31,300,1.5973,1.6543,1.6601,0.6613,0.6524,0.6494
85,2,0.29,300,0.7195,0.8698,0.8799,0.8416,0.8115,0.8114
112,2,0.33,300,0.6962,0.8458,0.8422,0.8469,0.8182,0.8170
427,1,0.04,300,0.4399,0.8299,0.8292,0.9080,0.8254,0.8277
125,2,0.13,300,0.5155,0.8051,0.8108,0.8865,0.8276,0.8272
134,3,0.0,300,0.6311,0.9150,0.9229,0.8650,0.8099,0.8116
421,2,0.5,300,0.6686,0.8223,0.8181,0.8498,0.8215,0.8188
113,3,0.49,300,1.3430,1.3802,1.3912,0.7041,0.6955,0.6975
73,3,0.46,300,1.6276,1.6537,1.6676,0.6424,0.6374,0.6344
