hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,0.6181,1.3939,1.4055,0.8735,0.7131,0.7077
147,1,0.26,134,0.6187,1.5223,1.5590,0.8710,0.6967,0.6908
59,3,0.41000000000000003,172,1.4407,1.8736,1.9076,0.6586,0.5981,0.5899
190,2,0.13,160,0.7943,1.6151,1.6517,0.8231,0.6723,0.6663
484,3,0.06,100,0.7581,1.7013,1.7436,0.8347,0.6617,0.6600
97,1,0.5,242,0.5960,1.3735,1.3862,0.8761,0.7165,0.7113
18,3,0.3,174,1.8206,2.2331,2.2221,0.6074,0.5398,0.5370
261,3,0.14,153,0.6853,1.6118,1.6496,0.8495,0.6825,0.6792
257,1,0.19,108,0.7859,1.6261,1.6497,0.8291,0.6748,0.6694
45,1,0.5,210,0.6969,1.4459,1.4773,0.8550,0.7048,0.7002
60,3,0.34,163,1.2786,1.8568,1.8691,0.7041,0.6091,0.6014
72,3,0.38,276,1.1397,1.7289,1.7544,0.7147,0.6282,0.6233
183,3,0.28,242,0.8969,1.5429,1.5652,0.7904,0.6804,0.6694
333,2,0.11,292,0.7910,1.6036,1.6180,0.8310,0.6702,0.6686
497,3,0.45,153,1.0146,1.5640,1.5863,0.7604,0.6661,0.6621
302,2,0.45,257,0.6716,1.4226,1.4540,0.8564,0.7091,0.7011
263,1,0.02,89,0.8205,1.7601,1.7794,0.8257,0.6577,0.6535
118,3,0.47000000000000003,48,1.3125,1.7337,1.7440,0.6791,0.6199,0.6158
114,1,0.16,52,0.7852,1.6204,1.6507,0.8297,0.6794,0.6748
182,2,0.44,131,0.7158,1.4587,1.4713,0.8426,0.7013,0.6950
195,3,0.37,49,1.0471,1.6351,1.6610,0.7468,0.6487,0.6415
191,1,0.22,124,0.7012,1.5587,1.6092,0.8504,0.6857,0.6776
278,2,0.24,192,0.5535,1.5139,1.5501,0.8765,0.7010,0.6947
55,1,0.14,120,0.7396,1.6277,1.6528,0.8435,0.6802,0.6747
393,2,0.02,184,0.7044,1.6864,1.7326,0.8539,0.6598,0.6547
357,1,0.25,263,0.7400,1.5761,1.5868,0.8427,0.6803,0.6769
255,1,0.19,268,0.6488,1.5842,1.6156,0.8642,0.6831,0.6781
48,3,0.34,88,1.3817,1.9066,1.9149,0.6727,0.5889,0.5879
117,3,0.05,110,1.1922,1.7657,1.7785,0.7294,0.6312,0.6306
484,3,0.28,280,0.6996,1.5167,1.5334,0.8378,0.6964,0.6907
137,3,0.05,168,0.9479,1.7079,1.7369,0.7945,0.6536,0.6484
23,2,0.0,276,1.0154,1.7852,1.8187,0.7833,0.6475,0.6425
115,1,0.31,178,0.5182,1.4952,1.5176,0.8908,0.7076,0.7035
56,1,0.13,82,0.8937,1.6391,1.6692,0.8048,0.6699,0.6636
50,1,0.22,250,0.6428,1.5568,1.5604,0.8636,0.6945,0.6925
108,3,0.32,257,0.9608,1.6189,1.6607,0.7629,0.6588,0.6517
143,2,0.47000000000000003,143,0.8257,1.5004,1.5184,0.8155,0.6883,0.6837
160,1,0.3,250,0.6046,1.5020,1.5159,0.8779,0.6979,0.6966
174,1,0.15,82,0.7751,1.6413,1.6618,0.8321,0.6763,0.6710
145,2,0.24,207,0.6285,1.5084,1.5425,0.8646,0.7000,0.6901
94,1,0.01,168,0.8963,1.7079,1.7355,0.8097,0.6581,0.6505
68,3,0.28,206,1.2682,1.7706,1.7867,0.6755,0.6086,0.6052
16,3,0.3,75,2.0883,2.2966,2.3118,0.5379,0.5092,0.5034
151,2,0.14,218,0.7339,1.6005,1.6025,0.8427,0.6771,0.6779
132,3,0.38,164,1.2423,1.6971,1.7094,0.6907,0.6232,0.6175
125,1,0.06,144,0.7949,1.6793,1.6987,0.8308,0.6687,0.6672
487,1,0.38,212,0.5579,1.4992,1.5144,0.8894,0.7047,0.6990
134,3,0.36,257,0.9618,1.6408,1.6697,0.7729,0.6636,0.6549
34,3,0.3,103,1.5060,1.9946,2.0058,0.6507,0.5693,0.5655
11,1,0.23,111,0.9733,1.6803,1.6806,0.7902,0.6635,0.6549
