hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,2.1971,2.2667,2.2889,0.5388,0.5287,0.5229
147,1,0.26,134,1.6205,1.9133,1.9358,0.6578,0.6009,0.5929
59,3,0.41000000000000003,172,2.6596,2.6665,2.6824,0.4272,0.4240,0.4209
190,2,0.13,160,1.2128,1.8061,1.8223,0.7410,0.6188,0.6148
484,3,0.06,100,1.1413,1.8498,1.8746,0.7519,0.6133,0.6086
97,1,0.5,242,2.1517,2.2256,2.2477,0.5471,0.5327,0.5294
18,3,0.3,174,2.8852,2.8878,2.8997,0.3810,0.3805,0.3763
261,3,0.14,153,1.2242,1.7665,1.7978,0.7364,0.6234,0.6199
257,1,0.19,108,1.3748,1.8695,1.8917,0.7105,0.6105,0.6050
45,1,0.5,210,2.4360,2.4642,2.4846,0.4842,0.4795,0.4744
60,3,0.34,163,2.4580,2.4847,2.5042,0.4712,0.4654,0.4598
72,3,0.38,276,2.3060,2.3482,2.3776,0.5151,0.5082,0.4986
183,3,0.28,242,1.5276,1.8095,1.8314,0.6666,0.6111,0.6065
333,2,0.11,292,0.8740,1.7629,1.7874,0.8189,0.6373,0.6278
497,3,0.45,153,2.1002,2.1869,2.2114,0.5478,0.5368,0.5271
302,2,0.45,257,1.8419,2.0052,2.0351,0.6011,0.5770,0.5729
263,1,0.02,89,1.4548,2.0199,2.0262,0.6886,0.5834,0.5824
118,3,0.47000000000000003,48,2.7403,2.7438,2.7605,0.4102,0.4073,0.4034
114,1,0.16,52,1.9617,2.1386,2.1560,0.5823,0.5495,0.5458
182,2,0.44,131,2.2413,2.2902,2.3177,0.5195,0.5151,0.5070
195,3,0.37,49,2.3835,2.4055,2.4296,0.4913,0.4883,0.4789
191,1,0.22,124,1.4257,1.8563,1.8899,0.6979,0.6136,0.6044
278,2,0.24,192,1.2661,1.7345,1.7623,0.7251,0.6336,0.6263
55,1,0.14,120,1.9239,2.1059,2.1317,0.5849,0.5494,0.5476
393,2,0.02,184,0.8674,1.8732,1.8921,0.8163,0.6216,0.6181
357,1,0.25,263,0.7650,1.6956,1.7050,0.8535,0.6537,0.6472
255,1,0.19,268,0.8835,1.7516,1.7649,0.8188,0.6436,0.6395
48,3,0.34,88,2.7269,2.7291,2.7413,0.4154,0.4133,0.4099
117,3,0.05,110,1.4512,1.9407,1.9586,0.6832,0.5944,0.5899
484,3,0.28,280,1.2056,1.7058,1.7288,0.7333,0.6453,0.6358
137,3,0.05,168,1.4354,1.9362,1.9651,0.6886,0.5904,0.5845
23,2,0.0,276,1.8827,2.2216,2.2706,0.5887,0.5411,0.5274
115,1,0.31,178,1.7352,1.9598,1.9842,0.6364,0.5909,0.5833
56,1,0.13,82,2.0544,2.1925,2.2094,0.5613,0.5367,0.5346
50,1,0.22,250,1.7787,2.0055,2.0350,0.6216,0.5764,0.5709
108,3,0.32,257,1.9349,2.0528,2.0790,0.5797,0.5574,0.5510
143,2,0.47000000000000003,143,2.2816,2.3127,2.3373,0.5168,0.5142,0.5059
160,1,0.3,250,1.3448,1.7799,1.8026,0.7233,0.6274,0.6221
174,1,0.15,82,1.6303,1.9733,2.0007,0.6494,0.5829,0.5764
145,2,0.24,207,1.5179,1.8240,1.8463,0.6730,0.6125,0.6061
94,1,0.01,168,1.5158,2.0528,2.0908,0.6716,0.5765,0.5738
68,3,0.28,206,2.1340,2.2080,2.2299,0.5449,0.5334,0.5250
16,3,0.3,75,3.0569,3.0523,3.0655,0.3655,0.3645,0.3612
151,2,0.14,218,1.2927,1.8112,1.8296,0.7244,0.6155,0.6130
132,3,0.38,164,2.1805,2.2284,2.2510,0.5351,0.5276,0.5201
125,1,0.06,144,1.5027,1.9868,2.0053,0.6751,0.5873,0.5817
487,1,0.38,212,1.2454,1.7420,1.7692,0.7576,0.6366,0.6297
134,3,0.36,257,1.9438,2.0557,2.0795,0.5801,0.5618,0.5568
34,3,0.3,103,2.7329,2.7322,2.7499,0.4185,0.4166,0.4117
11,1,0.23,111,2.6588,2.6733,2.6858,0.4391,0.4341,0.4295
