hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,768,0.5259,0.5460,0.5716,0.8941,0.8911,0.8891
415,3,0.43,768,0.5786,0.5983,0.6216,0.8840,0.8818,0.8792
68,3,0.15,768,0.5881,0.6090,0.6424,0.8842,0.8821,0.8772
115,1,0.45,768,0.6086,0.6244,0.6473,0.8771,0.8748,0.8719
401,3,0.05,768,0.3588,0.4036,0.4343,0.9247,0.9167,0.9130
359,1,0.46,768,0.5755,0.5951,0.6185,0.8856,0.8819,0.8798
47,2,0.22,768,0.6514,0.6685,0.6940,0.8685,0.8660,0.8632
144,1,0.38,768,0.5317,0.5519,0.5724,0.8899,0.8868,0.8851
298,2,0.12,768,0.3508,0.3989,0.4182,0.9251,0.9165,0.9139
76,2,0.33,768,0.6545,0.6703,0.6941,0.8684,0.8659,0.8641
15,2,0.34,768,1.8208,1.8372,1.8652,0.6178,0.6150,0.6142
184,1,0.41000000000000003,768,0.5567,0.5772,0.6007,0.8863,0.8829,0.8806
182,1,0.34,768,0.4642,0.4905,0.5156,0.9031,0.8982,0.8955
36,1,0.19,768,0.5307,0.5524,0.5746,0.8891,0.8857,0.8821
48,1,0.34,768,0.6425,0.6605,0.6777,0.8676,0.8649,0.8625
57,2,0.37,768,0.8381,0.8530,0.8757,0.8418,0.8410,0.8379
140,3,0.05,768,0.4019,0.4348,0.4612,0.9163,0.9108,0.9075
222,1,0.31,768,0.4684,0.4957,0.5176,0.9014,0.8957,0.8942
304,3,0.08,768,0.3690,0.4088,0.4329,0.9228,0.9168,0.9137
206,2,0.24,768,0.4142,0.4406,0.4684,0.9132,0.9089,0.9054
184,2,0.2,768,0.4217,0.4490,0.4731,0.9111,0.9067,0.9044
93,2,0.06,768,0.4290,0.4565,0.4853,0.9094,0.9045,0.9013
89,2,0.39,768,0.6766,0.6913,0.7158,0.8654,0.8634,0.8604
139,3,0.11,768,0.3842,0.4194,0.4510,0.9204,0.9150,0.9110
347,3,0.31,768,0.4696,0.4942,0.5186,0.9032,0.9001,0.8979
410,3,0.25,768,0.4115,0.4442,0.4651,0.9152,0.9097,0.9076
147,3,0.1,768,0.3967,0.4305,0.4575,0.9185,0.9127,0.9100
144,3,0.22,768,0.4920,0.5163,0.5380,0.8997,0.8960,0.8942
194,1,0.09,768,0.3681,0.4139,0.4347,0.9213,0.9129,0.9113
43,3,0.07,768,0.6184,0.6417,0.6655,0.8798,0.8763,0.8739
349,3,0.29,768,0.4609,0.4854,0.5109,0.9059,0.9022,0.8992
252,3,0.22,768,0.4500,0.4736,0.4977,0.9064,0.9032,0.8996
233,3,0.19,768,0.4070,0.4365,0.4634,0.9155,0.9099,0.9075
181,2,0.17,768,0.3849,0.4166,0.4432,0.9181,0.9128,0.9090
38,3,0.34,768,1.6361,1.6593,1.7050,0.6508,0.6487,0.6482
92,2,0.07,768,0.4146,0.4473,0.4700,0.9117,0.9061,0.9032
298,2,0.29,768,0.4360,0.4626,0.4889,0.9095,0.9056,0.9027
107,3,0.4,768,0.8580,0.8754,0.9001,0.8417,0.8400,0.8380
19,1,0.05,768,0.5781,0.5955,0.6172,0.8819,0.8791,0.8757
90,2,0.17,768,0.4696,0.4946,0.5161,0.9019,0.8978,0.8961
44,2,0.23,768,0.6439,0.6609,0.6868,0.8707,0.8679,0.8646
39,3,0.31,768,1.5875,1.6126,1.6797,0.6560,0.6530,0.6521
85,2,0.29,768,0.5795,0.5975,0.6203,0.8819,0.8798,0.8771
112,2,0.33,768,0.5763,0.5948,0.6146,0.8829,0.8798,0.8787
427,1,0.04,768,0.3754,0.4213,0.4426,0.9205,0.9128,0.9099
125,2,0.13,768,0.4216,0.4499,0.4724,0.9113,0.9062,0.9044
134,3,0.0,768,0.3752,0.4192,0.4441,0.9207,0.9124,0.9090
421,2,0.5,768,0.6074,0.6225,0.6454,0.8812,0.8791,0.8773
113,3,0.49,768,1.1846,1.2038,1.2241,0.7542,0.7514,0.7511
73,3,0.46,768,1.5161,1.5358,1.5574,0.6712,0.6658,0.6654
