hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,0.7876,0.9799,1.0250,0.8339,0.7935,0.7875
147,1,0.26,134,0.7474,0.9749,1.0129,0.8403,0.7940,0.7880
59,3,0.41000000000000003,172,1.5258,1.6442,1.7060,0.6854,0.6660,0.6623
190,2,0.13,160,0.8324,1.0484,1.0854,0.8213,0.7808,0.7743
484,3,0.06,100,0.8939,1.1017,1.1428,0.8079,0.7692,0.7630
97,1,0.5,242,0.8543,1.0172,1.0585,0.8224,0.7866,0.7814
18,3,0.3,174,2.3865,2.4333,2.4702,0.5017,0.4941,0.4949
261,3,0.14,153,0.9044,1.0851,1.1294,0.8075,0.7714,0.7635
257,1,0.19,108,0.7457,0.9816,1.0252,0.8403,0.7929,0.7854
45,1,0.5,210,0.9582,1.1057,1.1548,0.8033,0.7720,0.7647
60,3,0.34,163,1.3013,1.4390,1.4964,0.7316,0.7070,0.7035
72,3,0.38,276,1.3558,1.4811,1.5330,0.7220,0.6990,0.6958
183,3,0.28,242,0.8389,1.0559,1.0924,0.8240,0.7827,0.7770
333,2,0.11,292,0.7613,1.0171,1.0636,0.8374,0.7908,0.7837
497,3,0.45,153,1.1625,1.2786,1.3159,0.7559,0.7319,0.7279
302,2,0.45,257,0.9817,1.1358,1.1666,0.7940,0.7646,0.7607
263,1,0.02,89,0.7763,1.0568,1.0974,0.8336,0.7832,0.7763
118,3,0.47000000000000003,48,1.5469,1.6305,1.6645,0.6775,0.6612,0.6576
114,1,0.16,52,0.7516,0.9877,1.0340,0.8389,0.7923,0.7858
182,2,0.44,131,0.9989,1.1434,1.1788,0.7874,0.7594,0.7549
195,3,0.37,49,1.1158,1.2557,1.2926,0.7668,0.7380,0.7328
191,1,0.22,124,0.7516,0.9738,1.0195,0.8387,0.7942,0.7867
278,2,0.24,192,0.8115,1.0209,1.0605,0.8264,0.7863,0.7804
55,1,0.14,120,0.7298,0.9901,1.0298,0.8446,0.7933,0.7861
393,2,0.02,184,0.7527,1.0389,1.0858,0.8375,0.7852,0.7766
357,1,0.25,263,0.7927,1.0187,1.0679,0.8313,0.7862,0.7790
255,1,0.19,268,0.7520,1.0057,1.0424,0.8395,0.7911,0.7856
48,3,0.34,88,1.4789,1.5985,1.6429,0.7005,0.6813,0.6760
117,3,0.05,110,0.8944,1.0980,1.1425,0.8115,0.7704,0.7642
484,3,0.28,280,0.8725,1.0659,1.1066,0.8177,0.7783,0.7756
137,3,0.05,168,0.8194,1.0557,1.0924,0.8262,0.7809,0.7741
23,2,0.0,276,0.7241,1.0466,1.0838,0.8505,0.7890,0.7846
115,1,0.31,178,0.6732,0.9280,0.9728,0.8569,0.8041,0.7969
56,1,0.13,82,0.7787,1.0130,1.0498,0.8345,0.7885,0.7827
50,1,0.22,250,0.7066,0.9679,1.0066,0.8491,0.7977,0.7930
108,3,0.32,257,1.0249,1.2077,1.2468,0.7840,0.7491,0.7449
143,2,0.47000000000000003,143,0.9889,1.1384,1.1803,0.7930,0.7625,0.7568
160,1,0.3,250,0.7252,0.9626,1.0014,0.8457,0.7974,0.7920
174,1,0.15,82,0.7645,0.9975,1.0392,0.8360,0.7899,0.7832
145,2,0.24,207,0.9015,1.0743,1.1101,0.8078,0.7730,0.7672
94,1,0.01,168,0.6997,1.0190,1.0614,0.8506,0.7915,0.7846
68,3,0.28,206,1.1380,1.2995,1.3475,0.7651,0.7351,0.7288
16,3,0.3,75,2.4699,2.5348,2.6089,0.5048,0.4930,0.4918
151,2,0.14,218,0.7054,0.9654,1.0077,0.8486,0.7973,0.7903
132,3,0.38,164,1.0679,1.2303,1.2649,0.7770,0.7456,0.7401
125,1,0.06,144,0.7512,1.0271,1.0735,0.8402,0.7880,0.7800
487,1,0.38,212,0.7679,0.9800,1.0193,0.8406,0.7949,0.7882
134,3,0.36,257,1.0435,1.2139,1.2503,0.7848,0.7511,0.7470
34,3,0.3,103,1.4819,1.6183,1.7113,0.7102,0.6874,0.6838
11,1,0.23,111,0.9007,1.1432,1.1984,0.8194,0.7705,0.7647
