hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,768,0.4031,0.5389,0.5330,0.9200,0.8978,0.8958
415,3,0.43,768,0.4486,0.5792,0.5668,0.9130,0.8923,0.8909
68,3,0.15,768,0.5075,0.6402,0.6167,0.9012,0.8794,0.8801
115,1,0.45,768,0.5217,0.6177,0.6031,0.8958,0.8789,0.8807
401,3,0.05,768,0.3127,0.4861,0.4776,0.9380,0.9036,0.9068
359,1,0.46,768,0.4387,0.5616,0.5551,0.9144,0.8922,0.8905
47,2,0.22,768,0.5271,0.6413,0.6172,0.8976,0.8796,0.8810
144,1,0.38,768,0.4090,0.5344,0.5255,0.9168,0.8941,0.8965
298,2,0.12,768,0.3118,0.4776,0.4698,0.9358,0.9051,0.9086
76,2,0.33,768,0.5378,0.6444,0.6175,0.8961,0.8797,0.8814
15,2,0.34,768,1.7062,1.7635,1.7549,0.6634,0.6605,0.6611
184,1,0.41000000000000003,768,0.4263,0.5516,0.5406,0.9147,0.8915,0.8921
182,1,0.34,768,0.3510,0.5021,0.4922,0.9286,0.9025,0.9015
36,1,0.19,768,0.4653,0.5714,0.5587,0.9062,0.8855,0.8896
48,1,0.34,768,0.5257,0.6247,0.6023,0.8949,0.8799,0.8817
57,2,0.37,768,0.7478,0.8317,0.8182,0.8531,0.8431,0.8410
140,3,0.05,768,0.2809,0.4948,0.4964,0.9418,0.9055,0.9056
222,1,0.31,768,0.3429,0.4964,0.4870,0.9286,0.9020,0.9019
304,3,0.08,768,0.2814,0.4879,0.4751,0.9409,0.9048,0.9068
206,2,0.24,768,0.3535,0.4992,0.4905,0.9271,0.9017,0.9021
184,2,0.2,768,0.2824,0.4645,0.4547,0.9417,0.9081,0.9095
93,2,0.06,768,0.3176,0.4881,0.4803,0.9337,0.9038,0.9053
89,2,0.39,768,0.5964,0.6857,0.6719,0.8853,0.8714,0.8705
139,3,0.11,768,0.2971,0.4886,0.4766,0.9387,0.9065,0.9094
347,3,0.31,768,0.3372,0.5032,0.4940,0.9320,0.9059,0.9056
410,3,0.25,768,0.2848,0.4728,0.4626,0.9400,0.9108,0.9092
147,3,0.1,768,0.2756,0.4815,0.4662,0.9437,0.9105,0.9111
144,3,0.22,768,0.3939,0.5346,0.5285,0.9232,0.8993,0.8977
194,1,0.09,768,0.2530,0.4681,0.4577,0.9464,0.9079,0.9091
43,3,0.07,768,0.4690,0.6247,0.6005,0.9096,0.8842,0.8868
349,3,0.29,768,0.3339,0.4981,0.4896,0.9325,0.9065,0.9047
252,3,0.22,768,0.3127,0.4808,0.4788,0.9361,0.9092,0.9095
233,3,0.19,768,0.2931,0.4741,0.4698,0.9389,0.9089,0.9079
181,2,0.17,768,0.2782,0.4668,0.4595,0.9425,0.9091,0.9099
38,3,0.34,768,1.5504,1.6135,1.6081,0.6832,0.6797,0.6760
92,2,0.07,768,0.2807,0.4770,0.4668,0.9414,0.9092,0.9092
298,2,0.29,768,0.3088,0.4750,0.4665,0.9353,0.9084,0.9070
107,3,0.4,768,0.8647,0.9519,0.9198,0.8287,0.8219,0.8218
19,1,0.05,768,0.4369,0.5771,0.5572,0.9110,0.8890,0.8916
90,2,0.17,768,0.3318,0.4913,0.4762,0.9319,0.9054,0.9055
44,2,0.23,768,0.5828,0.6929,0.6579,0.8867,0.8706,0.8726
39,3,0.31,768,1.4432,1.5207,1.4987,0.7267,0.7248,0.7242
85,2,0.29,768,0.4637,0.5787,0.5527,0.9088,0.8912,0.8910
112,2,0.33,768,0.4539,0.5705,0.5470,0.9112,0.8911,0.8938
427,1,0.04,768,0.2738,0.4775,0.4858,0.9430,0.9048,0.9067
125,2,0.13,768,0.2891,0.4704,0.4638,0.9398,0.9094,0.9098
134,3,0.0,768,0.3443,0.5138,0.5073,0.9296,0.8993,0.9000
421,2,0.5,768,0.5301,0.6421,0.6205,0.8977,0.8812,0.8819
113,3,0.49,768,1.1151,1.1886,1.1642,0.7706,0.7684,0.7668
73,3,0.46,768,1.3766,1.4424,1.4346,0.7050,0.7018,0.6975
