hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,300,0.9408,1.0733,1.0447,0.7891,0.7711,0.7751
415,3,0.43,300,1.0487,1.1572,1.1209,0.7714,0.7580,0.7611
68,3,0.15,300,1.1613,1.2621,1.2311,0.7519,0.7425,0.7428
115,1,0.45,300,1.1593,1.2340,1.2080,0.7553,0.7450,0.7484
401,3,0.05,300,0.8642,1.0663,1.0385,0.8108,0.7751,0.7799
359,1,0.46,300,1.0092,1.1246,1.1032,0.7854,0.7671,0.7685
47,2,0.22,300,1.2335,1.3062,1.2805,0.7381,0.7319,0.7337
144,1,0.38,300,1.0359,1.1434,1.1219,0.7771,0.7632,0.7652
298,2,0.12,300,0.8002,1.0190,1.0009,0.8198,0.7834,0.7836
76,2,0.33,300,1.2217,1.2865,1.2664,0.7348,0.7305,0.7322
15,2,0.34,300,2.3023,2.3442,2.3191,0.5614,0.5654,0.5678
184,1,0.41000000000000003,300,1.0253,1.1369,1.1146,0.7794,0.7641,0.7653
182,1,0.34,300,0.9475,1.0926,1.0712,0.7934,0.7719,0.7748
36,1,0.19,300,1.1222,1.2154,1.1896,0.7616,0.7487,0.7507
48,1,0.34,300,1.1827,1.2592,1.2456,0.7483,0.7376,0.7415
57,2,0.37,300,1.4034,1.4584,1.4287,0.6996,0.7008,0.7043
140,3,0.05,300,0.9136,1.1039,1.0785,0.8010,0.7685,0.7741
222,1,0.31,300,0.9540,1.0851,1.0663,0.7931,0.7708,0.7732
304,3,0.08,300,0.7908,1.0535,1.0212,0.8254,0.7804,0.7847
206,2,0.24,300,0.8927,1.0524,1.0266,0.8001,0.7768,0.7797
184,2,0.2,300,0.8416,1.0358,1.0137,0.8104,0.7784,0.7797
93,2,0.06,300,0.9210,1.0870,1.0693,0.7974,0.7699,0.7720
89,2,0.39,300,1.2519,1.3145,1.2838,0.7355,0.7329,0.7342
139,3,0.11,300,0.9290,1.1027,1.0891,0.7977,0.7689,0.7718
347,3,0.31,300,0.9197,1.0723,1.0532,0.7957,0.7750,0.7789
410,3,0.25,300,0.8674,1.0541,1.0283,0.8069,0.7791,0.7793
147,3,0.1,300,0.9300,1.0964,1.0845,0.7960,0.7708,0.7738
144,3,0.22,300,0.9995,1.1373,1.1051,0.7821,0.7626,0.7668
194,1,0.09,300,0.8394,1.0575,1.0349,0.8151,0.7817,0.7810
43,3,0.07,300,1.1763,1.3001,1.2725,0.7498,0.7362,0.7387
349,3,0.29,300,0.9666,1.1000,1.0709,0.7854,0.7692,0.7717
252,3,0.22,300,0.8853,1.0668,1.0352,0.8032,0.7773,0.7807
233,3,0.19,300,0.8734,1.0586,1.0406,0.8065,0.7778,0.7801
181,2,0.17,300,0.8782,1.0461,1.0251,0.8040,0.7784,0.7799
38,3,0.34,300,1.9371,2.0109,1.9819,0.6116,0.6122,0.6150
92,2,0.07,300,0.9292,1.0933,1.0701,0.7964,0.7708,0.7706
298,2,0.29,300,0.8746,1.0385,1.0098,0.8039,0.7792,0.7825
107,3,0.4,300,1.3943,1.4601,1.4306,0.6905,0.6893,0.6916
19,1,0.05,300,1.1160,1.2322,1.2160,0.7625,0.7456,0.7483
90,2,0.17,300,0.9507,1.0942,1.0761,0.7896,0.7695,0.7722
44,2,0.23,300,1.2488,1.3191,1.3043,0.7321,0.7288,0.7287
39,3,0.31,300,1.9679,2.0226,1.9992,0.6054,0.6089,0.6134
85,2,0.29,300,1.1113,1.1988,1.1765,0.7597,0.7485,0.7510
112,2,0.33,300,1.1081,1.1941,1.1675,0.7595,0.7494,0.7527
427,1,0.04,300,0.7994,1.0428,1.0300,0.8245,0.7835,0.7826
125,2,0.13,300,0.8892,1.0640,1.0419,0.8021,0.7754,0.7769
134,3,0.0,300,0.8830,1.1193,1.1082,0.8068,0.7673,0.7688
421,2,0.5,300,1.0260,1.1362,1.1065,0.7742,0.7596,0.7640
113,3,0.49,300,1.6365,1.6913,1.6633,0.6627,0.6638,0.6662
73,3,0.46,300,1.8386,1.8950,1.8633,0.6265,0.6262,0.6342
