hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,0.9445,1.3488,1.3470,0.7956,0.7249,0.7216
147,1,0.26,134,0.8795,1.4050,1.3977,0.8045,0.7202,0.7192
59,3,0.41000000000000003,172,1.6236,1.8654,1.8269,0.6523,0.6268,0.6313
190,2,0.13,160,0.8469,1.4331,1.4314,0.8098,0.7142,0.7135
484,3,0.06,100,1.0212,1.4986,1.4939,0.7765,0.6970,0.7000
97,1,0.5,242,0.9769,1.3660,1.3564,0.7868,0.7196,0.7197
18,3,0.3,174,2.2314,2.4213,2.4101,0.5633,0.5451,0.5455
261,3,0.14,153,1.0155,1.4725,1.4609,0.7714,0.7015,0.7012
257,1,0.19,108,0.8570,1.4392,1.4395,0.8101,0.7151,0.7145
45,1,0.5,210,1.0896,1.4385,1.4310,0.7652,0.7060,0.7039
60,3,0.34,163,1.4470,1.7430,1.7329,0.6768,0.6462,0.6446
72,3,0.38,276,1.4027,1.7149,1.6894,0.6857,0.6506,0.6521
183,3,0.28,242,1.1012,1.4702,1.4524,0.7591,0.7006,0.6984
333,2,0.11,292,1.0014,1.4682,1.4712,0.7799,0.6998,0.7015
497,3,0.45,153,1.2827,1.5424,1.5149,0.7229,0.6864,0.6833
302,2,0.45,257,1.0204,1.4390,1.4033,0.7753,0.7135,0.7155
263,1,0.02,89,0.9052,1.5567,1.5773,0.8041,0.6994,0.6991
118,3,0.47000000000000003,48,1.6156,1.8197,1.8041,0.6543,0.6319,0.6293
114,1,0.16,52,0.9342,1.4508,1.4535,0.7943,0.7098,0.7108
182,2,0.44,131,1.1242,1.4578,1.4424,0.7512,0.6975,0.7007
195,3,0.37,49,1.2676,1.5526,1.5472,0.7174,0.6768,0.6741
191,1,0.22,124,0.8930,1.4306,1.4140,0.8037,0.7114,0.7173
278,2,0.24,192,0.8907,1.4012,1.4006,0.8004,0.7174,0.7118
55,1,0.14,120,0.9348,1.4490,1.4624,0.7941,0.7132,0.7113
393,2,0.02,184,0.9302,1.5108,1.5383,0.7940,0.7012,0.6964
357,1,0.25,263,0.9159,1.4476,1.4663,0.7980,0.7076,0.7072
255,1,0.19,268,0.8469,1.4467,1.4519,0.8155,0.7122,0.7128
48,3,0.34,88,1.5225,1.7860,1.7716,0.6651,0.6351,0.6357
117,3,0.05,110,1.0303,1.5343,1.5387,0.7749,0.6956,0.6939
484,3,0.28,280,0.9402,1.4342,1.4279,0.7903,0.7130,0.7128
137,3,0.05,168,1.0513,1.5219,1.5031,0.7708,0.6949,0.6962
23,2,0.0,276,1.1578,1.6021,1.6065,0.7522,0.6821,0.6827
115,1,0.31,178,0.8491,1.3750,1.3740,0.8133,0.7251,0.7239
56,1,0.13,82,0.8731,1.4475,1.4621,0.8091,0.7170,0.7123
50,1,0.22,250,0.8774,1.4168,1.4107,0.8068,0.7151,0.7183
108,3,0.32,257,1.1578,1.5332,1.5150,0.7408,0.6870,0.6846
143,2,0.47000000000000003,143,1.1696,1.4903,1.4696,0.7414,0.6963,0.6960
160,1,0.3,250,0.8647,1.4012,1.3843,0.8107,0.7187,0.7177
174,1,0.15,82,0.9312,1.4541,1.4567,0.7965,0.7099,0.7105
145,2,0.24,207,0.9226,1.3941,1.4087,0.7944,0.7155,0.7146
94,1,0.01,168,1.0147,1.5257,1.5340,0.7820,0.6968,0.6938
68,3,0.28,206,1.3051,1.6522,1.6246,0.7094,0.6604,0.6606
16,3,0.3,75,2.5021,2.6026,2.5773,0.5219,0.5141,0.5142
151,2,0.14,218,0.8973,1.4289,1.4306,0.8012,0.7132,0.7112
132,3,0.38,164,1.2765,1.5785,1.5621,0.7165,0.6766,0.6752
125,1,0.06,144,0.9167,1.5005,1.5021,0.7998,0.7067,0.7046
487,1,0.38,212,0.9221,1.4053,1.3994,0.7961,0.7138,0.7124
134,3,0.36,257,1.1943,1.5391,1.5107,0.7329,0.6871,0.6852
34,3,0.3,103,1.6440,1.9043,1.8712,0.6546,0.6299,0.6320
11,1,0.23,111,1.1094,1.5499,1.5597,0.7622,0.6911,0.6921
