hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,768,0.6226,0.7382,0.7399,0.8761,0.8550,0.8510
415,3,0.43,768,0.6956,0.7980,0.8011,0.8626,0.8438,0.8450
68,3,0.15,768,0.7106,0.8334,0.8354,0.8550,0.8363,0.8370
115,1,0.45,768,0.7969,0.8657,0.8655,0.8412,0.8246,0.8298
401,3,0.05,768,0.3924,0.6475,0.6493,0.9177,0.8721,0.8714
359,1,0.46,768,0.7048,0.7974,0.8087,0.8570,0.8379,0.8388
47,2,0.22,768,0.8178,0.9007,0.8862,0.8364,0.8210,0.8255
144,1,0.38,768,0.6146,0.7341,0.7274,0.8748,0.8493,0.8514
298,2,0.12,768,0.4086,0.6244,0.6331,0.9111,0.8702,0.8721
76,2,0.33,768,0.8713,0.9393,0.9230,0.8275,0.8149,0.8185
15,2,0.34,768,2.1926,2.2201,2.2038,0.5583,0.5541,0.5572
184,1,0.41000000000000003,768,0.6675,0.7624,0.7560,0.8616,0.8417,0.8429
182,1,0.34,768,0.5242,0.6655,0.6806,0.8892,0.8603,0.8606
36,1,0.19,768,0.6809,0.7743,0.7685,0.8588,0.8402,0.8421
48,1,0.34,768,0.7811,0.8566,0.8486,0.8398,0.8252,0.8295
57,2,0.37,768,1.0436,1.0992,1.0887,0.8025,0.7894,0.7954
140,3,0.05,768,0.4215,0.6529,0.6599,0.9116,0.8711,0.8688
222,1,0.31,768,0.4906,0.6588,0.6683,0.8991,0.8645,0.8634
304,3,0.08,768,0.3132,0.6135,0.6178,0.9343,0.8804,0.8775
206,2,0.24,768,0.4657,0.6325,0.6437,0.9028,0.8720,0.8689
184,2,0.2,768,0.4280,0.6121,0.6200,0.9078,0.8742,0.8735
93,2,0.06,768,0.4916,0.6539,0.6546,0.8966,0.8644,0.8657
89,2,0.39,768,0.8917,0.9512,0.9458,0.8252,0.8134,0.8119
139,3,0.11,768,0.4666,0.6611,0.6687,0.9040,0.8681,0.8653
347,3,0.31,768,0.5774,0.7082,0.7162,0.8827,0.8599,0.8570
410,3,0.25,768,0.4617,0.6450,0.6404,0.9045,0.8725,0.8727
147,3,0.1,768,0.5105,0.6797,0.6927,0.8940,0.8653,0.8600
144,3,0.22,768,0.5677,0.7128,0.7181,0.8827,0.8601,0.8558
194,1,0.09,768,0.4578,0.6298,0.6426,0.9027,0.8690,0.8665
43,3,0.07,768,0.7301,0.8651,0.8796,0.8560,0.8345,0.8337
349,3,0.29,768,0.5184,0.6716,0.6784,0.8942,0.8659,0.8639
252,3,0.22,768,0.5258,0.6752,0.6881,0.8910,0.8630,0.8611
233,3,0.19,768,0.4335,0.6337,0.6443,0.9104,0.8718,0.8723
181,2,0.17,768,0.4694,0.6248,0.6429,0.9025,0.8699,0.8677
38,3,0.34,768,1.9826,2.0142,1.9943,0.5997,0.5958,0.6008
92,2,0.07,768,0.5141,0.6706,0.6620,0.8918,0.8623,0.8649
298,2,0.29,768,0.4922,0.6495,0.6535,0.8970,0.8690,0.8668
107,3,0.4,768,1.1338,1.1868,1.1797,0.7838,0.7767,0.7769
19,1,0.05,768,0.7130,0.8195,0.8169,0.8530,0.8343,0.8363
90,2,0.17,768,0.5502,0.6890,0.6884,0.8854,0.8578,0.8590
44,2,0.23,768,0.9140,0.9765,0.9725,0.8214,0.8091,0.8127
39,3,0.31,768,1.8728,1.9132,1.8965,0.6159,0.6110,0.6175
85,2,0.29,768,0.7166,0.8061,0.7997,0.8558,0.8395,0.8417
112,2,0.33,768,0.7495,0.8254,0.8227,0.8499,0.8354,0.8347
427,1,0.04,768,0.3055,0.6207,0.6248,0.9336,0.8734,0.8737
125,2,0.13,768,0.5328,0.6716,0.6730,0.8889,0.8612,0.8624
134,3,0.0,768,0.4071,0.6789,0.6835,0.9133,0.8627,0.8603
421,2,0.5,768,0.7915,0.8636,0.8729,0.8479,0.8352,0.8327
113,3,0.49,768,1.4894,1.5356,1.5254,0.7067,0.6972,0.7039
73,3,0.46,768,1.9272,1.9670,1.9592,0.5945,0.5870,0.5903
