hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,300,0.5546,0.7059,0.7212,0.8817,0.8551,0.8538
415,3,0.43,300,0.7483,0.8435,0.8474,0.8454,0.8307,0.8282
68,3,0.15,300,0.9196,1.0195,1.0073,0.8111,0.7947,0.8006
115,1,0.45,300,0.9106,0.9746,0.9730,0.8168,0.8044,0.8066
401,3,0.05,300,0.3793,0.7544,0.7832,0.9223,0.8540,0.8497
359,1,0.46,300,0.7246,0.8288,0.8418,0.8557,0.8336,0.8317
47,2,0.22,300,0.9797,1.0533,1.0411,0.7992,0.7870,0.7879
144,1,0.38,300,0.7721,0.8609,0.8691,0.8436,0.8267,0.8277
298,2,0.12,300,0.4373,0.7066,0.7302,0.9095,0.8559,0.8568
76,2,0.33,300,0.9729,1.0334,1.0200,0.8015,0.7940,0.7969
15,2,0.34,300,2.2100,2.2271,2.2066,0.5809,0.5840,0.5813
184,1,0.41000000000000003,300,0.7515,0.8455,0.8570,0.8478,0.8278,0.8287
182,1,0.34,300,0.6963,0.8145,0.8208,0.8590,0.8350,0.8348
36,1,0.19,300,0.9003,0.9791,0.9784,0.8151,0.8009,0.8013
48,1,0.34,300,1.0061,1.0615,1.0490,0.7971,0.7882,0.7923
57,2,0.37,300,1.1948,1.2330,1.2124,0.7652,0.7599,0.7641
140,3,0.05,300,0.5143,0.8059,0.8248,0.8958,0.8406,0.8425
222,1,0.31,300,0.5850,0.7462,0.7631,0.8813,0.8469,0.8493
304,3,0.08,300,0.4780,0.7369,0.7753,0.9045,0.8532,0.8471
206,2,0.24,300,0.5631,0.7311,0.7470,0.8825,0.8513,0.8485
184,2,0.2,300,0.5383,0.7272,0.7477,0.8868,0.8511,0.8493
93,2,0.06,300,0.5750,0.7955,0.8050,0.8828,0.8427,0.8436
89,2,0.39,300,1.0107,1.0667,1.0493,0.7923,0.7873,0.7881
139,3,0.11,300,0.5480,0.7902,0.7981,0.8883,0.8428,0.8461
347,3,0.31,300,0.5748,0.7324,0.7467,0.8799,0.8489,0.8518
410,3,0.25,300,0.5182,0.7214,0.7419,0.8908,0.8553,0.8523
147,3,0.1,300,0.5508,0.7842,0.8028,0.8877,0.8443,0.8415
144,3,0.22,300,0.7825,0.8946,0.8992,0.8408,0.8211,0.8196
194,1,0.09,300,0.5131,0.7447,0.7584,0.8965,0.8501,0.8502
43,3,0.07,300,0.9242,1.0765,1.0692,0.8164,0.7897,0.7944
349,3,0.29,300,0.5782,0.7441,0.7592,0.8784,0.8486,0.8488
252,3,0.22,300,0.5700,0.7507,0.7705,0.8823,0.8497,0.8486
233,3,0.19,300,0.5296,0.7380,0.7559,0.8908,0.8522,0.8517
181,2,0.17,300,0.5218,0.7290,0.7377,0.8924,0.8536,0.8529
38,3,0.34,300,1.9361,1.9708,1.9469,0.6133,0.6095,0.6105
92,2,0.07,300,0.5954,0.8029,0.8172,0.8770,0.8378,0.8359
298,2,0.29,300,0.5215,0.7031,0.7188,0.8903,0.8540,0.8535
107,3,0.4,300,1.2009,1.2504,1.2291,0.7640,0.7560,0.7611
19,1,0.05,300,0.9344,1.0324,1.0262,0.8089,0.7895,0.7947
90,2,0.17,300,0.6941,0.8328,0.8369,0.8571,0.8295,0.8311
44,2,0.23,300,1.0274,1.0923,1.0765,0.7910,0.7794,0.7836
39,3,0.31,300,1.8048,1.8362,1.8177,0.6372,0.6328,0.6321
85,2,0.29,300,0.8716,0.9506,0.9460,0.8180,0.8044,0.8066
112,2,0.33,300,0.8239,0.9052,0.9008,0.8297,0.8156,0.8165
427,1,0.04,300,0.4347,0.7325,0.7578,0.9127,0.8527,0.8508
125,2,0.13,300,0.5332,0.7511,0.7691,0.8895,0.8476,0.8467
134,3,0.0,300,0.6080,0.8719,0.8691,0.8767,0.8255,0.8291
421,2,0.5,300,0.7196,0.8087,0.8106,0.8474,0.8326,0.8325
113,3,0.49,300,1.4276,1.4595,1.4370,0.7219,0.7130,0.7204
73,3,0.46,300,1.7414,1.7551,1.7418,0.6611,0.6560,0.6638
