hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,0.8296,1.7763,1.7666,0.8316,0.6484,0.6508
147,1,0.26,134,0.8538,1.9437,1.9107,0.8260,0.6265,0.6363
59,3,0.41000000000000003,172,1.7428,2.3614,2.3565,0.6005,0.5015,0.5079
190,2,0.13,160,1.1532,2.0490,1.9827,0.7622,0.6040,0.6137
484,3,0.06,100,1.4576,2.1494,2.1130,0.6901,0.5749,0.5786
97,1,0.5,242,0.8830,1.7856,1.7491,0.8268,0.6427,0.6525
18,3,0.3,174,2.3619,2.8475,2.8374,0.5141,0.4389,0.4431
261,3,0.14,153,1.3149,2.0801,2.0223,0.7190,0.5895,0.6009
257,1,0.19,108,1.0459,2.0261,1.9668,0.7873,0.6123,0.6188
45,1,0.5,210,1.0502,1.8409,1.8247,0.7843,0.6256,0.6362
60,3,0.34,163,1.6424,2.2899,2.2811,0.6409,0.5473,0.5446
72,3,0.38,276,1.5506,2.2675,2.2090,0.6648,0.5647,0.5687
183,3,0.28,242,1.0736,2.0092,1.9563,0.7669,0.6090,0.6221
333,2,0.11,292,1.0395,2.0196,1.9761,0.7844,0.6089,0.6146
497,3,0.45,153,1.4297,2.0197,1.9883,0.6927,0.5911,0.6007
302,2,0.45,257,1.0100,1.8724,1.8574,0.7891,0.6290,0.6401
263,1,0.02,89,1.2619,2.2230,2.1501,0.7454,0.5812,0.5941
118,3,0.47000000000000003,48,1.5740,2.2004,2.1569,0.6717,0.5669,0.5697
114,1,0.16,52,1.1172,2.0838,2.0347,0.7665,0.6050,0.6162
182,2,0.44,131,1.1296,1.9081,1.8742,0.7594,0.6190,0.6259
195,3,0.37,49,1.6365,2.1345,2.0857,0.6540,0.5668,0.5735
191,1,0.22,124,1.0847,1.9926,1.9551,0.7777,0.6137,0.6171
278,2,0.24,192,1.0419,1.9303,1.8915,0.7799,0.6222,0.6300
55,1,0.14,120,1.0926,2.0621,2.0152,0.7763,0.6112,0.6163
393,2,0.02,184,1.3308,2.1124,2.0597,0.7268,0.5822,0.5965
357,1,0.25,263,0.9006,1.9670,1.9189,0.8191,0.6200,0.6331
255,1,0.19,268,1.0657,2.0176,1.9829,0.7851,0.6085,0.6167
48,3,0.34,88,1.8290,2.4288,2.4040,0.5875,0.5098,0.5149
117,3,0.05,110,1.3307,2.1631,2.1367,0.7214,0.5858,0.5916
484,3,0.28,280,1.1645,1.9645,1.9348,0.7512,0.6151,0.6283
137,3,0.05,168,1.4233,2.1149,2.0801,0.7067,0.5835,0.5853
23,2,0.0,276,1.6189,2.2798,2.2190,0.6763,0.5616,0.5684
115,1,0.31,178,0.7917,1.8917,1.8546,0.8427,0.6356,0.6448
56,1,0.13,82,1.2405,2.1037,2.0437,0.7458,0.5937,0.6075
50,1,0.22,250,0.9654,1.9734,1.9413,0.8065,0.6201,0.6320
108,3,0.32,257,1.2407,2.0807,2.0406,0.7247,0.5869,0.5944
143,2,0.47000000000000003,143,1.2347,1.9283,1.9091,0.7413,0.6089,0.6172
160,1,0.3,250,0.9709,1.9064,1.8800,0.8059,0.6236,0.6319
174,1,0.15,82,1.1389,2.0722,2.0207,0.7669,0.6008,0.6106
145,2,0.24,207,0.9506,1.9346,1.8769,0.8030,0.6258,0.6349
94,1,0.01,168,1.4382,2.1648,2.1147,0.7091,0.5811,0.5877
68,3,0.28,206,1.4412,2.1437,2.1136,0.6901,0.5694,0.5760
16,3,0.3,75,2.5343,2.8389,2.8360,0.4681,0.4249,0.4268
151,2,0.14,218,1.0786,2.0292,1.9588,0.7754,0.6065,0.6219
132,3,0.38,164,1.3830,2.1039,2.0609,0.6912,0.5786,0.5839
125,1,0.06,144,1.1928,2.1295,2.1222,0.7574,0.5928,0.6030
487,1,0.38,212,0.8764,1.8688,1.8622,0.8266,0.6292,0.6357
134,3,0.36,257,1.2437,2.0553,2.0269,0.7284,0.5886,0.5953
34,3,0.3,103,2.0254,2.5103,2.5029,0.5599,0.5010,0.4987
11,1,0.23,111,1.1942,2.0974,2.0547,0.7581,0.6015,0.6128
