hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,2.8302,2.8662,2.8319,0.4456,0.4409,0.4493
147,1,0.26,134,2.3931,2.5369,2.4977,0.5219,0.4998,0.5060
59,3,0.41000000000000003,172,3.1778,3.1841,3.1489,0.3650,0.3648,0.3700
190,2,0.13,160,2.0088,2.3206,2.2735,0.5910,0.5348,0.5476
484,3,0.06,100,1.8664,2.3036,2.2642,0.6193,0.5403,0.5486
97,1,0.5,242,2.7851,2.8274,2.7836,0.4523,0.4491,0.4543
18,3,0.3,174,3.4188,3.4373,3.4045,0.3015,0.2983,0.2988
261,3,0.14,153,2.0526,2.3098,2.2746,0.5827,0.5338,0.5426
257,1,0.19,108,2.1288,2.4085,2.3703,0.5746,0.5253,0.5330
45,1,0.5,210,3.0257,3.0415,3.0077,0.4058,0.4049,0.4096
60,3,0.34,163,3.0359,3.0452,3.0096,0.3950,0.3953,0.3986
72,3,0.38,276,2.9427,2.9397,2.9258,0.4162,0.4196,0.4192
183,3,0.28,242,2.4436,2.5328,2.4927,0.5081,0.4954,0.5006
333,2,0.11,292,1.5288,2.2401,2.2139,0.6898,0.5594,0.5642
497,3,0.45,153,2.8192,2.8333,2.8056,0.4389,0.4383,0.4431
302,2,0.45,257,2.7056,2.7486,2.7184,0.4597,0.4545,0.4603
263,1,0.02,89,2.1527,2.5397,2.4846,0.5690,0.5114,0.5211
118,3,0.47000000000000003,48,3.2686,3.2721,3.2391,0.3533,0.3540,0.3553
114,1,0.16,52,2.6361,2.7228,2.6837,0.4767,0.4645,0.4721
182,2,0.44,131,2.8131,2.8287,2.8024,0.4385,0.4384,0.4399
195,3,0.37,49,2.9419,2.9467,2.9067,0.4191,0.4209,0.4244
191,1,0.22,124,2.2701,2.4706,2.4211,0.5466,0.5109,0.5211
278,2,0.24,192,2.1037,2.3106,2.2890,0.5689,0.5349,0.5425
55,1,0.14,120,2.5906,2.6907,2.6469,0.4824,0.4717,0.4778
393,2,0.02,184,1.7377,2.3678,2.2953,0.6505,0.5382,0.5480
357,1,0.25,263,1.7180,2.2460,2.1973,0.6624,0.5528,0.5714
255,1,0.19,268,1.6915,2.2669,2.2249,0.6586,0.5550,0.5641
48,3,0.34,88,3.2277,3.2324,3.1985,0.3523,0.3530,0.3539
117,3,0.05,110,2.2254,2.4503,2.4032,0.5487,0.5106,0.5190
484,3,0.28,280,2.2150,2.3754,2.3431,0.5430,0.5204,0.5254
137,3,0.05,168,2.0785,2.3790,2.3591,0.5777,0.5240,0.5295
23,2,0.0,276,2.5422,2.7069,2.6670,0.4929,0.4727,0.4811
115,1,0.31,178,2.4919,2.5935,2.5640,0.5066,0.4888,0.4963
56,1,0.13,82,2.6982,2.7777,2.7373,0.4665,0.4574,0.4643
50,1,0.22,250,2.4998,2.6129,2.5733,0.5011,0.4855,0.4910
108,3,0.32,257,2.6744,2.7095,2.6706,0.4643,0.4619,0.4649
143,2,0.47000000000000003,143,2.9023,2.9108,2.8796,0.4227,0.4239,0.4276
160,1,0.3,250,2.1916,2.4067,2.3765,0.5669,0.5250,0.5287
174,1,0.15,82,2.3452,2.5425,2.5006,0.5306,0.5000,0.5122
145,2,0.24,207,2.3496,2.4679,2.4215,0.5238,0.5036,0.5125
94,1,0.01,168,2.2579,2.5519,2.5249,0.5484,0.5072,0.5149
68,3,0.28,206,2.7881,2.8045,2.7771,0.4452,0.4459,0.4478
16,3,0.3,75,3.5336,3.5360,3.5066,0.3059,0.3068,0.3065
151,2,0.14,218,2.0894,2.3672,2.3046,0.5731,0.5279,0.5377
132,3,0.38,164,2.8593,2.8748,2.8502,0.4333,0.4331,0.4366
125,1,0.06,144,2.1432,2.5077,2.4612,0.5671,0.5119,0.5227
487,1,0.38,212,2.1643,2.4100,2.3775,0.5785,0.5315,0.5394
134,3,0.36,257,2.6967,2.7295,2.6894,0.4597,0.4569,0.4613
34,3,0.3,103,3.2264,3.2335,3.2033,0.3546,0.3548,0.3564
11,1,0.23,111,3.2007,3.2167,3.1778,0.3756,0.3761,0.3801
