hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,768,0.6876,0.8329,0.8471,0.8633,0.8341,0.8352
415,3,0.43,768,0.7451,0.8674,0.8681,0.8549,0.8291,0.8326
68,3,0.15,768,0.7413,0.8828,0.8911,0.8556,0.8273,0.8296
115,1,0.45,768,0.8000,0.8945,0.8998,0.8411,0.8188,0.8202
401,3,0.05,768,0.4528,0.8082,0.8051,0.9046,0.8434,0.8420
359,1,0.46,768,0.6758,0.8459,0.8606,0.8694,0.8328,0.8338
47,2,0.22,768,0.7726,0.8725,0.8853,0.8513,0.8259,0.8337
144,1,0.38,768,0.6637,0.8188,0.8343,0.8648,0.8316,0.8361
298,2,0.12,768,0.4037,0.7699,0.7990,0.9152,0.8446,0.8435
76,2,0.33,768,0.8311,0.9158,0.9148,0.8373,0.8168,0.8212
15,2,0.34,768,2.0957,2.0990,2.1217,0.5803,0.5785,0.5769
184,1,0.41000000000000003,768,0.6947,0.8344,0.8444,0.8622,0.8314,0.8318
182,1,0.34,768,0.5865,0.7949,0.8069,0.8816,0.8374,0.8410
36,1,0.19,768,0.7086,0.8387,0.8422,0.8576,0.8295,0.8303
48,1,0.34,768,0.7851,0.8675,0.8794,0.8419,0.8244,0.8272
57,2,0.37,768,0.9447,1.0117,1.0161,0.8167,0.8027,0.8027
140,3,0.05,768,0.6228,0.7991,0.8013,0.8741,0.8377,0.8418
222,1,0.31,768,0.6063,0.7883,0.8019,0.8788,0.8397,0.8434
304,3,0.08,768,0.5212,0.7720,0.7951,0.8923,0.8453,0.8418
206,2,0.24,768,0.5396,0.7593,0.7759,0.8877,0.8449,0.8483
184,2,0.2,768,0.4673,0.7521,0.7693,0.9017,0.8492,0.8494
93,2,0.06,768,0.5327,0.7784,0.7869,0.8910,0.8444,0.8440
89,2,0.39,768,0.8557,0.9312,0.9386,0.8325,0.8161,0.8159
139,3,0.11,768,0.5622,0.7913,0.7984,0.8875,0.8459,0.8405
347,3,0.31,768,0.5257,0.7611,0.7783,0.8924,0.8483,0.8495
410,3,0.25,768,0.5030,0.7709,0.7827,0.8955,0.8443,0.8487
147,3,0.1,768,0.5344,0.7832,0.7788,0.8933,0.8412,0.8464
144,3,0.22,768,0.6309,0.8008,0.8199,0.8739,0.8412,0.8420
194,1,0.09,768,0.5044,0.7733,0.7900,0.8948,0.8440,0.8461
43,3,0.07,768,0.7511,0.9199,0.9368,0.8557,0.8223,0.8219
349,3,0.29,768,0.5495,0.7725,0.7959,0.8870,0.8454,0.8426
252,3,0.22,768,0.5616,0.7750,0.7827,0.8856,0.8406,0.8472
233,3,0.19,768,0.4683,0.7691,0.7797,0.9018,0.8468,0.8488
181,2,0.17,768,0.5014,0.7569,0.7753,0.8950,0.8458,0.8468
38,3,0.34,768,1.8372,1.8537,1.8903,0.6154,0.6070,0.6078
92,2,0.07,768,0.4970,0.7775,0.7850,0.8976,0.8433,0.8478
298,2,0.29,768,0.5051,0.7583,0.7847,0.8938,0.8453,0.8482
107,3,0.4,768,1.0326,1.1040,1.1134,0.8013,0.7846,0.7850
19,1,0.05,768,0.8014,0.9127,0.9276,0.8411,0.8147,0.8181
90,2,0.17,768,0.5967,0.7805,0.7930,0.8768,0.8407,0.8418
44,2,0.23,768,0.8267,0.9136,0.9176,0.8396,0.8186,0.8247
39,3,0.31,768,1.6675,1.6918,1.7333,0.6446,0.6409,0.6356
85,2,0.29,768,0.7788,0.8666,0.8765,0.8432,0.8227,0.8274
112,2,0.33,768,0.7457,0.8438,0.8530,0.8504,0.8278,0.8323
427,1,0.04,768,0.5263,0.7854,0.8074,0.8932,0.8417,0.8394
125,2,0.13,768,0.5022,0.7582,0.7768,0.8961,0.8464,0.8474
134,3,0.0,768,0.4890,0.8185,0.8247,0.9007,0.8353,0.8393
421,2,0.5,768,0.7632,0.8814,0.8919,0.8507,0.8272,0.8293
113,3,0.49,768,1.3564,1.3894,1.4127,0.7091,0.7023,0.6987
73,3,0.46,768,1.6110,1.6396,1.6666,0.6654,0.6579,0.6565
