hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,300,0.9573,1.1581,1.1372,0.7824,0.7494,0.7491
415,3,0.43,300,1.0483,1.2001,1.1778,0.7654,0.7426,0.7429
68,3,0.15,300,1.1186,1.2767,1.2705,0.7594,0.7360,0.7360
115,1,0.45,300,1.2201,1.3130,1.3045,0.7451,0.7281,0.7322
401,3,0.05,300,0.8519,1.1953,1.1670,0.8136,0.7489,0.7479
359,1,0.46,300,1.0540,1.2246,1.2112,0.7723,0.7435,0.7449
47,2,0.22,300,1.2112,1.3172,1.3053,0.7430,0.7258,0.7303
144,1,0.38,300,1.0699,1.2320,1.2138,0.7682,0.7391,0.7404
298,2,0.12,300,0.8525,1.1660,1.1355,0.8095,0.7521,0.7536
76,2,0.33,300,1.2384,1.3112,1.3106,0.7366,0.7195,0.7236
15,2,0.34,300,2.2226,2.2289,2.2575,0.5323,0.5336,0.5261
184,1,0.41000000000000003,300,1.1163,1.2464,1.2369,0.7614,0.7384,0.7389
182,1,0.34,300,1.0013,1.2041,1.1866,0.7801,0.7422,0.7467
36,1,0.19,300,1.1667,1.2958,1.2769,0.7536,0.7325,0.7339
48,1,0.34,300,1.2681,1.3467,1.3464,0.7370,0.7231,0.7240
57,2,0.37,300,1.4052,1.4473,1.4556,0.7083,0.6992,0.6997
140,3,0.05,300,0.9228,1.2269,1.2043,0.7995,0.7459,0.7461
222,1,0.31,300,0.9379,1.1854,1.1717,0.7937,0.7499,0.7493
304,3,0.08,300,0.9026,1.2052,1.1664,0.8014,0.7465,0.7501
206,2,0.24,300,0.8641,1.1548,1.1323,0.8021,0.7536,0.7543
184,2,0.2,300,0.9085,1.1715,1.1439,0.7950,0.7505,0.7504
93,2,0.06,300,0.9807,1.2134,1.1921,0.7845,0.7472,0.7447
89,2,0.39,300,1.2544,1.3201,1.3211,0.7350,0.7209,0.7217
139,3,0.11,300,0.9207,1.2146,1.1910,0.7976,0.7489,0.7479
347,3,0.31,300,0.9563,1.1745,1.1594,0.7854,0.7488,0.7481
410,3,0.25,300,0.8652,1.1636,1.1401,0.8034,0.7512,0.7530
147,3,0.1,300,0.9151,1.2060,1.1854,0.7960,0.7497,0.7494
144,3,0.22,300,1.0406,1.2215,1.2078,0.7711,0.7427,0.7404
194,1,0.09,300,0.9646,1.2124,1.1926,0.7920,0.7450,0.7445
43,3,0.07,300,1.1533,1.3413,1.3259,0.7592,0.7295,0.7301
349,3,0.29,300,0.9395,1.1735,1.1590,0.7865,0.7489,0.7456
252,3,0.22,300,0.9771,1.1953,1.1766,0.7812,0.7468,0.7483
233,3,0.19,300,0.9446,1.1963,1.1704,0.7893,0.7479,0.7464
181,2,0.17,300,0.8940,1.1720,1.1433,0.8004,0.7529,0.7505
38,3,0.34,300,1.9324,1.9515,1.9764,0.6045,0.5987,0.5947
92,2,0.07,300,0.9590,1.2098,1.1864,0.7879,0.7454,0.7454
298,2,0.29,300,0.8627,1.1447,1.1285,0.8029,0.7537,0.7551
107,3,0.4,300,1.3967,1.4477,1.4596,0.7009,0.6919,0.6928
19,1,0.05,300,1.1887,1.3372,1.3342,0.7499,0.7280,0.7263
90,2,0.17,300,0.9692,1.1915,1.1772,0.7808,0.7465,0.7463
44,2,0.23,300,1.2264,1.3198,1.3210,0.7423,0.7231,0.7257
39,3,0.31,300,1.7813,1.8057,1.8256,0.6387,0.6328,0.6318
85,2,0.29,300,1.1383,1.2523,1.2382,0.7521,0.7336,0.7365
112,2,0.33,300,1.0928,1.2210,1.2075,0.7577,0.7392,0.7383
427,1,0.04,300,0.8908,1.2127,1.1845,0.8088,0.7494,0.7481
125,2,0.13,300,0.9270,1.1862,1.1610,0.7924,0.7484,0.7461
134,3,0.0,300,0.9443,1.2645,1.2345,0.7947,0.7426,0.7412
421,2,0.5,300,1.0515,1.1900,1.1789,0.7626,0.7416,0.7428
113,3,0.49,300,1.5812,1.6161,1.6219,0.6723,0.6640,0.6629
73,3,0.46,300,1.8434,1.8648,1.8844,0.6192,0.6147,0.6144
