hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,2.2511,2.3099,2.3089,0.5459,0.5335,0.5352
147,1,0.26,134,1.7490,1.9915,1.9655,0.6403,0.5928,0.5984
59,3,0.41000000000000003,172,2.7376,2.7387,2.7601,0.4372,0.4357,0.4313
190,2,0.13,160,1.3448,1.8422,1.8177,0.7140,0.6232,0.6286
484,3,0.06,100,1.2674,1.8876,1.8776,0.7241,0.6169,0.6173
97,1,0.5,242,2.2091,2.2818,2.2764,0.5554,0.5398,0.5443
18,3,0.3,174,3.0231,3.0131,3.0368,0.3800,0.3816,0.3766
261,3,0.14,153,1.3395,1.8055,1.8048,0.7122,0.6242,0.6325
257,1,0.19,108,1.5524,1.9266,1.9220,0.6822,0.6091,0.6082
45,1,0.5,210,2.4822,2.5170,2.5194,0.5032,0.4939,0.4982
60,3,0.34,163,2.5042,2.5212,2.5330,0.4889,0.4832,0.4834
72,3,0.38,276,2.4160,2.4488,2.4606,0.5077,0.4997,0.4993
183,3,0.28,242,1.7135,1.9292,1.9066,0.6430,0.6081,0.6082
333,2,0.11,292,1.0510,1.8472,1.8188,0.7761,0.6282,0.6344
497,3,0.45,153,2.2094,2.2715,2.2694,0.5481,0.5351,0.5386
302,2,0.45,257,2.0084,2.1313,2.1068,0.5869,0.5669,0.5744
263,1,0.02,89,1.5298,2.0646,2.0378,0.6798,0.5868,0.5916
118,3,0.47000000000000003,48,2.7961,2.7941,2.8096,0.4337,0.4354,0.4321
114,1,0.16,52,2.0573,2.1855,2.1774,0.5794,0.5550,0.5586
182,2,0.44,131,2.2733,2.3175,2.3265,0.5327,0.5234,0.5245
195,3,0.37,49,2.3915,2.4158,2.4296,0.5115,0.5054,0.5053
191,1,0.22,124,1.7101,1.9844,1.9548,0.6485,0.5955,0.6017
278,2,0.24,192,1.4484,1.8222,1.8055,0.6917,0.6285,0.6306
55,1,0.14,120,2.0119,2.1752,2.1592,0.5875,0.5580,0.5626
393,2,0.02,184,1.2305,1.9181,1.9015,0.7423,0.6130,0.6190
357,1,0.25,263,1.0816,1.7880,1.7898,0.7839,0.6430,0.6365
255,1,0.19,268,1.2170,1.8621,1.8325,0.7477,0.6257,0.6302
48,3,0.34,88,2.7475,2.7411,2.7655,0.4445,0.4450,0.4411
117,3,0.05,110,1.6563,1.9963,1.9691,0.6537,0.5908,0.5950
484,3,0.28,280,1.3483,1.7853,1.7642,0.7114,0.6413,0.6433
137,3,0.05,168,1.5050,1.9371,1.9385,0.6804,0.6076,0.6062
23,2,0.0,276,1.9402,2.2294,2.2142,0.5980,0.5566,0.5604
115,1,0.31,178,1.8466,2.0320,2.0076,0.6230,0.5859,0.5954
56,1,0.13,82,2.1387,2.2514,2.2556,0.5609,0.5421,0.5417
50,1,0.22,250,1.8795,2.0679,2.0418,0.6142,0.5820,0.5840
108,3,0.32,257,2.0195,2.1303,2.1192,0.5841,0.5617,0.5676
143,2,0.47000000000000003,143,2.3228,2.3533,2.3653,0.5241,0.5158,0.5169
160,1,0.3,250,1.5578,1.8783,1.8674,0.6801,0.6204,0.6209
174,1,0.15,82,1.6995,2.0064,1.9921,0.6507,0.5939,0.5936
145,2,0.24,207,1.6732,1.9059,1.8942,0.6543,0.6133,0.6132
94,1,0.01,168,1.6070,2.0953,2.0713,0.6644,0.5887,0.5916
68,3,0.28,206,2.2455,2.3070,2.3111,0.5373,0.5229,0.5244
16,3,0.3,75,3.1613,3.1573,3.1773,0.3665,0.3667,0.3621
151,2,0.14,218,1.5003,1.8877,1.8580,0.6826,0.6075,0.6194
132,3,0.38,164,2.2785,2.3250,2.3312,0.5349,0.5214,0.5268
125,1,0.06,144,1.5384,2.0244,1.9871,0.6743,0.5973,0.6047
487,1,0.38,212,1.4272,1.8277,1.8065,0.7238,0.6329,0.6340
134,3,0.36,257,2.1349,2.2185,2.2105,0.5606,0.5432,0.5466
34,3,0.3,103,2.7685,2.7674,2.7852,0.4441,0.4420,0.4402
11,1,0.23,111,2.7345,2.7396,2.7678,0.4448,0.4430,0.4373
