hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,768,0.4604,0.4913,0.5334,0.9068,0.8985,0.8916
415,3,0.43,768,0.4914,0.5161,0.5540,0.9042,0.8991,0.8938
68,3,0.15,768,0.5327,0.5601,0.5972,0.8937,0.8878,0.8837
115,1,0.45,768,0.5968,0.6095,0.6543,0.8842,0.8784,0.8734
401,3,0.05,768,0.3159,0.3992,0.4267,0.9337,0.9173,0.9131
359,1,0.46,768,0.5058,0.5382,0.5737,0.9041,0.8961,0.8919
47,2,0.22,768,0.6163,0.6232,0.6741,0.8785,0.8756,0.8693
144,1,0.38,768,0.4761,0.5059,0.5444,0.9061,0.8988,0.8931
298,2,0.12,768,0.3395,0.4073,0.4443,0.9283,0.9147,0.9080
76,2,0.33,768,0.6352,0.6450,0.6936,0.8767,0.8716,0.8667
15,2,0.34,768,1.9704,1.9230,2.0456,0.6549,0.6691,0.6447
184,1,0.41000000000000003,768,0.5013,0.5309,0.5697,0.8995,0.8913,0.8856
182,1,0.34,768,0.4253,0.4691,0.4988,0.9144,0.9029,0.9000
36,1,0.19,768,0.5301,0.5463,0.5851,0.8921,0.8873,0.8807
48,1,0.34,768,0.6054,0.6206,0.6624,0.8790,0.8744,0.8680
57,2,0.37,768,0.7799,0.7739,0.8414,0.8510,0.8490,0.8403
140,3,0.05,768,0.3280,0.4070,0.4300,0.9316,0.9159,0.9124
222,1,0.31,768,0.4165,0.4648,0.4953,0.9129,0.9026,0.8998
304,3,0.08,768,0.2714,0.3768,0.3968,0.9425,0.9233,0.9179
206,2,0.24,768,0.3467,0.4035,0.4289,0.9280,0.9173,0.9139
184,2,0.2,768,0.3776,0.4244,0.4536,0.9220,0.9122,0.9072
93,2,0.06,768,0.3277,0.4058,0.4253,0.9309,0.9164,0.9105
89,2,0.39,768,0.7074,0.7068,0.7611,0.8598,0.8586,0.8534
139,3,0.11,768,0.3275,0.4025,0.4342,0.9325,0.9180,0.9124
347,3,0.31,768,0.4182,0.4553,0.4922,0.9159,0.9090,0.9020
410,3,0.25,768,0.4064,0.4417,0.4802,0.9172,0.9099,0.9038
147,3,0.1,768,0.3231,0.3989,0.4258,0.9329,0.9177,0.9141
144,3,0.22,768,0.4177,0.4547,0.4891,0.9161,0.9075,0.9016
194,1,0.09,768,0.3440,0.4130,0.4461,0.9280,0.9144,0.9088
43,3,0.07,768,0.5932,0.6124,0.6667,0.8854,0.8811,0.8736
349,3,0.29,768,0.4087,0.4473,0.4858,0.9175,0.9090,0.9020
252,3,0.22,768,0.3507,0.4092,0.4377,0.9271,0.9161,0.9115
233,3,0.19,768,0.3733,0.4291,0.4595,0.9244,0.9149,0.9085
181,2,0.17,768,0.3430,0.4038,0.4257,0.9295,0.9176,0.9120
38,3,0.34,768,1.4676,1.4196,1.5529,0.7380,0.7477,0.7236
92,2,0.07,768,0.3716,0.4280,0.4538,0.9227,0.9115,0.9048
298,2,0.29,768,0.4320,0.4571,0.4969,0.9129,0.9060,0.8995
107,3,0.4,768,0.8390,0.8326,0.9198,0.8403,0.8414,0.8227
19,1,0.05,768,0.5203,0.5365,0.5779,0.8947,0.8856,0.8828
90,2,0.17,768,0.3976,0.4415,0.4697,0.9179,0.9094,0.9050
44,2,0.23,768,0.5901,0.6012,0.6489,0.8823,0.8798,0.8736
39,3,0.31,768,1.5703,1.5334,1.6484,0.6743,0.6879,0.6576
85,2,0.29,768,0.5011,0.5252,0.5637,0.8991,0.8929,0.8897
112,2,0.33,768,0.5174,0.5283,0.5840,0.8959,0.8919,0.8836
427,1,0.04,768,0.3104,0.4086,0.4354,0.9337,0.9146,0.9085
125,2,0.13,768,0.3492,0.4058,0.4397,0.9265,0.9156,0.9085
134,3,0.0,768,0.3229,0.4226,0.4394,0.9317,0.9123,0.9097
421,2,0.5,768,0.5929,0.6041,0.6499,0.8861,0.8800,0.8741
113,3,0.49,768,1.0070,0.9960,1.0705,0.8270,0.8312,0.8164
73,3,0.46,768,1.3985,1.3537,1.4827,0.7542,0.7648,0.7424
