hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,300,0.7784,0.8720,0.8820,0.8359,0.8135,0.8133
415,3,0.43,300,0.8449,0.9274,0.9404,0.8217,0.8021,0.8022
68,3,0.15,300,0.9187,1.0107,1.0353,0.8120,0.7906,0.7917
115,1,0.45,300,1.0939,1.1570,1.1734,0.7823,0.7654,0.7654
401,3,0.05,300,0.5587,0.7704,0.7753,0.8791,0.8340,0.8330
359,1,0.46,300,0.9152,1.0017,1.0129,0.8200,0.7987,0.7991
47,2,0.22,300,1.1205,1.1787,1.1953,0.7711,0.7561,0.7532
144,1,0.38,300,0.9235,1.0093,1.0158,0.8144,0.7910,0.7950
298,2,0.12,300,0.5393,0.7626,0.7608,0.8818,0.8339,0.8372
76,2,0.33,300,1.0698,1.1340,1.1458,0.7811,0.7634,0.7680
15,2,0.34,300,2.4729,2.4508,2.5228,0.4855,0.4965,0.4836
184,1,0.41000000000000003,300,0.9196,1.0021,1.0112,0.8155,0.7948,0.7958
182,1,0.34,300,0.8272,0.9294,0.9344,0.8322,0.8105,0.8088
36,1,0.19,300,1.0488,1.1117,1.1404,0.7851,0.7671,0.7660
48,1,0.34,300,1.1980,1.2463,1.2671,0.7581,0.7428,0.7440
57,2,0.37,300,1.3218,1.3645,1.3892,0.7397,0.7254,0.7269
140,3,0.05,300,0.6307,0.8204,0.8245,0.8646,0.8226,0.8252
222,1,0.31,300,0.7901,0.9085,0.9085,0.8375,0.8109,0.8128
304,3,0.08,300,0.5139,0.7736,0.7610,0.8881,0.8339,0.8389
206,2,0.24,300,0.7163,0.8310,0.8329,0.8464,0.8210,0.8245
184,2,0.2,300,0.6380,0.7887,0.7967,0.8624,0.8294,0.8307
93,2,0.06,300,0.7129,0.8679,0.8656,0.8481,0.8154,0.8174
89,2,0.39,300,1.1375,1.1929,1.2108,0.7698,0.7537,0.7559
139,3,0.11,300,0.6533,0.8140,0.8192,0.8598,0.8270,0.8263
347,3,0.31,300,0.7379,0.8473,0.8482,0.8426,0.8169,0.8195
410,3,0.25,300,0.6503,0.7925,0.7919,0.8582,0.8272,0.8293
147,3,0.1,300,0.6867,0.8370,0.8442,0.8542,0.8204,0.8220
144,3,0.22,300,0.7940,0.8944,0.8982,0.8331,0.8099,0.8126
194,1,0.09,300,0.6179,0.8217,0.8193,0.8692,0.8264,0.8274
43,3,0.07,300,0.9927,1.1118,1.1207,0.7995,0.7717,0.7797
349,3,0.29,300,0.7070,0.8276,0.8237,0.8487,0.8209,0.8228
252,3,0.22,300,0.6637,0.8037,0.7966,0.8568,0.8271,0.8291
233,3,0.19,300,0.6879,0.8161,0.8158,0.8520,0.8216,0.8256
181,2,0.17,300,0.7078,0.8323,0.8317,0.8496,0.8233,0.8228
38,3,0.34,300,2.1081,2.1061,2.1806,0.5665,0.5663,0.5597
92,2,0.07,300,0.7508,0.8758,0.8824,0.8408,0.8110,0.8131
298,2,0.29,300,0.6755,0.8046,0.8043,0.8539,0.8260,0.8299
107,3,0.4,300,1.3324,1.3783,1.4069,0.7385,0.7240,0.7278
19,1,0.05,300,1.0622,1.1313,1.1624,0.7820,0.7618,0.7617
90,2,0.17,300,0.8040,0.9027,0.9113,0.8308,0.8032,0.8087
44,2,0.23,300,1.1652,1.2179,1.2445,0.7625,0.7479,0.7489
39,3,0.31,300,2.0085,2.0155,2.0809,0.5957,0.5945,0.5859
85,2,0.29,300,0.9779,1.0523,1.0630,0.7977,0.7777,0.7815
112,2,0.33,300,0.9352,1.0064,1.0183,0.8062,0.7845,0.7901
427,1,0.04,300,0.6123,0.8175,0.8108,0.8709,0.8268,0.8291
125,2,0.13,300,0.6821,0.8217,0.8273,0.8532,0.8241,0.8243
134,3,0.0,300,0.6337,0.8437,0.8509,0.8651,0.8213,0.8245
421,2,0.5,300,0.9150,0.9876,1.0069,0.8087,0.7892,0.7917
113,3,0.49,300,1.6162,1.6475,1.6865,0.6788,0.6670,0.6717
73,3,0.46,300,1.9611,1.9653,2.0333,0.5988,0.5955,0.5846
