hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,0.7632,1.5279,1.5366,0.8544,0.6759,0.6784
147,1,0.26,134,0.9787,1.7278,1.7445,0.7995,0.6418,0.6391
59,3,0.41000000000000003,172,1.6998,2.2104,2.2590,0.6660,0.5624,0.5491
190,2,0.13,160,0.8338,1.7598,1.7912,0.8211,0.6425,0.6407
484,3,0.06,100,1.1495,1.8517,1.8952,0.7541,0.6132,0.6051
97,1,0.5,242,0.6946,1.4976,1.4951,0.8680,0.6814,0.6836
18,3,0.3,174,2.3704,2.6562,2.7275,0.5167,0.4550,0.4390
261,3,0.14,153,1.1903,1.7976,1.8353,0.7406,0.6176,0.6116
257,1,0.19,108,0.9300,1.7740,1.7696,0.8070,0.6367,0.6411
45,1,0.5,210,0.7923,1.5622,1.5687,0.8454,0.6681,0.6749
60,3,0.34,163,1.4158,2.0099,2.0704,0.7255,0.5991,0.5918
72,3,0.38,276,1.2837,1.9551,1.9987,0.7492,0.6101,0.6036
183,3,0.28,242,0.8927,1.6894,1.6939,0.8068,0.6487,0.6490
333,2,0.11,292,1.1104,1.7897,1.8108,0.7639,0.6208,0.6193
497,3,0.45,153,1.2015,1.7298,1.7747,0.7374,0.6254,0.6158
302,2,0.45,257,0.8566,1.5897,1.6038,0.8193,0.6617,0.6630
263,1,0.02,89,1.2965,1.9952,2.0164,0.7317,0.5984,0.5952
118,3,0.47000000000000003,48,1.3782,1.9302,1.9671,0.7209,0.6019,0.6010
114,1,0.16,52,1.0197,1.8091,1.8073,0.7863,0.6319,0.6346
182,2,0.44,131,0.8560,1.5947,1.6077,0.8217,0.6590,0.6587
195,3,0.37,49,1.0913,1.7594,1.7700,0.7598,0.6233,0.6265
191,1,0.22,124,0.9393,1.7102,1.7445,0.8052,0.6442,0.6437
278,2,0.24,192,0.9962,1.6971,1.7106,0.7863,0.6433,0.6399
55,1,0.14,120,1.1404,1.8364,1.8514,0.7629,0.6208,0.6231
393,2,0.02,184,1.0861,1.8559,1.8786,0.7707,0.6149,0.6159
357,1,0.25,263,0.8992,1.7273,1.7354,0.8173,0.6456,0.6450
255,1,0.19,268,0.8002,1.7477,1.7716,0.8372,0.6485,0.6487
48,3,0.34,88,1.5604,2.1290,2.1653,0.6724,0.5595,0.5495
117,3,0.05,110,1.1989,1.8987,1.9075,0.7468,0.6023,0.6059
484,3,0.28,280,0.9342,1.6944,1.7118,0.7973,0.6448,0.6440
137,3,0.05,168,1.0152,1.7870,1.8261,0.7867,0.6281,0.6276
23,2,0.0,276,1.1284,1.9466,1.9896,0.7751,0.6125,0.6136
115,1,0.31,178,0.8181,1.6507,1.6486,0.8346,0.6574,0.6614
56,1,0.13,82,1.0209,1.8468,1.8600,0.7873,0.6316,0.6303
50,1,0.22,250,1.0084,1.7400,1.7718,0.7970,0.6431,0.6371
108,3,0.32,257,0.9621,1.7407,1.7660,0.7965,0.6431,0.6406
143,2,0.47000000000000003,143,1.0099,1.6505,1.6639,0.7926,0.6447,0.6455
160,1,0.3,250,0.8276,1.6576,1.6707,0.8323,0.6576,0.6570
174,1,0.15,82,0.9827,1.8007,1.7979,0.7958,0.6344,0.6340
145,2,0.24,207,0.9966,1.6994,1.7098,0.7916,0.6417,0.6420
94,1,0.01,168,1.0760,1.9201,1.9260,0.7795,0.6206,0.6173
68,3,0.28,206,1.0615,1.8223,1.8804,0.7873,0.6320,0.6343
16,3,0.3,75,2.6447,2.8597,2.9089,0.3987,0.3626,0.3635
151,2,0.14,218,0.9844,1.7431,1.7695,0.7927,0.6332,0.6345
132,3,0.38,164,1.1665,1.7888,1.8270,0.7521,0.6198,0.6178
125,1,0.06,144,1.2072,1.9331,1.9531,0.7504,0.6079,0.6050
487,1,0.38,212,0.8583,1.6175,1.6347,0.8297,0.6591,0.6608
134,3,0.36,257,1.1388,1.7573,1.7708,0.7614,0.6282,0.6335
34,3,0.3,103,1.6861,2.2277,2.3026,0.6894,0.5672,0.5577
11,1,0.23,111,1.1369,1.8974,1.9330,0.7770,0.6177,0.6174
