hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,768,0.3411,1.4234,1.3591,0.9398,0.7386,0.7534
415,3,0.43,768,0.4865,1.6225,1.3742,0.9062,0.7386,0.7507
68,3,0.15,768,0.8187,1.9562,1.5747,0.8502,0.7030,0.7233
115,1,0.45,768,0.3172,1.3893,1.3298,0.9417,0.7462,0.7507
401,3,0.05,768,0.5410,1.6262,1.5471,0.8906,0.7132,0.7205
359,1,0.46,768,0.3274,1.4015,1.3616,0.9394,0.7284,0.7397
47,2,0.22,768,0.6466,1.6265,1.4094,0.8803,0.7107,0.7342
144,1,0.38,768,0.2301,1.3813,1.4067,0.9691,0.7411,0.7479
298,2,0.12,768,0.1782,1.5682,1.6430,0.9741,0.7259,0.7233
76,2,0.33,768,0.5289,1.6091,1.3966,0.9066,0.7437,0.7479
15,2,0.34,768,1.4320,2.2117,1.7713,0.7199,0.6193,0.6959
184,1,0.41000000000000003,768,0.2753,1.4190,1.3876,0.9566,0.7437,0.7616
182,1,0.34,768,0.2465,1.3638,1.3887,0.9619,0.7335,0.7479
36,1,0.19,768,0.4722,1.4931,1.3870,0.9177,0.7030,0.7534
48,1,0.34,768,0.5461,1.4705,1.3250,0.9040,0.7234,0.7644
57,2,0.37,768,0.7253,1.7165,1.3786,0.8579,0.7081,0.7397
140,3,0.05,768,0.4082,1.7030,1.6558,0.9253,0.7462,0.7315
222,1,0.31,768,0.1833,1.3979,1.4167,0.9836,0.7538,0.7507
304,3,0.08,768,0.7334,1.7158,1.5146,0.8498,0.7030,0.7370
206,2,0.24,768,0.7368,1.4906,1.4125,0.8525,0.7284,0.7370
184,2,0.2,768,0.3900,1.4616,1.4263,0.9371,0.7335,0.7315
93,2,0.06,768,0.4119,1.5684,1.4924,0.9181,0.7208,0.7342
89,2,0.39,768,0.6113,1.5544,1.3804,0.8845,0.7259,0.7425
139,3,0.11,768,0.5543,1.7258,1.5655,0.8948,0.6980,0.7233
347,3,0.31,768,0.4778,1.5910,1.4658,0.8944,0.7310,0.7452
410,3,0.25,768,0.4698,1.6404,1.3950,0.9089,0.7259,0.7370
147,3,0.1,768,1.0741,1.7833,1.5404,0.7938,0.6777,0.7041
144,3,0.22,768,0.7779,1.6954,1.4639,0.8460,0.7208,0.7233
194,1,0.09,768,0.1994,1.4355,1.5242,0.9825,0.7360,0.7479
43,3,0.07,768,0.6274,1.7858,1.5911,0.8880,0.6904,0.7479
349,3,0.29,768,0.4404,1.6234,1.4910,0.9158,0.7284,0.7452
252,3,0.22,768,0.6513,1.6963,1.4935,0.8639,0.7259,0.7397
233,3,0.19,768,0.3376,1.6487,1.5246,0.9444,0.7208,0.7397
181,2,0.17,768,0.3823,1.3990,1.3954,0.9325,0.7259,0.7452
38,3,0.34,768,1.4298,2.2725,1.7744,0.7630,0.6193,0.6493
92,2,0.07,768,0.3799,1.4872,1.4160,0.9394,0.7183,0.7479
298,2,0.29,768,0.4927,1.4203,1.3336,0.9082,0.7487,0.7644
107,3,0.4,768,1.2120,1.9568,1.6559,0.7637,0.6447,0.6932
19,1,0.05,768,0.7029,1.6652,1.4764,0.8739,0.7056,0.7342
90,2,0.17,768,0.4724,1.5433,1.3854,0.9101,0.7259,0.7479
44,2,0.23,768,0.6326,1.5655,1.4249,0.8788,0.7157,0.7178
39,3,0.31,768,1.6144,2.2280,1.8869,0.6643,0.6497,0.6548
85,2,0.29,768,0.4283,1.4848,1.3678,0.9215,0.7284,0.7507
112,2,0.33,768,0.5959,1.5040,1.3144,0.8937,0.7360,0.7425
427,1,0.04,768,0.2884,1.4697,1.5537,0.9466,0.7259,0.7342
125,2,0.13,768,0.5993,1.4427,1.3771,0.8758,0.7386,0.7425
134,3,0.0,768,0.6621,1.7526,1.4578,0.8746,0.6777,0.7397
421,2,0.5,768,0.5138,1.4306,1.3669,0.9028,0.7386,0.7452
113,3,0.49,768,1.3673,2.1586,1.6627,0.7161,0.6396,0.6575
73,3,0.46,768,1.4657,2.3559,1.8080,0.6940,0.6142,0.6630
