hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,300,0.7845,1.7975,1.6325,0.8449,0.6548,0.6986
415,3,0.43,300,0.8405,1.9441,1.7093,0.8377,0.6726,0.6904
68,3,0.15,300,1.2567,2.1637,1.9289,0.7671,0.6142,0.6603
115,1,0.45,300,0.7575,1.7741,1.6331,0.8514,0.6574,0.7123
401,3,0.05,300,1.2275,2.2200,1.8859,0.7511,0.5990,0.6849
359,1,0.46,300,0.6477,1.7501,1.6497,0.8727,0.6599,0.6986
47,2,0.22,300,1.0075,2.0304,1.6853,0.8102,0.6320,0.6932
144,1,0.38,300,0.8434,1.7977,1.5795,0.8357,0.6447,0.7178
298,2,0.12,300,0.9414,1.9652,1.7537,0.8114,0.6345,0.6740
76,2,0.33,300,0.9513,1.9393,1.6189,0.8186,0.6447,0.6986
15,2,0.34,300,1.8626,2.3986,1.9827,0.5938,0.5431,0.6192
184,1,0.41000000000000003,300,0.7462,1.7790,1.6015,0.8518,0.6574,0.7123
182,1,0.34,300,0.7400,1.7983,1.6211,0.8556,0.6701,0.7096
36,1,0.19,300,0.8314,1.8792,1.6191,0.8399,0.6599,0.7068
48,1,0.34,300,0.7549,1.8433,1.6450,0.8544,0.6701,0.7096
57,2,0.37,300,1.1655,1.9930,1.6769,0.7729,0.6396,0.6685
140,3,0.05,300,1.3093,2.1697,1.8366,0.7287,0.6168,0.6548
222,1,0.31,300,0.7152,1.8066,1.6227,0.8628,0.6548,0.7151
304,3,0.08,300,1.2608,2.1083,1.7532,0.7431,0.6091,0.6658
206,2,0.24,300,0.9505,1.8906,1.6179,0.8106,0.6294,0.6986
184,2,0.2,300,0.8214,1.8996,1.6456,0.8403,0.6345,0.6959
93,2,0.06,300,1.0643,2.0157,1.7361,0.7965,0.6447,0.7014
89,2,0.39,300,0.9743,1.9172,1.6351,0.8136,0.6371,0.7041
139,3,0.11,300,1.2596,2.1244,1.8370,0.7424,0.6218,0.6658
347,3,0.31,300,1.1176,2.0192,1.7470,0.7805,0.6269,0.6740
410,3,0.25,300,0.7142,2.0181,1.8879,0.8579,0.6497,0.6877
147,3,0.1,300,1.0623,2.0729,1.7911,0.7877,0.6523,0.6986
144,3,0.22,300,1.2371,2.1476,1.7367,0.7660,0.6117,0.6630
194,1,0.09,300,0.7865,1.8619,1.6421,0.8491,0.6548,0.7123
43,3,0.07,300,1.4745,2.2795,1.9486,0.7073,0.5990,0.6603
349,3,0.29,300,0.9179,1.9653,1.7140,0.8121,0.6396,0.6877
252,3,0.22,300,0.9550,1.9145,1.6818,0.8106,0.6472,0.7123
233,3,0.19,300,0.9829,2.0234,1.7745,0.8014,0.6041,0.6795
181,2,0.17,300,0.9731,1.9259,1.6484,0.8095,0.6396,0.7014
38,3,0.34,300,1.7944,2.4205,2.0995,0.6079,0.5178,0.6219
92,2,0.07,300,0.9536,2.0065,1.7123,0.8144,0.6320,0.6877
298,2,0.29,300,1.0089,1.8469,1.6560,0.8030,0.6523,0.6849
107,3,0.4,300,1.2407,2.0791,1.7705,0.7527,0.6168,0.6849
19,1,0.05,300,1.0365,1.9697,1.6530,0.8045,0.6218,0.6959
90,2,0.17,300,1.0426,1.9614,1.6776,0.7957,0.6371,0.6986
44,2,0.23,300,1.1074,1.9997,1.6691,0.7858,0.6168,0.6986
39,3,0.31,300,1.8521,2.4284,2.0042,0.6216,0.5406,0.6055
85,2,0.29,300,0.9949,1.9286,1.6692,0.8026,0.6396,0.6740
112,2,0.33,300,0.8977,1.9353,1.6164,0.8304,0.6574,0.7014
427,1,0.04,300,0.9357,1.8412,1.6191,0.8213,0.6624,0.7014
125,2,0.13,300,1.0045,1.9825,1.6657,0.8068,0.6396,0.6986
134,3,0.0,300,1.2511,2.1676,1.8643,0.7519,0.5990,0.6712
421,2,0.5,300,0.6608,1.7831,1.6745,0.8716,0.6751,0.6932
113,3,0.49,300,1.3275,2.2177,1.7991,0.7268,0.5990,0.6575
73,3,0.46,300,1.5489,2.3193,1.9059,0.6711,0.5736,0.6274
