hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,0.8779,2.3944,2.2168,0.8476,0.5635,0.6082
147,1,0.26,134,1.0596,2.4773,2.2905,0.8159,0.5711,0.6164
59,3,0.41000000000000003,172,1.6977,2.6150,2.4857,0.6768,0.5305,0.5671
190,2,0.13,160,1.3348,2.5292,2.4272,0.7576,0.5457,0.6027
484,3,0.06,100,1.2267,2.6086,2.6442,0.7637,0.5635,0.5973
97,1,0.5,242,1.0804,2.4000,2.1328,0.8125,0.5838,0.6137
18,3,0.3,174,2.4007,3.0253,2.7587,0.4878,0.4213,0.4685
261,3,0.14,153,1.6380,2.5625,2.2872,0.6883,0.5635,0.6000
257,1,0.19,108,1.0801,2.4993,2.2414,0.8056,0.5685,0.6192
45,1,0.5,210,1.1109,2.3090,2.2562,0.8075,0.5964,0.6055
60,3,0.34,163,1.8536,2.6748,2.5047,0.6086,0.5203,0.5644
72,3,0.38,276,1.5958,2.4912,2.3244,0.6749,0.5457,0.5781
183,3,0.28,242,1.5363,2.5911,2.3965,0.7005,0.5660,0.5918
333,2,0.11,292,1.4367,2.4622,2.1841,0.7473,0.5787,0.6082
497,3,0.45,153,1.3637,2.4157,2.2626,0.7321,0.5685,0.5863
302,2,0.45,257,1.0623,2.3540,2.0800,0.8098,0.5964,0.6027
263,1,0.02,89,1.3681,2.5655,2.2644,0.7527,0.5431,0.5890
118,3,0.47000000000000003,48,1.7911,2.7254,2.5358,0.6303,0.5228,0.5699
114,1,0.16,52,1.4723,2.5523,2.4627,0.7138,0.5761,0.5808
182,2,0.44,131,1.2499,2.3709,2.3435,0.7771,0.5660,0.5890
195,3,0.37,49,1.3950,2.4205,2.2630,0.7359,0.5508,0.5863
191,1,0.22,124,1.1634,2.5063,2.2770,0.7912,0.5482,0.6000
278,2,0.24,192,1.2801,2.4744,2.2847,0.7809,0.5660,0.6055
55,1,0.14,120,0.9374,2.3648,2.1511,0.8384,0.5888,0.6082
393,2,0.02,184,1.4503,2.5415,2.3461,0.7302,0.5482,0.5863
357,1,0.25,263,0.8395,2.4544,2.2187,0.8598,0.5812,0.6329
255,1,0.19,268,0.8749,2.4086,2.1804,0.8548,0.5635,0.6110
48,3,0.34,88,2.0876,2.7542,2.4552,0.5305,0.5000,0.5452
117,3,0.05,110,1.4863,2.7636,2.7428,0.7012,0.5558,0.5808
484,3,0.28,280,1.3287,2.6086,2.4076,0.7504,0.5609,0.5973
137,3,0.05,168,1.6297,2.5086,2.2992,0.6917,0.5533,0.5918
23,2,0.0,276,1.6307,2.7157,2.3872,0.6902,0.5457,0.5808
115,1,0.31,178,1.0699,2.3711,2.1754,0.8186,0.5888,0.6082
56,1,0.13,82,1.3792,2.5068,2.3674,0.7367,0.5584,0.6055
50,1,0.22,250,1.3310,2.4177,2.3224,0.7649,0.5609,0.5973
108,3,0.32,257,1.5023,2.4742,2.2648,0.7130,0.5736,0.5890
143,2,0.47000000000000003,143,1.4399,2.4031,2.2793,0.7386,0.5660,0.6000
160,1,0.3,250,0.9187,2.3376,2.1994,0.8533,0.5888,0.6110
174,1,0.15,82,1.0926,2.5652,2.3948,0.7980,0.5685,0.6274
145,2,0.24,207,1.6332,2.5018,2.3759,0.7081,0.5533,0.5808
94,1,0.01,168,0.9075,2.3909,2.2062,0.8441,0.6015,0.5973
68,3,0.28,206,1.4966,2.6260,2.4002,0.7073,0.5406,0.5836
16,3,0.3,75,2.5565,2.9825,2.6751,0.4539,0.4365,0.4658
151,2,0.14,218,1.2937,2.5437,2.3462,0.7542,0.5558,0.5918
132,3,0.38,164,1.5635,2.4512,2.3085,0.6875,0.5558,0.5753
125,1,0.06,144,1.0334,2.4671,2.3222,0.8228,0.5736,0.5863
487,1,0.38,212,0.7541,2.3574,2.2194,0.8750,0.5711,0.5918
134,3,0.36,257,1.4607,2.4579,2.1996,0.7039,0.5431,0.5973
34,3,0.3,103,2.2671,2.8391,2.5903,0.4787,0.4645,0.5233
11,1,0.23,111,1.5911,2.5938,2.3614,0.6978,0.5431,0.5918
