hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,768,0.2704,1.1836,1.1864,0.9572,0.7591,0.7721
415,3,0.43,768,0.4290,1.2722,1.3124,0.9229,0.7354,0.7533
68,3,0.15,768,0.4513,1.3616,1.4204,0.9133,0.7210,0.7287
115,1,0.45,768,0.3936,1.1469,1.1740,0.9263,0.7566,0.7571
401,3,0.05,768,0.5384,1.3792,1.3565,0.8845,0.7295,0.7384
359,1,0.46,768,0.3934,1.1761,1.1862,0.9290,0.7439,0.7485
47,2,0.22,768,0.4638,1.2314,1.2536,0.9094,0.7506,0.7587
144,1,0.38,768,0.3187,1.1345,1.1679,0.9472,0.7523,0.7592
298,2,0.12,768,0.5731,1.3092,1.2521,0.8781,0.7303,0.7437
76,2,0.33,768,0.4468,1.2145,1.2644,0.9130,0.7346,0.7549
15,2,0.34,768,1.6157,1.9475,2.1872,0.6640,0.5934,0.5543
184,1,0.41000000000000003,768,0.2748,1.1436,1.1723,0.9570,0.7456,0.7694
182,1,0.34,768,0.2275,1.1770,1.1822,0.9656,0.7532,0.7571
36,1,0.19,768,0.4775,1.2056,1.1814,0.9086,0.7413,0.7533
48,1,0.34,768,0.4831,1.1792,1.1908,0.9108,0.7447,0.7549
57,2,0.37,768,0.5312,1.2650,1.3036,0.9059,0.7405,0.7480
140,3,0.05,768,0.6056,1.3089,1.3620,0.8688,0.7194,0.7362
222,1,0.31,768,0.3286,1.1561,1.2037,0.9423,0.7447,0.7582
304,3,0.08,768,0.4754,1.3382,1.3256,0.9042,0.7303,0.7426
206,2,0.24,768,0.2658,1.2086,1.2455,0.9519,0.7616,0.7523
184,2,0.2,768,0.4664,1.2403,1.2242,0.9091,0.7320,0.7491
93,2,0.06,768,0.5228,1.2689,1.3059,0.8948,0.7346,0.7405
89,2,0.39,768,0.4445,1.2025,1.2889,0.9216,0.7515,0.7491
139,3,0.11,768,0.3876,1.3368,1.3329,0.9278,0.7278,0.7368
347,3,0.31,768,0.4289,1.2597,1.2807,0.9120,0.7473,0.7576
410,3,0.25,768,0.4844,1.2673,1.3149,0.9079,0.7396,0.7475
147,3,0.1,768,0.5381,1.3376,1.3449,0.8968,0.7303,0.7410
144,3,0.22,768,0.4809,1.3213,1.3710,0.9000,0.7320,0.7491
194,1,0.09,768,0.4644,1.1955,1.2300,0.9098,0.7439,0.7512
43,3,0.07,768,0.8126,1.4759,1.6197,0.8534,0.6923,0.6859
349,3,0.29,768,0.3550,1.2691,1.3022,0.9275,0.7464,0.7598
252,3,0.22,768,0.4616,1.2562,1.2797,0.9081,0.7422,0.7442
233,3,0.19,768,0.5494,1.2765,1.2674,0.8985,0.7354,0.7485
181,2,0.17,768,0.5671,1.2121,1.2433,0.8889,0.7422,0.7410
38,3,0.34,768,1.3713,1.8914,2.0930,0.6854,0.5833,0.5639
92,2,0.07,768,0.3651,1.2541,1.2914,0.9334,0.7447,0.7464
298,2,0.29,768,0.3901,1.1887,1.2166,0.9228,0.7566,0.7523
107,3,0.4,768,0.6868,1.4373,1.4854,0.8686,0.6932,0.7282
19,1,0.05,768,0.4787,1.2712,1.2952,0.9182,0.7312,0.7368
90,2,0.17,768,0.3415,1.2399,1.2249,0.9400,0.7295,0.7566
44,2,0.23,768,0.4287,1.2965,1.3297,0.9241,0.7312,0.7432
39,3,0.31,768,1.3894,1.9362,2.1519,0.6741,0.5917,0.5741
85,2,0.29,768,0.2827,1.2310,1.2713,0.9499,0.7523,0.7646
112,2,0.33,768,0.4249,1.1772,1.2079,0.9233,0.7439,0.7683
427,1,0.04,768,0.4307,1.2554,1.2570,0.9143,0.7413,0.7533
125,2,0.13,768,0.4405,1.2228,1.2259,0.9143,0.7413,0.7603
134,3,0.0,768,0.5325,1.5128,1.5066,0.8980,0.6948,0.7063
421,2,0.5,768,0.3770,1.1980,1.1945,0.9477,0.7540,0.7592
113,3,0.49,768,0.8000,1.5697,1.6022,0.8480,0.6872,0.7105
73,3,0.46,768,1.2866,1.8004,1.9533,0.7170,0.6213,0.6025
