hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,300,0.5548,1.3085,1.2554,0.8841,0.7261,0.7512
415,3,0.43,300,0.6805,1.3378,1.3311,0.8582,0.7244,0.7335
68,3,0.15,300,0.6614,1.4788,1.5255,0.8603,0.7244,0.7335
115,1,0.45,300,0.5675,1.2838,1.2480,0.8816,0.7227,0.7475
401,3,0.05,300,0.7482,1.5300,1.5273,0.8435,0.6906,0.7180
359,1,0.46,300,0.5260,1.3253,1.2394,0.8875,0.7303,0.7630
47,2,0.22,300,0.6860,1.3907,1.3773,0.8571,0.7219,0.7384
144,1,0.38,300,0.6655,1.3207,1.2815,0.8617,0.7194,0.7501
298,2,0.12,300,0.7620,1.3677,1.3939,0.8352,0.7219,0.7239
76,2,0.33,300,0.7031,1.3391,1.3184,0.8548,0.7236,0.7368
15,2,0.34,300,1.5215,1.7746,1.8526,0.6994,0.6500,0.6255
184,1,0.41000000000000003,300,0.5531,1.3163,1.2440,0.8833,0.7126,0.7539
182,1,0.34,300,0.5648,1.3191,1.2727,0.8840,0.7295,0.7501
36,1,0.19,300,0.6529,1.3600,1.3406,0.8624,0.7278,0.7416
48,1,0.34,300,0.7314,1.3386,1.2839,0.8457,0.7227,0.7389
57,2,0.37,300,0.7061,1.3276,1.3370,0.8543,0.7337,0.7362
140,3,0.05,300,0.8465,1.5787,1.5864,0.8202,0.6991,0.7100
222,1,0.31,300,0.6139,1.3267,1.2889,0.8669,0.7278,0.7523
304,3,0.08,300,0.6984,1.5018,1.5562,0.8462,0.6965,0.7132
206,2,0.24,300,0.6920,1.3385,1.3318,0.8539,0.7227,0.7293
184,2,0.2,300,0.6530,1.3514,1.3375,0.8600,0.7312,0.7378
93,2,0.06,300,0.8914,1.4990,1.4860,0.8146,0.7058,0.7116
89,2,0.39,300,0.6486,1.3289,1.2951,0.8644,0.7312,0.7416
139,3,0.11,300,0.7809,1.4357,1.4619,0.8411,0.7168,0.7186
347,3,0.31,300,0.5620,1.3606,1.3703,0.8848,0.7126,0.7368
410,3,0.25,300,0.6214,1.3547,1.3572,0.8728,0.7185,0.7432
147,3,0.1,300,0.6368,1.4667,1.4901,0.8659,0.7126,0.7298
144,3,0.22,300,0.6024,1.3948,1.3878,0.8722,0.7151,0.7330
194,1,0.09,300,0.6741,1.3930,1.3809,0.8620,0.7185,0.7250
43,3,0.07,300,0.8007,1.5266,1.5422,0.8310,0.6957,0.7132
349,3,0.29,300,0.6782,1.3673,1.3561,0.8585,0.7151,0.7335
252,3,0.22,300,0.6328,1.3948,1.3688,0.8683,0.7092,0.7426
233,3,0.19,300,0.6834,1.4104,1.3887,0.8550,0.7194,0.7325
181,2,0.17,300,0.6618,1.3711,1.3726,0.8582,0.7253,0.7293
38,3,0.34,300,1.2382,1.6898,1.6977,0.7367,0.6534,0.6297
92,2,0.07,300,0.8401,1.4360,1.4623,0.8254,0.7177,0.7314
298,2,0.29,300,0.6500,1.3260,1.3054,0.8632,0.7185,0.7373
107,3,0.4,300,0.6738,1.3953,1.4343,0.8619,0.7210,0.7330
19,1,0.05,300,0.7827,1.4377,1.4195,0.8406,0.7270,0.7239
90,2,0.17,300,0.6520,1.3909,1.3736,0.8602,0.7227,0.7282
44,2,0.23,300,0.6976,1.3514,1.3648,0.8568,0.7244,0.7384
39,3,0.31,300,1.1786,1.6998,1.7307,0.7838,0.6788,0.6752
85,2,0.29,300,0.7051,1.3461,1.3314,0.8514,0.7219,0.7352
112,2,0.33,300,0.5931,1.3317,1.2840,0.8767,0.7312,0.7459
427,1,0.04,300,0.6485,1.4032,1.3853,0.8673,0.7185,0.7282
125,2,0.13,300,0.7568,1.4211,1.4301,0.8364,0.7160,0.7266
134,3,0.0,300,0.9545,1.6388,1.6716,0.8013,0.6779,0.6881
421,2,0.5,300,0.5513,1.2732,1.2270,0.8904,0.7287,0.7437
113,3,0.49,300,0.9789,1.5316,1.5419,0.8189,0.7033,0.7170
73,3,0.46,300,1.2142,1.6315,1.6788,0.7694,0.6788,0.6838
