hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,1.0050,2.3195,2.3874,0.8433,0.5292,0.5158
147,1,0.26,134,1.1258,2.4672,2.5537,0.8010,0.5114,0.4912
59,3,0.41000000000000003,172,1.9448,2.7357,2.9084,0.5972,0.4514,0.4195
190,2,0.13,160,1.5652,2.5006,2.6719,0.6865,0.5004,0.4612
484,3,0.06,100,2.0330,2.7077,2.8679,0.5824,0.4531,0.4280
97,1,0.5,242,0.8873,2.3454,2.3884,0.8617,0.5241,0.5281
18,3,0.3,174,2.5500,3.0924,3.2387,0.4380,0.3626,0.3323
261,3,0.14,153,1.3841,2.5738,2.6699,0.7205,0.4920,0.4698
257,1,0.19,108,1.5382,2.5757,2.6290,0.7072,0.4801,0.4607
45,1,0.5,210,1.1062,2.3329,2.3655,0.8173,0.5275,0.5292
60,3,0.34,163,1.3545,2.5692,2.6967,0.7227,0.4861,0.4698
72,3,0.38,276,1.6835,2.6178,2.7728,0.6350,0.4784,0.4382
183,3,0.28,242,0.8435,2.5225,2.5972,0.8447,0.5030,0.4922
333,2,0.11,292,1.2095,2.4951,2.5863,0.7755,0.4996,0.4810
497,3,0.45,153,0.9865,2.2849,2.4415,0.8290,0.5359,0.5094
302,2,0.45,257,1.0088,2.3124,2.4550,0.8243,0.5232,0.4997
263,1,0.02,89,1.7105,2.6211,2.7538,0.6455,0.4768,0.4387
118,3,0.47000000000000003,48,1.6323,2.5720,2.6788,0.6721,0.4675,0.4419
114,1,0.16,52,1.4505,2.5707,2.7670,0.7209,0.4937,0.4708
182,2,0.44,131,1.3397,2.4115,2.4679,0.7617,0.5089,0.4987
195,3,0.37,49,1.4709,2.4987,2.5661,0.7166,0.4691,0.4692
191,1,0.22,124,1.1747,2.5188,2.5860,0.7888,0.4937,0.4778
278,2,0.24,192,1.1901,2.5277,2.5820,0.7784,0.5123,0.4874
55,1,0.14,120,1.3249,2.5822,2.6418,0.7433,0.4894,0.4741
393,2,0.02,184,1.2580,2.5800,2.7029,0.7716,0.4844,0.4730
357,1,0.25,263,1.0556,2.4831,2.5580,0.8189,0.5131,0.4933
255,1,0.19,268,1.0373,2.4232,2.6017,0.8224,0.5258,0.4831
48,3,0.34,88,1.9450,2.7607,2.8455,0.5692,0.4489,0.4264
117,3,0.05,110,1.7894,2.7321,2.7940,0.6440,0.4624,0.4350
484,3,0.28,280,0.8560,2.5353,2.5825,0.8447,0.5182,0.4981
137,3,0.05,168,1.7203,2.7140,2.8892,0.6468,0.4649,0.4216
23,2,0.0,276,1.6269,2.7676,2.8668,0.6571,0.4691,0.4291
115,1,0.31,178,0.9980,2.4406,2.5069,0.8273,0.5325,0.4901
56,1,0.13,82,1.5152,2.5862,2.7412,0.7059,0.4996,0.4462
50,1,0.22,250,1.2944,2.4173,2.6178,0.7652,0.5199,0.4799
108,3,0.32,257,1.4502,2.4924,2.5912,0.7106,0.5207,0.4746
143,2,0.47000000000000003,143,1.1812,2.3203,2.3986,0.7988,0.5368,0.5174
160,1,0.3,250,0.9912,2.4346,2.5775,0.8379,0.5232,0.4933
174,1,0.15,82,1.2478,2.5487,2.7168,0.7699,0.5055,0.4532
145,2,0.24,207,1.2453,2.4880,2.5628,0.7657,0.5013,0.4799
94,1,0.01,168,1.5149,2.5562,2.6783,0.7170,0.4937,0.4623
68,3,0.28,206,1.4511,2.5161,2.6048,0.6919,0.4852,0.4714
16,3,0.3,75,2.7323,3.1749,3.3004,0.4166,0.3660,0.3269
151,2,0.14,218,1.0586,2.6008,2.5788,0.8044,0.5013,0.4783
132,3,0.38,164,1.3039,2.5242,2.4999,0.7333,0.4776,0.4853
125,1,0.06,144,1.2961,2.5736,2.7020,0.7588,0.4835,0.4526
487,1,0.38,212,1.1917,2.4428,2.5582,0.7844,0.5131,0.4837
134,3,0.36,257,1.0736,2.4330,2.5170,0.8023,0.5216,0.5094
34,3,0.3,103,2.3941,3.0320,3.0875,0.4201,0.3525,0.3307
11,1,0.23,111,1.2533,2.4989,2.6778,0.7620,0.5013,0.4890
