hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,1.2282,2.3339,2.4080,0.8055,0.5410,0.5088
147,1,0.26,134,1.0410,2.4971,2.6124,0.8330,0.5173,0.4901
59,3,0.41000000000000003,172,2.2051,2.6063,2.7164,0.5195,0.4565,0.4323
190,2,0.13,160,1.1902,2.5410,2.6984,0.7753,0.4886,0.4617
484,3,0.06,100,1.6095,2.7144,2.8189,0.6655,0.4632,0.4318
97,1,0.5,242,1.2812,2.3946,2.4446,0.7990,0.5139,0.5163
18,3,0.3,174,2.6279,2.8723,3.0144,0.4265,0.4218,0.3793
261,3,0.14,153,1.3729,2.5964,2.6422,0.7234,0.4827,0.4666
257,1,0.19,108,0.9268,2.5803,2.6494,0.8573,0.4954,0.4799
45,1,0.5,210,1.8342,2.4520,2.5580,0.5945,0.5106,0.4746
60,3,0.34,163,1.8626,2.4115,2.5113,0.6117,0.5004,0.4858
72,3,0.38,276,1.4702,2.3796,2.5210,0.7285,0.5021,0.4735
183,3,0.28,242,1.1382,2.3986,2.5070,0.7885,0.5063,0.4826
333,2,0.11,292,1.3510,2.5231,2.6191,0.7453,0.4970,0.4719
497,3,0.45,153,0.6908,2.1659,2.3215,0.8924,0.5672,0.5420
302,2,0.45,257,0.5302,2.2463,2.3670,0.9605,0.5495,0.5265
263,1,0.02,89,1.4335,2.6561,2.7741,0.7290,0.4810,0.4452
118,3,0.47000000000000003,48,2.4863,2.6367,2.7341,0.4760,0.4573,0.4238
114,1,0.16,52,1.4697,2.5521,2.7557,0.7086,0.5106,0.4644
182,2,0.44,131,1.1141,2.2499,2.2762,0.8383,0.5351,0.5425
195,3,0.37,49,1.5956,2.3238,2.3446,0.6799,0.5165,0.5158
191,1,0.22,124,0.7899,2.5559,2.6681,0.8961,0.5013,0.4596
278,2,0.24,192,0.7000,2.5210,2.6174,0.8922,0.5148,0.4912
55,1,0.14,120,1.6230,2.6846,2.7549,0.6733,0.4751,0.4494
393,2,0.02,184,1.4010,2.6090,2.7298,0.7418,0.4675,0.4596
357,1,0.25,263,1.2651,2.5103,2.5982,0.7693,0.5030,0.4757
255,1,0.19,268,0.9678,2.4714,2.6893,0.8293,0.5173,0.4906
48,3,0.34,88,2.4045,2.6008,2.7298,0.4655,0.4590,0.4280
117,3,0.05,110,1.5646,2.7458,2.7838,0.6827,0.4582,0.4419
484,3,0.28,280,0.9082,2.4788,2.5293,0.8290,0.5275,0.5072
137,3,0.05,168,1.5889,2.7081,2.9202,0.6773,0.4844,0.4264
23,2,0.0,276,2.0667,2.8305,2.9536,0.5640,0.4463,0.4040
115,1,0.31,178,1.1180,2.5080,2.5806,0.8121,0.5123,0.4703
56,1,0.13,82,1.5515,2.6459,2.8170,0.6888,0.4844,0.4264
50,1,0.22,250,1.4541,2.5017,2.6875,0.7212,0.5055,0.4543
108,3,0.32,257,1.1627,2.3506,2.4615,0.7878,0.5199,0.4992
143,2,0.47000000000000003,143,1.3955,2.2774,2.3395,0.7310,0.5495,0.5206
160,1,0.3,250,1.0659,2.4545,2.6221,0.8248,0.5165,0.4826
174,1,0.15,82,1.3958,2.5707,2.7143,0.7408,0.4954,0.4489
145,2,0.24,207,1.0354,2.4833,2.5628,0.8140,0.5131,0.4922
94,1,0.01,168,1.5287,2.6335,2.7785,0.7040,0.4928,0.4419
68,3,0.28,206,1.3332,2.4363,2.4909,0.7676,0.4920,0.4805
16,3,0.3,75,3.0089,3.0725,3.2445,0.3420,0.3483,0.2916
151,2,0.14,218,1.3605,2.5804,2.5989,0.7391,0.4835,0.4666
132,3,0.38,164,1.3925,2.3739,2.4419,0.7428,0.5190,0.4981
125,1,0.06,144,1.4355,2.6139,2.7676,0.7254,0.4691,0.4280
487,1,0.38,212,0.4802,2.4394,2.5930,0.9592,0.5258,0.4933
134,3,0.36,257,0.7994,2.2632,2.4297,0.8738,0.5427,0.5019
34,3,0.3,103,2.4771,2.7472,2.8560,0.4674,0.4396,0.4050
11,1,0.23,111,2.3730,2.7409,2.8512,0.5058,0.4396,0.4114
