hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,768,0.0934,0.9836,1.1766,0.9886,0.8154,0.8000
415,3,0.43,768,0.3047,1.0660,1.2038,0.9449,0.7947,0.7774
68,3,0.15,768,0.4983,1.2813,1.4791,0.8946,0.7759,0.7826
115,1,0.45,768,0.2982,0.9579,1.0871,0.9524,0.8098,0.7983
401,3,0.05,768,0.8381,1.2669,1.3527,0.8192,0.7439,0.7548
359,1,0.46,768,0.1323,1.0077,1.1181,0.9839,0.7947,0.7930
47,2,0.22,768,0.2638,1.1188,1.3111,0.9524,0.7815,0.7809
144,1,0.38,768,0.3156,1.0134,1.0978,0.9464,0.7872,0.7791
298,2,0.12,768,0.4228,1.1140,1.2437,0.9194,0.7891,0.7722
76,2,0.33,768,0.5727,1.1725,1.2340,0.8988,0.7759,0.7722
15,2,0.34,768,1.4935,1.8160,1.7868,0.7160,0.6478,0.6870
184,1,0.41000000000000003,768,0.1711,1.0410,1.1409,0.9764,0.8041,0.7896
182,1,0.34,768,0.1273,1.0226,1.1908,0.9829,0.7966,0.7930
36,1,0.19,768,0.4575,1.1025,1.1855,0.9206,0.7778,0.7687
48,1,0.34,768,0.3157,1.0818,1.1497,0.9526,0.7966,0.7774
57,2,0.37,768,0.4381,1.1514,1.2979,0.9139,0.7872,0.7809
140,3,0.05,768,0.5420,1.2157,1.3170,0.8948,0.7759,0.7583
222,1,0.31,768,0.3672,1.0327,1.1021,0.9429,0.7702,0.7878
304,3,0.08,768,0.4074,1.2086,1.4115,0.9117,0.7910,0.7687
206,2,0.24,768,0.3811,1.0612,1.1698,0.9276,0.7834,0.7896
184,2,0.2,768,0.1245,1.0974,1.2354,0.9821,0.8004,0.7983
93,2,0.06,768,0.3547,1.1606,1.2537,0.9392,0.7759,0.7704
89,2,0.39,768,0.3718,1.0300,1.1298,0.9370,0.8023,0.8087
139,3,0.11,768,0.3666,1.2252,1.3705,0.9238,0.7759,0.7704
347,3,0.31,768,0.3652,1.0671,1.2619,0.9169,0.7872,0.8070
410,3,0.25,768,0.4062,1.1256,1.2216,0.9194,0.7853,0.7843
147,3,0.1,768,0.6131,1.2163,1.3265,0.8762,0.7721,0.7635
144,3,0.22,768,0.5165,1.1119,1.2383,0.8990,0.7928,0.7878
194,1,0.09,768,0.3713,1.0451,1.1581,0.9367,0.7815,0.7704
43,3,0.07,768,0.8183,1.3584,1.3905,0.8343,0.7326,0.7583
349,3,0.29,768,0.4118,1.1434,1.2809,0.9127,0.7684,0.7757
252,3,0.22,768,0.6101,1.1886,1.3071,0.8742,0.7797,0.7635
233,3,0.19,768,0.3377,1.0934,1.2831,0.9300,0.7947,0.7791
181,2,0.17,768,0.1850,1.1367,1.2630,0.9722,0.7872,0.7652
38,3,0.34,768,1.3181,1.7044,1.7111,0.7420,0.6685,0.7096
92,2,0.07,768,0.6206,1.1397,1.2528,0.8802,0.7740,0.7704
298,2,0.29,768,0.2193,1.0722,1.2453,0.9593,0.7928,0.7861
107,3,0.4,768,0.6762,1.3226,1.4123,0.8457,0.7495,0.7583
19,1,0.05,768,0.5924,1.1894,1.2956,0.8963,0.7495,0.7722
90,2,0.17,768,0.3904,1.0533,1.2005,0.9266,0.7891,0.7774
44,2,0.23,768,0.4260,1.1454,1.2642,0.9176,0.7910,0.7896
39,3,0.31,768,1.3560,1.7051,1.7299,0.7249,0.6591,0.6730
85,2,0.29,768,0.3943,1.0014,1.2094,0.9318,0.7985,0.7861
112,2,0.33,768,0.2704,1.0615,1.1958,0.9586,0.7910,0.7861
427,1,0.04,768,0.3046,1.1027,1.1844,0.9472,0.7759,0.7670
125,2,0.13,768,0.1123,1.1217,1.3053,0.9829,0.7928,0.7774
134,3,0.0,768,0.5787,1.3466,1.4509,0.8854,0.7608,0.7583
421,2,0.5,768,0.2589,0.9832,1.1395,0.9608,0.8173,0.7791
113,3,0.49,768,0.9738,1.4608,1.5425,0.7968,0.6987,0.7235
73,3,0.46,768,1.2762,1.6137,1.6748,0.7584,0.6836,0.6991
