hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,300,0.3265,1.0850,1.3844,0.9434,0.8136,0.7757
415,3,0.43,300,0.4655,1.1968,1.5165,0.9117,0.7740,0.7722
68,3,0.15,300,0.7557,1.4605,1.7239,0.8559,0.7552,0.7443
115,1,0.45,300,0.4114,1.0973,1.3363,0.9298,0.7985,0.7617
401,3,0.05,300,0.6830,1.4014,1.6803,0.8636,0.7533,0.7409
359,1,0.46,300,0.3389,1.0674,1.3496,0.9457,0.8041,0.7600
47,2,0.22,300,0.6788,1.2217,1.3909,0.8653,0.7571,0.7583
144,1,0.38,300,0.3641,1.0877,1.3515,0.9385,0.8041,0.7617
298,2,0.12,300,0.5457,1.2342,1.4798,0.8941,0.7721,0.7617
76,2,0.33,300,0.4792,1.1760,1.4400,0.9112,0.8041,0.7861
15,2,0.34,300,1.5451,1.8131,1.7953,0.6906,0.6441,0.6609
184,1,0.41000000000000003,300,0.4321,1.0768,1.3486,0.9231,0.8023,0.7635
182,1,0.34,300,0.3656,1.0929,1.3588,0.9380,0.7985,0.7600
36,1,0.19,300,0.4911,1.1448,1.3315,0.9102,0.7684,0.7617
48,1,0.34,300,0.4915,1.1305,1.3707,0.9097,0.7872,0.7548
57,2,0.37,300,0.7080,1.1959,1.4359,0.8583,0.7646,0.7583
140,3,0.05,300,0.7088,1.3685,1.7237,0.8554,0.7382,0.7113
222,1,0.31,300,0.3743,1.1007,1.3421,0.9360,0.8004,0.7513
304,3,0.08,300,0.6776,1.3718,1.5315,0.8665,0.7476,0.7583
206,2,0.24,300,0.5115,1.1347,1.4009,0.8988,0.7947,0.7583
184,2,0.2,300,0.4884,1.1790,1.4477,0.9099,0.7966,0.7530
93,2,0.06,300,0.7347,1.2755,1.4709,0.8546,0.7514,0.7478
89,2,0.39,300,0.5353,1.1454,1.4490,0.9032,0.7928,0.7757
139,3,0.11,300,0.8588,1.3809,1.5914,0.8276,0.7345,0.7322
347,3,0.31,300,0.4885,1.2266,1.5240,0.9010,0.7910,0.7600
410,3,0.25,300,0.4439,1.2058,1.5250,0.9102,0.7928,0.7739
147,3,0.1,300,0.5789,1.3600,1.5938,0.8856,0.7759,0.7322
144,3,0.22,300,0.4661,1.2419,1.5986,0.9139,0.7985,0.7704
194,1,0.09,300,0.5099,1.1269,1.3562,0.9092,0.7815,0.7565
43,3,0.07,300,0.8382,1.4315,1.6820,0.8296,0.7382,0.7235
349,3,0.29,300,0.4912,1.2505,1.5378,0.9013,0.7853,0.7774
252,3,0.22,300,0.4192,1.2828,1.5765,0.9169,0.7910,0.7704
233,3,0.19,300,0.7836,1.3062,1.4918,0.8447,0.7608,0.7635
181,2,0.17,300,0.5801,1.1863,1.4173,0.8861,0.7834,0.7530
38,3,0.34,300,1.4855,1.8140,1.9374,0.7130,0.6535,0.6800
92,2,0.07,300,0.6083,1.2409,1.4821,0.8777,0.7759,0.7600
298,2,0.29,300,0.3645,1.1028,1.3794,0.9335,0.8154,0.7757
107,3,0.4,300,0.8075,1.2997,1.5545,0.8459,0.7759,0.7617
19,1,0.05,300,0.6377,1.2077,1.3822,0.8866,0.7646,0.7513
90,2,0.17,300,0.6593,1.1959,1.4440,0.8700,0.7834,0.7617
44,2,0.23,300,0.6929,1.2287,1.4628,0.8623,0.7778,0.7600
39,3,0.31,300,1.3316,1.6826,1.7939,0.7189,0.6817,0.6783
85,2,0.29,300,0.5497,1.1890,1.4321,0.8928,0.7797,0.7704
112,2,0.33,300,0.4895,1.1252,1.3682,0.9090,0.7853,0.7757
427,1,0.04,300,0.6036,1.1490,1.3655,0.8906,0.7778,0.7513
125,2,0.13,300,0.6460,1.2420,1.4485,0.8717,0.7665,0.7617
134,3,0.0,300,1.0438,1.5256,1.6890,0.8023,0.7194,0.7165
421,2,0.5,300,0.4287,1.0673,1.3136,0.9263,0.8117,0.7791
113,3,0.49,300,0.9916,1.4999,1.6598,0.7894,0.7137,0.7339
73,3,0.46,300,1.4381,1.7058,1.7733,0.7184,0.6761,0.6835
