hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,0.4014,1.6587,1.8473,0.9534,0.7119,0.6748
147,1,0.26,134,0.5786,1.8756,2.0276,0.9228,0.6911,0.6696
59,3,0.41000000000000003,172,1.5372,2.2987,2.2547,0.6755,0.5838,0.5930
190,2,0.13,160,0.7239,1.8667,2.0896,0.8804,0.6723,0.6435
484,3,0.06,100,1.5291,2.1208,2.2802,0.7088,0.6516,0.6226
97,1,0.5,242,0.4740,1.6609,1.8591,0.9467,0.7250,0.6870
18,3,0.3,174,2.0413,2.4360,2.4852,0.6078,0.5443,0.5496
261,3,0.14,153,0.9607,1.9260,2.2058,0.8187,0.6780,0.6435
257,1,0.19,108,0.6813,1.8693,2.0166,0.9057,0.6780,0.6557
45,1,0.5,210,0.4252,1.6701,1.8694,0.9457,0.7307,0.7009
60,3,0.34,163,1.2571,2.0329,2.2994,0.7524,0.6478,0.6591
72,3,0.38,276,1.5695,2.0558,2.1728,0.7033,0.6441,0.6296
183,3,0.28,242,0.8957,1.8955,2.0817,0.8308,0.6893,0.6713
333,2,0.11,292,0.7652,1.8710,2.0109,0.8747,0.6761,0.6800
497,3,0.45,153,0.5188,1.7240,2.0338,0.9164,0.7156,0.6765
302,2,0.45,257,0.2804,1.7256,2.0300,0.9603,0.7232,0.6887
263,1,0.02,89,1.0908,1.8590,2.0511,0.8077,0.6685,0.6400
118,3,0.47000000000000003,48,1.2842,1.9824,2.1150,0.7467,0.6610,0.6591
114,1,0.16,52,0.8389,1.9122,2.0896,0.8516,0.6723,0.6435
182,2,0.44,131,0.5201,1.6964,1.9154,0.9310,0.7081,0.6957
195,3,0.37,49,0.9577,1.7943,2.1191,0.8211,0.6874,0.6661
191,1,0.22,124,0.7782,1.8461,1.9647,0.8799,0.6780,0.6696
278,2,0.24,192,1.0572,1.8993,2.0235,0.8169,0.6648,0.6539
55,1,0.14,120,0.6922,1.8269,2.0380,0.8889,0.6893,0.6730
393,2,0.02,184,0.7914,1.9082,2.1476,0.8618,0.6761,0.6522
357,1,0.25,263,0.4962,1.7587,1.8551,0.9375,0.6930,0.6713
255,1,0.19,268,0.5309,1.7067,1.8841,0.9365,0.7024,0.6765
48,3,0.34,88,1.6148,2.2590,2.3263,0.6849,0.6158,0.6139
117,3,0.05,110,1.0775,2.1440,2.3986,0.7852,0.6309,0.6313
484,3,0.28,280,0.7483,1.9064,1.9973,0.8549,0.7100,0.6643
137,3,0.05,168,1.3466,2.0537,2.1280,0.7529,0.6554,0.6313
23,2,0.0,276,1.0512,2.1068,2.2187,0.8025,0.6610,0.6400
115,1,0.31,178,0.5993,1.7189,1.9731,0.9196,0.7119,0.6713
56,1,0.13,82,0.8524,1.9127,2.0947,0.8581,0.6836,0.6470
50,1,0.22,250,0.6811,1.7133,1.8799,0.9045,0.7119,0.6817
108,3,0.32,257,0.9655,1.9354,2.0869,0.8110,0.6742,0.6417
143,2,0.47000000000000003,143,0.7499,1.7062,1.9373,0.8827,0.7175,0.6835
160,1,0.3,250,0.4958,1.7299,1.9107,0.9410,0.6987,0.6783
174,1,0.15,82,0.8022,1.9267,2.0218,0.8665,0.6780,0.6487
145,2,0.24,207,0.8441,1.9189,1.9898,0.8628,0.6855,0.6696
94,1,0.01,168,0.7190,1.8252,2.0547,0.8886,0.6780,0.6661
68,3,0.28,206,1.1320,1.9866,2.1169,0.7770,0.6554,0.6591
16,3,0.3,75,1.9951,2.5513,2.6439,0.5567,0.5273,0.5339
151,2,0.14,218,1.0406,1.8486,2.0476,0.8075,0.6836,0.6609
132,3,0.38,164,0.8420,1.7900,2.1296,0.8283,0.6987,0.6783
125,1,0.06,144,0.7698,1.8585,2.0079,0.8869,0.6893,0.6661
487,1,0.38,212,0.5398,1.7455,1.9472,0.9340,0.7100,0.6557
134,3,0.36,257,0.9302,1.8674,2.0846,0.8199,0.6911,0.6852
34,3,0.3,103,1.8516,2.4463,2.3244,0.5949,0.5574,0.5757
11,1,0.23,111,1.0144,1.8941,2.0186,0.8107,0.6629,0.6748
