hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,0.6747,1.7693,1.9855,0.9174,0.6855,0.6609
147,1,0.26,134,0.7611,1.9540,2.0889,0.8899,0.6667,0.6539
59,3,0.41000000000000003,172,1.7215,2.0760,2.1541,0.7001,0.6290,0.6330
190,2,0.13,160,0.8920,1.8955,2.0926,0.8514,0.6667,0.6313
484,3,0.06,100,1.6079,2.1395,2.2818,0.6971,0.6328,0.6087
97,1,0.5,242,0.6085,1.7855,1.9567,0.9308,0.6987,0.6696
18,3,0.3,174,2.1387,2.3591,2.3876,0.6249,0.5537,0.5739
261,3,0.14,153,0.8271,1.9388,2.2044,0.8435,0.6761,0.6278
257,1,0.19,108,0.5741,1.9257,2.0975,0.9278,0.6704,0.6452
45,1,0.5,210,1.1101,1.8169,1.9491,0.8035,0.6968,0.6557
60,3,0.34,163,1.3618,1.9821,2.1346,0.7522,0.6384,0.6400
72,3,0.38,276,1.2525,1.9902,2.1284,0.7725,0.6610,0.6643
183,3,0.28,242,0.6917,1.8468,2.0833,0.8745,0.6968,0.6730
333,2,0.11,292,0.8357,1.8999,2.0311,0.8616,0.6685,0.6730
497,3,0.45,153,0.4586,1.7699,2.0624,0.9318,0.7119,0.6783
302,2,0.45,257,0.1212,1.7143,2.1024,0.9846,0.7062,0.6835
263,1,0.02,89,0.6889,1.9418,2.1286,0.9042,0.6648,0.6470
118,3,0.47000000000000003,48,1.9873,2.0983,2.2412,0.6353,0.6196,0.6017
114,1,0.16,52,0.8613,2.0230,2.1560,0.8507,0.6573,0.6365
182,2,0.44,131,0.5863,1.6958,1.9638,0.9424,0.7081,0.6870
195,3,0.37,49,1.3947,1.8649,2.0843,0.7370,0.6573,0.6557
191,1,0.22,124,0.4689,1.9045,2.0580,0.9459,0.6798,0.6678
278,2,0.24,192,0.5866,1.9184,2.0491,0.9132,0.6798,0.6730
55,1,0.14,120,1.0562,1.9472,2.1214,0.8065,0.6667,0.6522
393,2,0.02,184,0.8795,1.9322,2.1510,0.8467,0.6855,0.6470
357,1,0.25,263,0.6026,1.7927,1.8832,0.9191,0.6836,0.6696
255,1,0.19,268,0.6475,1.7481,1.9140,0.9099,0.6893,0.6626
48,3,0.34,88,1.8433,2.1721,2.1483,0.6710,0.6139,0.6261
117,3,0.05,110,1.1041,2.1410,2.4104,0.7879,0.6441,0.6174
484,3,0.28,280,0.3572,1.9018,2.1428,0.9419,0.7137,0.6783
137,3,0.05,168,1.1153,2.0938,2.1896,0.7894,0.6441,0.6435
23,2,0.0,276,1.4177,2.1562,2.2312,0.7321,0.6384,0.6313
115,1,0.31,178,0.7048,1.8099,2.0623,0.8946,0.6968,0.6487
56,1,0.13,82,1.2182,2.0527,2.1892,0.7661,0.6667,0.6330
50,1,0.22,250,0.7496,1.8158,1.9819,0.8774,0.6855,0.6678
108,3,0.32,257,0.9708,1.8959,2.0980,0.8157,0.6516,0.6504
143,2,0.47000000000000003,143,0.8720,1.7570,1.9221,0.8787,0.7175,0.6765
160,1,0.3,250,0.6871,1.7898,1.9456,0.9000,0.6723,0.6661
174,1,0.15,82,1.1044,2.0109,2.0680,0.7956,0.6535,0.6278
145,2,0.24,207,0.8688,1.9518,2.0003,0.8514,0.6723,0.6539
94,1,0.01,168,0.7111,1.9098,2.1332,0.8926,0.6629,0.6504
68,3,0.28,206,1.0362,1.8783,2.1013,0.8058,0.6704,0.6643
16,3,0.3,75,2.5420,2.6380,2.6059,0.4964,0.4727,0.5009
151,2,0.14,218,0.8473,1.8730,2.0874,0.8494,0.6798,0.6522
132,3,0.38,164,1.1235,1.7995,2.0365,0.7909,0.6817,0.6643
125,1,0.06,144,1.0060,1.9374,2.0839,0.8268,0.6761,0.6400
487,1,0.38,212,0.6787,1.7993,1.9813,0.9119,0.6930,0.6487
134,3,0.36,257,0.9690,1.7869,2.0313,0.8147,0.6742,0.6661
34,3,0.3,103,1.9611,2.2904,2.3231,0.6219,0.5612,0.5670
11,1,0.23,111,1.7599,2.2291,2.2733,0.6636,0.6026,0.6104
