hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,768,0.5842,1.2172,1.1312,0.8910,0.7486,0.7656
415,3,0.43,768,0.8192,1.2656,1.1620,0.8261,0.7406,0.7628
68,3,0.15,768,0.8797,1.3637,1.2705,0.8225,0.7302,0.7480
115,1,0.45,768,0.9036,1.2765,1.1940,0.8134,0.7356,0.7514
401,3,0.05,768,0.7357,1.2431,1.1514,0.8461,0.7428,0.7592
359,1,0.46,768,0.6438,1.2315,1.1411,0.8744,0.7457,0.7680
47,2,0.22,768,0.9087,1.3004,1.2045,0.8123,0.7377,0.7489
144,1,0.38,768,0.8022,1.2321,1.1364,0.8370,0.7474,0.7654
298,2,0.12,768,0.6391,1.2055,1.1169,0.8630,0.7460,0.7661
76,2,0.33,768,0.9807,1.3165,1.2249,0.7998,0.7357,0.7512
15,2,0.34,768,2.1615,2.2931,2.2415,0.5504,0.5305,0.5407
184,1,0.41000000000000003,768,0.7722,1.2354,1.1387,0.8368,0.7442,0.7619
182,1,0.34,768,0.7031,1.2120,1.1202,0.8550,0.7460,0.7634
36,1,0.19,768,0.8548,1.2449,1.1617,0.8179,0.7409,0.7581
48,1,0.34,768,0.9669,1.2993,1.2111,0.7999,0.7352,0.7492
57,2,0.37,768,1.2016,1.4616,1.3581,0.7664,0.7126,0.7303
140,3,0.05,768,0.6987,1.2425,1.1286,0.8543,0.7444,0.7645
222,1,0.31,768,0.5938,1.2050,1.1148,0.8776,0.7510,0.7696
304,3,0.08,768,0.6490,1.2332,1.1359,0.8620,0.7496,0.7670
206,2,0.24,768,0.6468,1.1987,1.1199,0.8642,0.7492,0.7681
184,2,0.2,768,0.6562,1.2017,1.1052,0.8592,0.7525,0.7675
93,2,0.06,768,0.6624,1.2220,1.1482,0.8578,0.7516,0.7659
89,2,0.39,768,0.9328,1.2977,1.1964,0.8075,0.7353,0.7557
139,3,0.11,768,0.7027,1.2615,1.1584,0.8549,0.7445,0.7618
347,3,0.31,768,0.7228,1.2325,1.1535,0.8498,0.7448,0.7651
410,3,0.25,768,0.6704,1.2363,1.1445,0.8588,0.7452,0.7679
147,3,0.1,768,0.8283,1.2588,1.1637,0.8306,0.7397,0.7589
144,3,0.22,768,0.7387,1.2573,1.1715,0.8506,0.7467,0.7652
194,1,0.09,768,0.6592,1.2218,1.1148,0.8623,0.7414,0.7687
43,3,0.07,768,0.8688,1.4244,1.3050,0.8259,0.7218,0.7428
349,3,0.29,768,0.6902,1.2294,1.1355,0.8594,0.7439,0.7687
252,3,0.22,768,0.6567,1.2367,1.1485,0.8642,0.7470,0.7642
233,3,0.19,768,0.6146,1.2489,1.1270,0.8711,0.7496,0.7722
181,2,0.17,768,0.6769,1.2040,1.1192,0.8549,0.7481,0.7649
38,3,0.34,768,1.8068,2.0078,1.9447,0.6365,0.5945,0.6205
92,2,0.07,768,0.7535,1.2294,1.1319,0.8402,0.7456,0.7669
298,2,0.29,768,0.6541,1.1997,1.1075,0.8672,0.7519,0.7696
107,3,0.4,768,1.1032,1.4545,1.3509,0.7749,0.7144,0.7298
19,1,0.05,768,0.8816,1.3137,1.2111,0.8144,0.7313,0.7525
90,2,0.17,768,0.7290,1.2299,1.1230,0.8470,0.7471,0.7672
44,2,0.23,768,1.0073,1.3518,1.2481,0.7971,0.7294,0.7480
39,3,0.31,768,1.7574,1.9788,1.8958,0.6474,0.6053,0.6257
85,2,0.29,768,0.8203,1.2588,1.1593,0.8307,0.7418,0.7589
112,2,0.33,768,0.7838,1.2263,1.1285,0.8341,0.7490,0.7662
427,1,0.04,768,0.7202,1.2062,1.1259,0.8491,0.7531,0.7622
125,2,0.13,768,0.5914,1.2127,1.1155,0.8750,0.7540,0.7697
134,3,0.0,768,0.8672,1.2750,1.1844,0.8160,0.7343,0.7538
421,2,0.5,768,0.7788,1.2602,1.1656,0.8500,0.7469,0.7660
113,3,0.49,768,1.4691,1.6848,1.5996,0.7049,0.6680,0.6805
73,3,0.46,768,1.7405,1.9206,1.8383,0.6459,0.6089,0.6291
