hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,300,0.7052,1.2623,1.1670,0.8462,0.7384,0.7498
415,3,0.43,300,0.8328,1.3108,1.2014,0.8222,0.7276,0.7463
68,3,0.15,300,1.0726,1.4592,1.3681,0.7822,0.7084,0.7194
115,1,0.45,300,1.0972,1.3775,1.2905,0.7683,0.7130,0.7297
401,3,0.05,300,0.9661,1.3587,1.2720,0.7967,0.7215,0.7368
359,1,0.46,300,0.8935,1.3100,1.2167,0.8107,0.7281,0.7421
47,2,0.22,300,1.0721,1.4019,1.3174,0.7760,0.7116,0.7242
144,1,0.38,300,0.9217,1.3197,1.2275,0.8058,0.7263,0.7426
298,2,0.12,300,0.7708,1.3209,1.2216,0.8375,0.7296,0.7454
76,2,0.33,300,1.1360,1.4066,1.3171,0.7647,0.7094,0.7261
15,2,0.34,300,2.2287,2.3164,2.2659,0.5692,0.5433,0.5599
184,1,0.41000000000000003,300,0.9333,1.3164,1.2241,0.8019,0.7251,0.7402
182,1,0.34,300,0.8778,1.3053,1.2080,0.8151,0.7286,0.7453
36,1,0.19,300,1.0319,1.3862,1.2988,0.7801,0.7106,0.7270
48,1,0.34,300,1.1184,1.3999,1.3036,0.7605,0.7060,0.7233
57,2,0.37,300,1.2950,1.5163,1.4264,0.7424,0.6917,0.7129
140,3,0.05,300,0.8954,1.4005,1.2951,0.8138,0.7184,0.7330
222,1,0.31,300,0.8447,1.2987,1.2011,0.8195,0.7278,0.7431
304,3,0.08,300,0.8228,1.3559,1.2586,0.8287,0.7270,0.7377
206,2,0.24,300,0.8424,1.3017,1.2105,0.8220,0.7283,0.7391
184,2,0.2,300,0.7746,1.3028,1.2127,0.8352,0.7347,0.7452
93,2,0.06,300,0.9028,1.3630,1.2772,0.8078,0.7183,0.7331
89,2,0.39,300,1.1361,1.3952,1.3129,0.7628,0.7095,0.7243
139,3,0.11,300,0.8212,1.3657,1.2819,0.8305,0.7258,0.7379
347,3,0.31,300,0.8022,1.3159,1.2179,0.8288,0.7294,0.7439
410,3,0.25,300,0.7232,1.3168,1.2075,0.8481,0.7312,0.7475
147,3,0.1,300,0.8480,1.3555,1.2666,0.8258,0.7239,0.7392
144,3,0.22,300,0.9430,1.3578,1.2575,0.8056,0.7197,0.7358
194,1,0.09,300,0.8359,1.3370,1.2416,0.8188,0.7253,0.7387
43,3,0.07,300,1.1157,1.5646,1.4548,0.7780,0.6932,0.7121
349,3,0.29,300,0.7409,1.3026,1.2027,0.8404,0.7339,0.7434
252,3,0.22,300,0.8193,1.3308,1.2291,0.8287,0.7292,0.7445
233,3,0.19,300,0.8543,1.3227,1.2292,0.8224,0.7316,0.7400
181,2,0.17,300,0.7971,1.3106,1.2158,0.8313,0.7292,0.7450
38,3,0.34,300,1.9854,2.1378,2.0579,0.6131,0.5835,0.5926
92,2,0.07,300,0.8760,1.3497,1.2631,0.8139,0.7220,0.7362
298,2,0.29,300,0.7276,1.2760,1.1744,0.8439,0.7333,0.7504
107,3,0.4,300,1.3450,1.5745,1.4874,0.7338,0.6848,0.7005
19,1,0.05,300,1.0898,1.4397,1.3366,0.7692,0.7043,0.7265
90,2,0.17,300,0.7923,1.3314,1.2244,0.8311,0.7287,0.7471
44,2,0.23,300,1.1053,1.4270,1.3431,0.7710,0.7053,0.7239
39,3,0.31,300,1.7588,1.9509,1.8762,0.6511,0.6092,0.6244
85,2,0.29,300,0.9445,1.3331,1.2347,0.7991,0.7260,0.7375
112,2,0.33,300,0.9462,1.3291,1.2382,0.7970,0.7249,0.7361
427,1,0.04,300,0.8866,1.3555,1.2567,0.8106,0.7232,0.7402
125,2,0.13,300,0.8458,1.3380,1.2403,0.8179,0.7263,0.7401
134,3,0.0,300,1.0348,1.4586,1.3575,0.7844,0.7047,0.7232
421,2,0.5,300,0.8801,1.2911,1.1822,0.8057,0.7287,0.7486
113,3,0.49,300,1.5314,1.6998,1.6307,0.7026,0.6676,0.6814
73,3,0.46,300,1.7933,1.9330,1.8724,0.6216,0.5903,0.6056
