hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,0.9892,2.0510,2.0127,0.8244,0.5744,0.5789
147,1,0.26,134,1.0980,2.2436,2.2328,0.7854,0.5432,0.5455
59,3,0.41000000000000003,172,2.1192,2.6303,2.6134,0.5330,0.4303,0.4293
190,2,0.13,160,1.4633,2.2758,2.2631,0.6955,0.5273,0.5227
484,3,0.06,100,1.3929,2.3098,2.2910,0.7068,0.5157,0.5148
97,1,0.5,242,0.8777,2.0415,2.0061,0.8496,0.5837,0.5863
18,3,0.3,174,2.5825,2.9694,2.9527,0.3984,0.3353,0.3366
261,3,0.14,153,1.4284,2.2568,2.2225,0.7068,0.5287,0.5240
257,1,0.19,108,1.2201,2.2855,2.2241,0.7546,0.5315,0.5367
45,1,0.5,210,1.1267,2.0685,2.0338,0.8025,0.5740,0.5752
60,3,0.34,163,2.0725,2.5506,2.5369,0.5216,0.4445,0.4393
72,3,0.38,276,1.8502,2.4857,2.4405,0.5571,0.4569,0.4640
183,3,0.28,242,1.2748,2.1826,2.1694,0.7458,0.5475,0.5475
333,2,0.11,292,1.0857,2.2538,2.2125,0.7879,0.5396,0.5403
497,3,0.45,153,1.2525,2.1196,2.0789,0.7495,0.5596,0.5590
302,2,0.45,257,0.9792,2.0892,2.0309,0.8207,0.5768,0.5783
263,1,0.02,89,1.6257,2.3751,2.3343,0.6592,0.5051,0.5034
118,3,0.47000000000000003,48,1.7592,2.4159,2.3956,0.6337,0.4966,0.4929
114,1,0.16,52,1.3091,2.3005,2.2600,0.7313,0.5357,0.5343
182,2,0.44,131,1.1807,2.0913,2.0478,0.7762,0.5637,0.5684
195,3,0.37,49,1.5399,2.2805,2.2654,0.6879,0.5259,0.5229
191,1,0.22,124,1.3013,2.2399,2.2282,0.7382,0.5396,0.5352
278,2,0.24,192,1.3739,2.1815,2.1620,0.7289,0.5351,0.5417
55,1,0.14,120,1.2370,2.2830,2.2725,0.7510,0.5450,0.5406
393,2,0.02,184,1.5634,2.3214,2.2882,0.6784,0.5139,0.5085
357,1,0.25,263,1.1172,2.2414,2.1956,0.7865,0.5444,0.5402
255,1,0.19,268,1.2806,2.2539,2.2096,0.7467,0.5352,0.5347
48,3,0.34,88,2.0403,2.5672,2.5607,0.5519,0.4514,0.4564
117,3,0.05,110,1.7804,2.3618,2.3651,0.6169,0.4945,0.4852
484,3,0.28,280,1.1247,2.1552,2.1454,0.7814,0.5548,0.5517
137,3,0.05,168,1.4134,2.3256,2.3209,0.7051,0.5170,0.5149
23,2,0.0,276,1.6585,2.4175,2.4016,0.6562,0.5046,0.4998
115,1,0.31,178,1.1323,2.1783,2.1646,0.7806,0.5526,0.5542
56,1,0.13,82,1.3339,2.3193,2.2917,0.7268,0.5326,0.5314
50,1,0.22,250,1.1683,2.2156,2.1940,0.7736,0.5447,0.5433
108,3,0.32,257,1.4975,2.2968,2.2529,0.6804,0.5225,0.5234
143,2,0.47000000000000003,143,1.1992,2.0883,2.0682,0.7746,0.5672,0.5659
160,1,0.3,250,1.0937,2.1903,2.1445,0.7903,0.5518,0.5543
174,1,0.15,82,1.3881,2.3130,2.2685,0.7181,0.5305,0.5297
145,2,0.24,207,1.2261,2.1980,2.1954,0.7601,0.5426,0.5396
94,1,0.01,168,1.4255,2.3178,2.3241,0.7090,0.5237,0.5197
68,3,0.28,206,1.7300,2.4173,2.3705,0.6350,0.4893,0.4971
16,3,0.3,75,2.4942,2.8160,2.8225,0.4447,0.3722,0.3738
151,2,0.14,218,1.3425,2.2517,2.2194,0.7331,0.5321,0.5316
132,3,0.38,164,1.4801,2.2917,2.2788,0.6995,0.5226,0.5235
125,1,0.06,144,1.2739,2.3320,2.3166,0.7445,0.5278,0.5275
487,1,0.38,212,1.0919,2.1903,2.1236,0.7978,0.5497,0.5559
134,3,0.36,257,1.3460,2.2500,2.2066,0.7298,0.5386,0.5359
34,3,0.3,103,2.3608,2.7118,2.7141,0.4373,0.3887,0.3906
11,1,0.23,111,1.4497,2.3382,2.2916,0.7181,0.5305,0.5327
