hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,2.2885,2.4672,2.4372,0.5147,0.4680,0.4665
147,1,0.26,134,1.7074,2.2801,2.2630,0.6487,0.5104,0.5082
59,3,0.41000000000000003,172,2.6855,2.7549,2.7193,0.3782,0.3695,0.3712
190,2,0.13,160,1.4877,2.2927,2.2730,0.6904,0.5082,0.5153
484,3,0.06,100,1.7156,2.3298,2.3073,0.6284,0.4934,0.4922
97,1,0.5,242,2.2226,2.4219,2.3987,0.5300,0.4759,0.4723
18,3,0.3,174,2.9887,3.0268,3.0090,0.3149,0.3108,0.3137
261,3,0.14,153,1.2865,2.2593,2.2244,0.7504,0.5203,0.5163
257,1,0.19,108,1.5017,2.3150,2.2656,0.6951,0.5140,0.5127
45,1,0.5,210,2.4813,2.5933,2.5603,0.4595,0.4300,0.4307
60,3,0.34,163,2.5491,2.6405,2.6036,0.4021,0.3977,0.3970
72,3,0.38,276,2.4212,2.5292,2.5164,0.4423,0.4274,0.4267
183,3,0.28,242,1.7870,2.2150,2.2088,0.6154,0.5114,0.5023
333,2,0.11,292,1.2856,2.2745,2.2569,0.7420,0.5233,0.5188
497,3,0.45,153,2.2700,2.4329,2.3874,0.4772,0.4566,0.4518
302,2,0.45,257,2.0726,2.3420,2.3044,0.5466,0.4805,0.4816
263,1,0.02,89,1.7298,2.4252,2.3847,0.6333,0.4927,0.4904
118,3,0.47000000000000003,48,2.7788,2.8354,2.7973,0.3704,0.3613,0.3648
114,1,0.16,52,2.0638,2.4150,2.3784,0.5437,0.4765,0.4692
182,2,0.44,131,2.2706,2.4223,2.3949,0.4755,0.4500,0.4482
195,3,0.37,49,2.4152,2.4972,2.4735,0.4450,0.4299,0.4280
191,1,0.22,124,1.5456,2.2791,2.2556,0.6900,0.5166,0.5109
278,2,0.24,192,1.2105,2.1928,2.1637,0.7821,0.5326,0.5400
55,1,0.14,120,2.0199,2.3995,2.3959,0.5500,0.4799,0.4710
393,2,0.02,184,1.3729,2.3629,2.3389,0.7180,0.5031,0.5019
357,1,0.25,263,1.2541,2.2697,2.2272,0.7659,0.5259,0.5247
255,1,0.19,268,1.3229,2.2964,2.2753,0.7385,0.5194,0.5140
48,3,0.34,88,2.7332,2.7893,2.7549,0.3749,0.3669,0.3683
117,3,0.05,110,1.8099,2.3844,2.3805,0.5956,0.4843,0.4748
484,3,0.28,280,1.0582,2.1857,2.1405,0.8049,0.5428,0.5384
137,3,0.05,168,1.6313,2.3717,2.3640,0.6478,0.5004,0.4939
23,2,0.0,276,2.1843,2.5540,2.5341,0.5113,0.4487,0.4446
115,1,0.31,178,1.7740,2.2815,2.2713,0.6384,0.5129,0.5053
56,1,0.13,82,2.1393,2.4593,2.4243,0.5196,0.4658,0.4661
50,1,0.22,250,1.8493,2.3404,2.3245,0.5993,0.4981,0.4891
108,3,0.32,257,2.0683,2.3101,2.2948,0.5288,0.4850,0.4810
143,2,0.47000000000000003,143,2.3603,2.4716,2.4388,0.4589,0.4359,0.4370
160,1,0.3,250,1.3847,2.2352,2.1972,0.7421,0.5293,0.5266
174,1,0.15,82,1.7684,2.3705,2.3382,0.6218,0.4979,0.4950
145,2,0.24,207,1.5367,2.2018,2.1841,0.6955,0.5217,0.5211
94,1,0.01,168,1.8943,2.4382,2.4329,0.5953,0.4830,0.4812
68,3,0.28,206,2.2731,2.4680,2.4371,0.4812,0.4479,0.4433
16,3,0.3,75,3.1318,3.1526,3.1431,0.3127,0.3087,0.3105
151,2,0.14,218,1.4988,2.2732,2.2497,0.6934,0.5124,0.5122
132,3,0.38,164,2.2984,2.4323,2.4015,0.4742,0.4508,0.4497
125,1,0.06,144,1.7299,2.4061,2.3762,0.6320,0.4863,0.4910
487,1,0.38,212,1.2536,2.2034,2.1503,0.7843,0.5373,0.5391
134,3,0.36,257,2.1026,2.3284,2.3076,0.5165,0.4759,0.4723
34,3,0.3,103,2.8061,2.8601,2.8377,0.3578,0.3510,0.3503
11,1,0.23,111,2.7066,2.7816,2.7389,0.3971,0.3835,0.3879
