hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,768,0.5494,0.6641,0.6705,0.8826,0.8637,0.8603
415,3,0.43,768,0.6116,0.6830,0.7065,0.8747,0.8579,0.8545
68,3,0.15,768,0.6341,0.7230,0.7249,0.8745,0.8557,0.8559
115,1,0.45,768,0.6649,0.7216,0.7288,0.8606,0.8459,0.8447
401,3,0.05,768,0.4917,0.6548,0.6594,0.8947,0.8651,0.8610
359,1,0.46,768,0.6095,0.6974,0.6951,0.8732,0.8570,0.8545
47,2,0.22,768,0.7017,0.7416,0.7580,0.8594,0.8467,0.8437
144,1,0.38,768,0.6029,0.6881,0.6867,0.8715,0.8552,0.8537
298,2,0.12,768,0.4531,0.6289,0.6372,0.9022,0.8663,0.8657
76,2,0.33,768,0.6753,0.7270,0.7300,0.8623,0.8467,0.8494
15,2,0.34,768,1.8748,1.8404,1.8279,0.5827,0.5861,0.5873
184,1,0.41000000000000003,768,0.5959,0.6883,0.6865,0.8762,0.8553,0.8549
182,1,0.34,768,0.5126,0.6501,0.6496,0.8911,0.8626,0.8617
36,1,0.19,768,0.6248,0.7023,0.7044,0.8688,0.8538,0.8511
48,1,0.34,768,0.7248,0.7547,0.7627,0.8478,0.8405,0.8395
57,2,0.37,768,0.8605,0.8606,0.8718,0.8306,0.8215,0.8232
140,3,0.05,768,0.4778,0.6644,0.6654,0.8987,0.8633,0.8635
222,1,0.31,768,0.5122,0.6488,0.6438,0.8899,0.8629,0.8621
304,3,0.08,768,0.4820,0.6470,0.6375,0.8997,0.8641,0.8682
206,2,0.24,768,0.4387,0.6250,0.6274,0.9040,0.8723,0.8686
184,2,0.2,768,0.4575,0.6349,0.6367,0.9021,0.8683,0.8678
93,2,0.06,768,0.4823,0.6500,0.6462,0.8967,0.8637,0.8641
89,2,0.39,768,0.7368,0.7530,0.7689,0.8520,0.8456,0.8427
139,3,0.11,768,0.4727,0.6499,0.6476,0.9021,0.8674,0.8686
347,3,0.31,768,0.5365,0.6529,0.6620,0.8887,0.8665,0.8626
410,3,0.25,768,0.4710,0.6367,0.6404,0.8998,0.8630,0.8650
147,3,0.1,768,0.4426,0.6420,0.6385,0.9060,0.8686,0.8681
144,3,0.22,768,0.5493,0.6619,0.6709,0.8855,0.8634,0.8624
194,1,0.09,768,0.4095,0.6435,0.6374,0.9122,0.8660,0.8661
43,3,0.07,768,0.6406,0.7425,0.7623,0.8731,0.8542,0.8514
349,3,0.29,768,0.4531,0.6358,0.6344,0.9017,0.8685,0.8706
252,3,0.22,768,0.4574,0.6362,0.6352,0.9025,0.8681,0.8696
233,3,0.19,768,0.5427,0.6604,0.6658,0.8859,0.8611,0.8624
181,2,0.17,768,0.4748,0.6411,0.6369,0.8977,0.8643,0.8671
38,3,0.34,768,1.4890,1.4475,1.4907,0.6903,0.6983,0.6887
92,2,0.07,768,0.5470,0.6526,0.6512,0.8855,0.8650,0.8641
298,2,0.29,768,0.4769,0.6328,0.6353,0.8982,0.8675,0.8681
107,3,0.4,768,0.9050,0.9104,0.9381,0.8179,0.8134,0.8061
19,1,0.05,768,0.6241,0.7160,0.7188,0.8713,0.8512,0.8535
90,2,0.17,768,0.5352,0.6568,0.6621,0.8870,0.8596,0.8627
44,2,0.23,768,0.7452,0.7719,0.7822,0.8531,0.8430,0.8400
39,3,0.31,768,1.5052,1.4784,1.5011,0.6606,0.6688,0.6603
85,2,0.29,768,0.6305,0.6985,0.7147,0.8698,0.8542,0.8536
112,2,0.33,768,0.6051,0.6711,0.6765,0.8728,0.8581,0.8566
427,1,0.04,768,0.3683,0.6570,0.6460,0.9183,0.8659,0.8672
125,2,0.13,768,0.4923,0.6461,0.6397,0.8919,0.8644,0.8641
134,3,0.0,768,0.4451,0.6738,0.6781,0.9044,0.8615,0.8584
421,2,0.5,768,0.6652,0.7281,0.7336,0.8603,0.8451,0.8464
113,3,0.49,768,1.0916,1.0745,1.1070,0.7695,0.7745,0.7634
73,3,0.46,768,1.4525,1.4039,1.4417,0.6729,0.6855,0.6775
