hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,300,0.8121,0.9372,0.9433,0.8130,0.7919,0.7893
415,3,0.43,300,0.9093,0.9845,0.9816,0.7987,0.7846,0.7860
68,3,0.15,300,1.0161,1.0860,1.0939,0.7881,0.7758,0.7698
115,1,0.45,300,1.1304,1.1515,1.1601,0.7663,0.7588,0.7576
401,3,0.05,300,0.7840,0.9755,0.9794,0.8285,0.7882,0.7892
359,1,0.46,300,0.8890,1.0108,1.0084,0.8130,0.7887,0.7872
47,2,0.22,300,1.1304,1.1469,1.1506,0.7629,0.7583,0.7543
144,1,0.38,300,0.9896,1.0601,1.0534,0.7888,0.7755,0.7749
298,2,0.12,300,0.6745,0.9441,0.9343,0.8493,0.8027,0.7978
76,2,0.33,300,1.1298,1.1321,1.1398,0.7601,0.7579,0.7524
15,2,0.34,300,2.0898,2.0383,2.0421,0.5283,0.5396,0.5346
184,1,0.41000000000000003,300,1.0127,1.0726,1.0686,0.7864,0.7718,0.7753
182,1,0.34,300,0.8644,0.9964,1.0032,0.8144,0.7875,0.7872
36,1,0.19,300,1.0758,1.1203,1.1174,0.7747,0.7636,0.7636
48,1,0.34,300,1.1575,1.1732,1.1846,0.7612,0.7585,0.7552
57,2,0.37,300,1.2802,1.2596,1.2705,0.7358,0.7434,0.7339
140,3,0.05,300,0.7357,0.9894,1.0098,0.8405,0.7918,0.7842
222,1,0.31,300,0.8384,0.9964,0.9821,0.8199,0.7864,0.7880
304,3,0.08,300,0.6723,0.9577,0.9563,0.8520,0.7973,0.7952
206,2,0.24,300,0.7780,0.9425,0.9308,0.8239,0.7976,0.7945
184,2,0.2,300,0.8023,0.9515,0.9549,0.8219,0.7966,0.7902
93,2,0.06,300,0.8760,1.0124,1.0228,0.8101,0.7843,0.7792
89,2,0.39,300,1.1625,1.1563,1.1700,0.7554,0.7555,0.7491
139,3,0.11,300,0.7766,0.9799,0.9859,0.8280,0.7899,0.7890
347,3,0.31,300,0.7985,0.9338,0.9406,0.8226,0.7988,0.7945
410,3,0.25,300,0.6821,0.9229,0.9319,0.8471,0.8020,0.7990
147,3,0.1,300,0.7383,0.9759,0.9840,0.8370,0.7955,0.7875
144,3,0.22,300,0.8384,0.9663,0.9768,0.8163,0.7914,0.7870
194,1,0.09,300,0.8151,1.0008,0.9979,0.8240,0.7861,0.7874
43,3,0.07,300,1.0373,1.1255,1.1485,0.7861,0.7681,0.7643
349,3,0.29,300,0.7747,0.9335,0.9476,0.8263,0.7981,0.7918
252,3,0.22,300,0.7591,0.9321,0.9420,0.8333,0.7986,0.7967
233,3,0.19,300,0.7709,0.9501,0.9604,0.8295,0.7931,0.7906
181,2,0.17,300,0.7536,0.9523,0.9459,0.8313,0.7916,0.7956
38,3,0.34,300,1.8631,1.8144,1.8572,0.6007,0.6138,0.6047
92,2,0.07,300,0.7769,0.9893,0.9871,0.8293,0.7935,0.7878
298,2,0.29,300,0.7902,0.9373,0.9410,0.8225,0.7972,0.7937
107,3,0.4,300,1.3021,1.2810,1.2908,0.7310,0.7378,0.7286
19,1,0.05,300,1.1314,1.1825,1.1992,0.7629,0.7499,0.7471
90,2,0.17,300,0.9237,1.0083,1.0171,0.7987,0.7805,0.7807
44,2,0.23,300,1.2013,1.1936,1.2155,0.7507,0.7504,0.7444
39,3,0.31,300,1.7394,1.6964,1.7024,0.6225,0.6303,0.6213
85,2,0.29,300,1.0426,1.0700,1.0850,0.7777,0.7740,0.7669
112,2,0.33,300,0.9967,1.0413,1.0403,0.7857,0.7760,0.7778
427,1,0.04,300,0.7229,0.9963,0.9914,0.8454,0.7920,0.7886
125,2,0.13,300,0.8192,0.9798,0.9717,0.8208,0.7900,0.7861
134,3,0.0,300,0.8713,1.0447,1.0529,0.8114,0.7763,0.7742
421,2,0.5,300,0.9516,0.9939,1.0014,0.7885,0.7826,0.7788
113,3,0.49,300,1.4791,1.4351,1.4534,0.6758,0.6854,0.6782
73,3,0.46,300,1.6841,1.6461,1.6511,0.6367,0.6461,0.6390
