hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,0.7693,1.0675,1.0827,0.8323,0.7689,0.7614
147,1,0.26,134,0.7322,1.1230,1.1376,0.8394,0.7663,0.7551
59,3,0.41000000000000003,172,1.3033,1.4860,1.5411,0.7170,0.6844,0.6811
190,2,0.13,160,0.6853,1.1410,1.1534,0.8522,0.7594,0.7556
484,3,0.06,100,0.7407,1.1987,1.2388,0.8396,0.7483,0.7349
97,1,0.5,242,0.7889,1.0792,1.0925,0.8270,0.7678,0.7608
18,3,0.3,174,2.0682,2.0594,2.0831,0.5502,0.5389,0.5379
261,3,0.14,153,0.7626,1.1302,1.1468,0.8334,0.7579,0.7515
257,1,0.19,108,0.7543,1.1643,1.1729,0.8378,0.7576,0.7489
45,1,0.5,210,0.7892,1.0729,1.1089,0.8301,0.7734,0.7573
60,3,0.34,163,1.1696,1.3459,1.3653,0.7495,0.7240,0.7154
72,3,0.38,276,1.0734,1.2704,1.3215,0.7764,0.7404,0.7273
183,3,0.28,242,0.8068,1.1299,1.1316,0.8251,0.7661,0.7586
333,2,0.11,292,0.6931,1.1756,1.1773,0.8486,0.7523,0.7533
497,3,0.45,153,0.9356,1.1269,1.1496,0.7976,0.7577,0.7501
302,2,0.45,257,0.8495,1.0881,1.1158,0.8132,0.7663,0.7603
263,1,0.02,89,0.7962,1.2490,1.2733,0.8292,0.7466,0.7335
118,3,0.47000000000000003,48,1.1947,1.3260,1.3492,0.7525,0.7232,0.7119
114,1,0.16,52,0.7293,1.1586,1.1739,0.8412,0.7610,0.7505
182,2,0.44,131,0.8150,1.0858,1.0958,0.8190,0.7696,0.7580
195,3,0.37,49,0.9442,1.1405,1.1763,0.7965,0.7515,0.7437
191,1,0.22,124,0.6707,1.1240,1.1297,0.8524,0.7671,0.7590
278,2,0.24,192,0.6656,1.0977,1.1244,0.8497,0.7681,0.7616
55,1,0.14,120,0.7627,1.1617,1.1637,0.8347,0.7576,0.7491
393,2,0.02,184,0.7878,1.2334,1.2359,0.8273,0.7403,0.7330
357,1,0.25,263,0.6840,1.1233,1.1730,0.8492,0.7598,0.7468
255,1,0.19,268,0.6279,1.1382,1.1788,0.8608,0.7619,0.7501
48,3,0.34,88,1.4553,1.5724,1.6146,0.6695,0.6521,0.6462
117,3,0.05,110,0.7897,1.1934,1.2239,0.8333,0.7529,0.7405
484,3,0.28,280,0.7609,1.0980,1.1294,0.8300,0.7647,0.7573
137,3,0.05,168,0.7550,1.2009,1.2125,0.8352,0.7571,0.7463
23,2,0.0,276,0.8319,1.2560,1.2769,0.8263,0.7506,0.7384
115,1,0.31,178,0.7237,1.1093,1.1225,0.8404,0.7674,0.7571
56,1,0.13,82,0.7411,1.1534,1.1895,0.8392,0.7614,0.7494
50,1,0.22,250,0.7075,1.1023,1.1406,0.8456,0.7681,0.7543
108,3,0.32,257,0.8731,1.1458,1.1803,0.8109,0.7620,0.7476
143,2,0.47000000000000003,143,0.8588,1.0895,1.1242,0.8104,0.7641,0.7533
160,1,0.3,250,0.6871,1.0981,1.1304,0.8495,0.7636,0.7593
174,1,0.15,82,0.7414,1.1583,1.1779,0.8380,0.7581,0.7481
145,2,0.24,207,0.6715,1.1112,1.1103,0.8495,0.7676,0.7641
94,1,0.01,168,0.7254,1.2375,1.2321,0.8444,0.7475,0.7434
68,3,0.28,206,0.9226,1.2090,1.2242,0.8111,0.7559,0.7468
16,3,0.3,75,1.9727,2.0527,2.0824,0.5577,0.5367,0.5377
151,2,0.14,218,0.6956,1.1284,1.1617,0.8488,0.7585,0.7531
132,3,0.38,164,0.9204,1.1518,1.1771,0.8052,0.7538,0.7444
125,1,0.06,144,0.7998,1.2040,1.2349,0.8262,0.7480,0.7358
487,1,0.38,212,0.7249,1.1176,1.1408,0.8410,0.7656,0.7562
134,3,0.36,257,0.8927,1.1390,1.1622,0.8109,0.7604,0.7504
34,3,0.3,103,1.3659,1.5587,1.6001,0.6994,0.6730,0.6651
11,1,0.23,111,0.8837,1.1988,1.2297,0.8229,0.7561,0.7489
