hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,1.7145,1.6897,1.7289,0.6445,0.6466,0.6336
147,1,0.26,134,1.3033,1.4058,1.4431,0.7282,0.7064,0.6902
59,3,0.41000000000000003,172,2.1818,2.1163,2.1594,0.5229,0.5317,0.5246
190,2,0.13,160,0.9308,1.2550,1.3023,0.7975,0.7331,0.7153
484,3,0.06,100,0.8114,1.2815,1.3351,0.8229,0.7320,0.7179
97,1,0.5,242,1.7161,1.6992,1.7470,0.6468,0.6496,0.6337
18,3,0.3,174,2.6271,2.5774,2.5803,0.4435,0.4369,0.4457
261,3,0.14,153,1.0229,1.2411,1.2879,0.7811,0.7269,0.7163
257,1,0.19,108,1.0309,1.3099,1.3384,0.7837,0.7254,0.7135
45,1,0.5,210,1.9518,1.9029,1.9503,0.5815,0.5851,0.5737
60,3,0.34,163,1.9746,1.9087,1.9595,0.5710,0.5782,0.5692
72,3,0.38,276,1.8216,1.7584,1.8167,0.6056,0.6132,0.5989
183,3,0.28,242,1.2028,1.2991,1.3439,0.7429,0.7203,0.7060
333,2,0.11,292,0.8147,1.2419,1.2946,0.8218,0.7351,0.7248
497,3,0.45,153,1.5046,1.4777,1.5422,0.6705,0.6766,0.6568
302,2,0.45,257,1.3591,1.3907,1.4455,0.7094,0.7029,0.6806
263,1,0.02,89,1.0889,1.4136,1.4748,0.7689,0.7059,0.6922
118,3,0.47000000000000003,48,2.3515,2.3082,2.3140,0.4902,0.4785,0.4900
114,1,0.16,52,1.5265,1.5601,1.6241,0.6787,0.6648,0.6557
182,2,0.44,131,1.6563,1.6128,1.6648,0.6421,0.6487,0.6285
195,3,0.37,49,1.8252,1.7652,1.8187,0.6029,0.6083,0.5938
191,1,0.22,124,1.1170,1.3141,1.3614,0.7648,0.7216,0.7060
278,2,0.24,192,0.9901,1.2132,1.2511,0.7849,0.7372,0.7276
55,1,0.14,120,1.4827,1.5327,1.5752,0.6881,0.6760,0.6634
393,2,0.02,184,0.7797,1.3023,1.3259,0.8341,0.7268,0.7173
357,1,0.25,263,0.9047,1.2379,1.2855,0.8089,0.7381,0.7292
255,1,0.19,268,0.9229,1.2540,1.3144,0.8033,0.7378,0.7192
48,3,0.34,88,2.3253,2.2804,2.3081,0.5011,0.4928,0.4970
117,3,0.05,110,1.1173,1.3423,1.4038,0.7617,0.7177,0.6963
484,3,0.28,280,0.9970,1.2025,1.2551,0.7820,0.7375,0.7252
137,3,0.05,168,0.9518,1.3134,1.3557,0.7948,0.7239,0.7106
23,2,0.0,276,1.3636,1.5541,1.6321,0.7185,0.6859,0.6626
115,1,0.31,178,1.3231,1.4111,1.4409,0.7239,0.7051,0.6936
56,1,0.13,82,1.5539,1.5643,1.6474,0.6706,0.6663,0.6440
50,1,0.22,250,1.4224,1.4775,1.5421,0.7009,0.6909,0.6679
108,3,0.32,257,1.4360,1.4418,1.4993,0.6981,0.6936,0.6720
143,2,0.47000000000000003,143,1.7831,1.7289,1.7818,0.6036,0.6131,0.5997
160,1,0.3,250,1.0982,1.2770,1.3162,0.7728,0.7290,0.7217
174,1,0.15,82,1.1841,1.3692,1.4167,0.7492,0.7093,0.6969
145,2,0.24,207,1.1700,1.2921,1.3431,0.7477,0.7208,0.7029
94,1,0.01,168,1.1543,1.4464,1.4963,0.7558,0.7005,0.6828
68,3,0.28,206,1.6433,1.6061,1.6612,0.6412,0.6478,0.6271
16,3,0.3,75,2.8121,2.7942,2.7738,0.4122,0.4037,0.4141
151,2,0.14,218,0.8767,1.2128,1.2662,0.8068,0.7398,0.7245
132,3,0.38,164,1.7087,1.6447,1.7159,0.6261,0.6365,0.6138
125,1,0.06,144,1.0891,1.3921,1.4365,0.7666,0.7089,0.6915
487,1,0.38,212,1.0704,1.2867,1.3179,0.7797,0.7325,0.7170
134,3,0.36,257,1.5550,1.5218,1.5816,0.6656,0.6711,0.6484
34,3,0.3,103,2.4884,2.4415,2.4541,0.4709,0.4633,0.4722
11,1,0.23,111,2.2551,2.1940,2.2218,0.5187,0.5232,0.5217
