hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,768,0.2113,0.3338,0.3629,0.9509,0.9247,0.9193
415,3,0.43,768,0.2472,0.3550,0.3780,0.9453,0.9223,0.9176
68,3,0.15,768,0.2918,0.4045,0.4218,0.9352,0.9097,0.9092
115,1,0.45,768,0.3479,0.4145,0.4316,0.9218,0.9050,0.9044
401,3,0.05,768,0.1983,0.3596,0.3824,0.9548,0.9213,0.9188
359,1,0.46,768,0.3027,0.3800,0.3973,0.9327,0.9133,0.9107
47,2,0.22,768,0.3511,0.4235,0.4401,0.9207,0.9032,0.9025
144,1,0.38,768,0.2785,0.3714,0.3909,0.9365,0.9160,0.9129
298,2,0.12,768,0.1675,0.3330,0.3593,0.9637,0.9256,0.9205
76,2,0.33,768,0.3291,0.4060,0.4241,0.9248,0.9090,0.9043
15,2,0.34,768,1.0790,1.1013,1.1084,0.7412,0.7374,0.7361
184,1,0.41000000000000003,768,0.2761,0.3665,0.3899,0.9367,0.9154,0.9119
182,1,0.34,768,0.2137,0.3408,0.3664,0.9532,0.9233,0.9183
36,1,0.19,768,0.3088,0.3976,0.4146,0.9280,0.9083,0.9065
48,1,0.34,768,0.3732,0.4334,0.4477,0.9154,0.8995,0.8985
57,2,0.37,768,0.4056,0.4635,0.4827,0.9072,0.8962,0.8913
140,3,0.05,768,0.1918,0.3643,0.3924,0.9562,0.9191,0.9173
222,1,0.31,768,0.1969,0.3384,0.3601,0.9573,0.9244,0.9214
304,3,0.08,768,0.1879,0.3540,0.3729,0.9571,0.9226,0.9186
206,2,0.24,768,0.2004,0.3397,0.3579,0.9535,0.9219,0.9220
184,2,0.2,768,0.1577,0.3285,0.3555,0.9645,0.9268,0.9231
93,2,0.06,768,0.1967,0.3595,0.3827,0.9557,0.9198,0.9155
89,2,0.39,768,0.3636,0.4280,0.4413,0.9173,0.9018,0.9008
139,3,0.11,768,0.1929,0.3556,0.3739,0.9570,0.9224,0.9198
347,3,0.31,768,0.1948,0.3335,0.3543,0.9559,0.9259,0.9239
410,3,0.25,768,0.1604,0.3348,0.3533,0.9638,0.9279,0.9240
147,3,0.1,768,0.1930,0.3533,0.3722,0.9577,0.9203,0.9182
144,3,0.22,768,0.2242,0.3569,0.3758,0.9494,0.9211,0.9186
194,1,0.09,768,0.1384,0.3438,0.3678,0.9708,0.9232,0.9192
43,3,0.07,768,0.3224,0.4425,0.4645,0.9293,0.9048,0.9011
349,3,0.29,768,0.2001,0.3331,0.3624,0.9539,0.9248,0.9204
252,3,0.22,768,0.2255,0.3508,0.3713,0.9491,0.9224,0.9176
233,3,0.19,768,0.1908,0.3460,0.3625,0.9566,0.9228,0.9198
181,2,0.17,768,0.1606,0.3361,0.3578,0.9631,0.9252,0.9217
38,3,0.34,768,0.7798,0.8195,0.8374,0.8331,0.8272,0.8235
92,2,0.07,768,0.2081,0.3608,0.3793,0.9528,0.9205,0.9176
298,2,0.29,768,0.1812,0.3317,0.3535,0.9591,0.9260,0.9230
107,3,0.4,768,0.4447,0.5022,0.5146,0.9022,0.8903,0.8890
19,1,0.05,768,0.3259,0.4191,0.4370,0.9249,0.9042,0.9015
90,2,0.17,768,0.2201,0.3496,0.3744,0.9512,0.9195,0.9159
44,2,0.23,768,0.3451,0.4200,0.4367,0.9221,0.9056,0.9026
39,3,0.31,768,0.7219,0.7769,0.7898,0.8396,0.8315,0.8277
85,2,0.29,768,0.2971,0.3825,0.4044,0.9321,0.9137,0.9092
112,2,0.33,768,0.2947,0.3791,0.3950,0.9316,0.9132,0.9101
427,1,0.04,768,0.1764,0.3428,0.3710,0.9608,0.9241,0.9188
125,2,0.13,768,0.1609,0.3462,0.3791,0.9631,0.9220,0.9189
134,3,0.0,768,0.2499,0.3856,0.4081,0.9432,0.9124,0.9101
421,2,0.5,768,0.2922,0.3802,0.4008,0.9357,0.9153,0.9132
113,3,0.49,768,0.5535,0.6022,0.6174,0.8838,0.8725,0.8723
73,3,0.46,768,0.7770,0.8133,0.8234,0.8269,0.8202,0.8179
