hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,0.3088,0.7834,0.8039,0.9324,0.8225,0.8155
147,1,0.26,134,0.3245,0.8536,0.8813,0.9269,0.8211,0.8120
59,3,0.41000000000000003,172,0.7010,1.1675,1.1862,0.8316,0.7355,0.7298
190,2,0.13,160,0.4515,0.8532,0.8552,0.8993,0.8088,0.8080
484,3,0.06,100,0.3831,0.8492,0.8729,0.9131,0.8131,0.8089
97,1,0.5,242,0.2566,0.7620,0.7993,0.9433,0.8243,0.8164
18,3,0.3,174,1.0510,1.4289,1.6047,0.7258,0.6866,0.6882
261,3,0.14,153,0.3916,0.8310,0.8445,0.9079,0.8134,0.8100
257,1,0.19,108,0.3657,0.8536,0.8727,0.9176,0.8165,0.8118
45,1,0.5,210,0.3130,0.7871,0.8145,0.9312,0.8201,0.8111
60,3,0.34,163,0.6706,1.0966,1.1245,0.8401,0.7468,0.7383
72,3,0.38,276,0.6171,1.0596,1.0915,0.8554,0.7578,0.7481
183,3,0.28,242,0.3697,0.8677,0.8939,0.9154,0.8081,0.7984
333,2,0.11,292,0.3380,0.8348,0.8287,0.9220,0.8242,0.8222
497,3,0.45,153,0.4350,0.8345,0.8671,0.9019,0.7981,0.7900
302,2,0.45,257,0.3863,0.8035,0.8338,0.9160,0.8138,0.8070
263,1,0.02,89,0.3599,0.8909,0.9038,0.9195,0.8163,0.8150
118,3,0.47000000000000003,48,0.6942,1.1053,1.1219,0.8560,0.7592,0.7513
114,1,0.16,52,0.3105,0.8963,0.9228,0.9291,0.8164,0.8125
182,2,0.44,131,0.3880,0.8458,0.8649,0.9137,0.8017,0.7934
195,3,0.37,49,0.4716,0.9380,0.9790,0.8920,0.7883,0.7793
191,1,0.22,124,0.3842,0.8593,0.8745,0.9131,0.8160,0.8125
278,2,0.24,192,0.2816,0.8219,0.8467,0.9358,0.8223,0.8156
55,1,0.14,120,0.3733,0.8905,0.9143,0.9148,0.8134,0.8052
393,2,0.02,184,0.3911,0.8782,0.8854,0.9105,0.8181,0.8124
357,1,0.25,263,0.3394,0.8333,0.8617,0.9226,0.8245,0.8178
255,1,0.19,268,0.3324,0.8500,0.8580,0.9260,0.8196,0.8174
48,3,0.34,88,0.7022,1.1332,1.1646,0.8360,0.7450,0.7380
117,3,0.05,110,0.4296,0.8826,0.8941,0.9009,0.8115,0.8050
484,3,0.28,280,0.3158,0.8002,0.8223,0.9243,0.8185,0.8131
137,3,0.05,168,0.3886,0.8693,0.8883,0.9109,0.8138,0.8100
23,2,0.0,276,0.4966,0.9655,0.9743,0.8941,0.8023,0.7986
115,1,0.31,178,0.3187,0.8386,0.8617,0.9274,0.8200,0.8129
56,1,0.13,82,0.3937,0.9078,0.9291,0.9114,0.8128,0.8071
50,1,0.22,250,0.3427,0.8774,0.9107,0.9207,0.8155,0.8094
108,3,0.32,257,0.4822,0.9505,0.9902,0.8995,0.7953,0.7850
143,2,0.47000000000000003,143,0.4053,0.8419,0.8669,0.9118,0.8053,0.7967
160,1,0.3,250,0.3183,0.8422,0.8697,0.9282,0.8220,0.8153
174,1,0.15,82,0.4122,0.8856,0.8965,0.9067,0.8124,0.8075
145,2,0.24,207,0.3520,0.8309,0.8571,0.9201,0.8147,0.8095
94,1,0.01,168,0.3786,0.9038,0.9137,0.9152,0.8152,0.8091
68,3,0.28,206,0.5155,1.0148,1.0328,0.8928,0.7853,0.7792
16,3,0.3,75,1.2029,1.4986,1.5211,0.6659,0.6542,0.6542
151,2,0.14,218,0.4110,0.8394,0.8508,0.9066,0.8141,0.8111
132,3,0.38,164,0.4914,0.9703,0.9963,0.9022,0.7912,0.7834
125,1,0.06,144,0.3694,0.8727,0.9081,0.9176,0.8158,0.8058
487,1,0.38,212,0.3223,0.8137,0.8317,0.9298,0.8227,0.8198
134,3,0.36,257,0.4774,0.9380,0.9773,0.9013,0.7947,0.7829
34,3,0.3,103,0.8913,1.3199,1.3518,0.8030,0.7161,0.7075
11,1,0.23,111,0.5002,0.9862,0.9907,0.8946,0.7939,0.7924
