hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,1.4531,1.4861,1.4939,0.6580,0.6550,0.6564
147,1,0.26,134,0.9999,1.1225,1.1320,0.7659,0.7443,0.7452
59,3,0.41000000000000003,172,1.8103,1.8261,1.8416,0.5836,0.5848,0.5802
190,2,0.13,160,0.6692,0.9146,0.9283,0.8402,0.7917,0.7918
484,3,0.06,100,0.4271,0.8543,0.8686,0.9013,0.8154,0.8120
97,1,0.5,242,1.4178,1.4541,1.4620,0.6656,0.6622,0.6610
18,3,0.3,174,2.0325,2.0436,2.0524,0.5344,0.5329,0.5326
261,3,0.14,153,0.6209,0.8772,0.8801,0.8537,0.8003,0.7990
257,1,0.19,108,0.8241,1.0250,1.0335,0.8116,0.7716,0.7712
45,1,0.5,210,1.6693,1.6899,1.7032,0.6042,0.6038,0.6012
60,3,0.34,163,1.5686,1.5983,1.6098,0.6479,0.6457,0.6439
72,3,0.38,276,1.4956,1.5263,1.5394,0.6544,0.6508,0.6489
183,3,0.28,242,0.9096,1.0283,1.0401,0.7765,0.7552,0.7570
333,2,0.11,292,0.3559,0.8392,0.8485,0.9152,0.8254,0.8222
497,3,0.45,153,1.2450,1.2940,1.3164,0.7078,0.6995,0.7004
302,2,0.45,257,1.1330,1.2003,1.2206,0.7314,0.7201,0.7219
263,1,0.02,89,0.7500,1.0734,1.0905,0.8281,0.7686,0.7654
118,3,0.47000000000000003,48,1.8838,1.9005,1.9076,0.5662,0.5638,0.5655
114,1,0.16,52,1.2868,1.3743,1.3757,0.7025,0.6859,0.6890
182,2,0.44,131,1.4030,1.4375,1.4525,0.6683,0.6623,0.6627
195,3,0.37,49,1.4932,1.5214,1.5341,0.6568,0.6531,0.6526
191,1,0.22,124,0.9124,1.0809,1.0870,0.7884,0.7562,0.7576
278,2,0.24,192,0.6951,0.9126,0.9196,0.8354,0.7917,0.7939
55,1,0.14,120,1.2200,1.3083,1.3123,0.7165,0.7039,0.7031
393,2,0.02,184,0.4874,0.8992,0.9154,0.8904,0.8085,0.8064
357,1,0.25,263,0.4994,0.8444,0.8553,0.8930,0.8170,0.8132
255,1,0.19,268,0.5513,0.8769,0.8922,0.8736,0.8076,0.8037
48,3,0.34,88,1.8732,1.8904,1.9035,0.5682,0.5673,0.5663
117,3,0.05,110,0.7685,1.0018,1.0120,0.8225,0.7774,0.7762
484,3,0.28,280,0.5350,0.8072,0.8305,0.8743,0.8153,0.8159
137,3,0.05,168,0.6167,0.9227,0.9383,0.8577,0.7924,0.7927
23,2,0.0,276,1.1221,1.3065,1.3153,0.7415,0.7152,0.7125
115,1,0.31,178,1.1143,1.2043,1.2148,0.7396,0.7241,0.7267
56,1,0.13,82,1.3124,1.3948,1.4049,0.6932,0.6808,0.6797
50,1,0.22,250,1.1007,1.2090,1.2142,0.7415,0.7248,0.7214
108,3,0.32,257,1.2206,1.2838,1.2894,0.7117,0.7009,0.7022
143,2,0.47000000000000003,143,1.4414,1.4708,1.4807,0.6620,0.6571,0.6583
160,1,0.3,250,0.8465,1.0178,1.0247,0.8036,0.7695,0.7702
174,1,0.15,82,1.0058,1.1549,1.1687,0.7637,0.7353,0.7351
145,2,0.24,207,0.8866,1.0235,1.0384,0.7866,0.7617,0.7607
94,1,0.01,168,0.8179,1.1134,1.1175,0.8100,0.7603,0.7585
68,3,0.28,206,1.3781,1.4237,1.4346,0.6779,0.6712,0.6710
16,3,0.3,75,2.2069,2.2169,2.2231,0.5050,0.5048,0.5049
151,2,0.14,218,0.6394,0.9066,0.9052,0.8495,0.7937,0.7978
132,3,0.38,164,1.3794,1.4222,1.4271,0.6805,0.6741,0.6736
125,1,0.06,144,0.7573,1.0464,1.0575,0.8226,0.7696,0.7723
487,1,0.38,212,0.7773,0.9700,0.9767,0.8364,0.7925,0.7924
134,3,0.36,257,1.2609,1.3197,1.3275,0.7035,0.6923,0.6961
34,3,0.3,103,1.8618,1.8751,1.8849,0.5684,0.5686,0.5664
11,1,0.23,111,1.8593,1.8825,1.8889,0.5727,0.5713,0.5703
