hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,0.2305,0.3405,0.3690,0.9510,0.9168,0.9110
147,1,0.26,134,0.2403,0.3567,0.3744,0.9470,0.9107,0.9075
59,3,0.41000000000000003,172,0.5625,0.6773,0.7067,0.8907,0.8686,0.8648
190,2,0.13,160,0.2735,0.3753,0.3928,0.9370,0.9050,0.9031
484,3,0.06,100,0.2698,0.3785,0.3995,0.9365,0.9057,0.9032
97,1,0.5,242,0.3004,0.3864,0.4080,0.9343,0.9048,0.9012
18,3,0.3,174,1.1117,1.2203,1.2568,0.7548,0.7348,0.7289
261,3,0.14,153,0.2918,0.3888,0.4135,0.9313,0.9013,0.8966
257,1,0.19,108,0.2345,0.3542,0.3757,0.9495,0.9143,0.9108
45,1,0.5,210,0.2564,0.3579,0.3844,0.9458,0.9130,0.9079
60,3,0.34,163,0.4304,0.5431,0.5703,0.9159,0.8868,0.8818
72,3,0.38,276,0.3188,0.4522,0.4819,0.9368,0.9053,0.8999
183,3,0.28,242,0.2522,0.3694,0.3923,0.9456,0.9096,0.9061
333,2,0.11,292,0.2376,0.3544,0.3715,0.9449,0.9124,0.9079
497,3,0.45,153,0.4652,0.5289,0.5551,0.8928,0.8716,0.8663
302,2,0.45,257,0.3284,0.4182,0.4373,0.9242,0.8970,0.8932
263,1,0.02,89,0.2634,0.3928,0.4156,0.9407,0.9079,0.9057
118,3,0.47000000000000003,48,0.5665,0.6373,0.6608,0.8776,0.8571,0.8527
114,1,0.16,52,0.2413,0.3651,0.3839,0.9473,0.9126,0.9084
182,2,0.44,131,0.2692,0.3701,0.3986,0.9433,0.9097,0.9047
195,3,0.37,49,0.4008,0.4803,0.5048,0.9100,0.8836,0.8795
191,1,0.22,124,0.2226,0.3501,0.3730,0.9513,0.9157,0.9116
278,2,0.24,192,0.2570,0.3677,0.3885,0.9404,0.9084,0.9055
55,1,0.14,120,0.2116,0.3458,0.3742,0.9545,0.9175,0.9134
393,2,0.02,184,0.2469,0.3682,0.3814,0.9413,0.9093,0.9077
357,1,0.25,263,0.2378,0.3509,0.3737,0.9483,0.9131,0.9096
255,1,0.19,268,0.2096,0.3404,0.3576,0.9539,0.9177,0.9143
48,3,0.34,88,0.5371,0.6330,0.6565,0.8937,0.8741,0.8691
117,3,0.05,110,0.2531,0.3693,0.3898,0.9423,0.9085,0.9047
484,3,0.28,280,0.3095,0.3962,0.4219,0.9284,0.8986,0.8957
137,3,0.05,168,0.2721,0.3785,0.3960,0.9368,0.9055,0.9031
23,2,0.0,276,0.1858,0.3582,0.3877,0.9616,0.9217,0.9167
115,1,0.31,178,0.2112,0.3324,0.3527,0.9549,0.9167,0.9132
56,1,0.13,82,0.2001,0.3451,0.3695,0.9572,0.9201,0.9155
50,1,0.22,250,0.2296,0.3480,0.3696,0.9497,0.9153,0.9110
108,3,0.32,257,0.2768,0.3919,0.4153,0.9424,0.9083,0.9040
143,2,0.47000000000000003,143,0.2790,0.3818,0.4096,0.9376,0.9066,0.9021
160,1,0.3,250,0.2165,0.3342,0.3586,0.9530,0.9171,0.9125
174,1,0.15,82,0.2366,0.3610,0.3782,0.9487,0.9138,0.9118
145,2,0.24,207,0.2404,0.3523,0.3766,0.9443,0.9110,0.9070
94,1,0.01,168,0.2186,0.3631,0.3850,0.9522,0.9159,0.9124
