hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,1.4920,1.4986,1.5026,0.6364,0.6347,0.6379
147,1,0.26,134,1.1302,1.1325,1.1456,0.7218,0.7220,0.7225
59,3,0.41000000000000003,172,1.8539,1.8623,1.8711,0.5768,0.5747,0.5767
190,2,0.13,160,0.8254,0.8431,0.8556,0.7927,0.7874,0.7894
484,3,0.06,100,0.5155,0.5652,0.5874,0.8730,0.8593,0.8575
97,1,0.5,242,1.4746,1.4777,1.4834,0.6400,0.6383,0.6415
18,3,0.3,174,2.1724,2.1842,2.1933,0.5033,0.4996,0.5017
261,3,0.14,153,0.7511,0.7702,0.7857,0.8055,0.7998,0.8018
257,1,0.19,108,0.9591,0.9715,0.9869,0.7671,0.7648,0.7646
45,1,0.5,210,1.7119,1.7179,1.7217,0.5879,0.5854,0.5878
60,3,0.34,163,1.6501,1.6532,1.6647,0.6074,0.6066,0.6078
72,3,0.38,276,1.5495,1.5532,1.5626,0.6307,0.6300,0.6327
183,3,0.28,242,1.0577,1.0633,1.0787,0.7238,0.7219,0.7252
333,2,0.11,292,0.5834,0.6186,0.6370,0.8564,0.8459,0.8446
497,3,0.45,153,1.2863,1.2902,1.3040,0.6806,0.6790,0.6820
302,2,0.45,257,1.2109,1.2120,1.2211,0.6974,0.6960,0.6989
263,1,0.02,89,0.8688,0.8949,0.9122,0.7956,0.7899,0.7902
118,3,0.47000000000000003,48,1.9147,1.9211,1.9269,0.5677,0.5656,0.5685
114,1,0.16,52,1.3331,1.3346,1.3451,0.6731,0.6729,0.6751
182,2,0.44,131,1.4116,1.4153,1.4218,0.6558,0.6540,0.6565
195,3,0.37,49,1.5567,1.5608,1.5661,0.6287,0.6272,0.6302
191,1,0.22,124,1.0421,1.0481,1.0590,0.7422,0.7416,0.7412
278,2,0.24,192,0.8775,0.8864,0.9022,0.7739,0.7710,0.7730
55,1,0.14,120,1.2683,1.2749,1.2847,0.6840,0.6833,0.6851
393,2,0.02,184,0.4765,0.5520,0.5660,0.8885,0.8707,0.8693
357,1,0.25,263,0.7373,0.7620,0.7761,0.8284,0.8211,0.8213
255,1,0.19,268,0.7696,0.7948,0.8078,0.8190,0.8114,0.8128
48,3,0.34,88,1.8982,1.9060,1.9123,0.5670,0.5645,0.5675
117,3,0.05,110,0.8885,0.9006,0.9184,0.7750,0.7718,0.7713
484,3,0.28,280,0.8610,0.8680,0.8865,0.7768,0.7737,0.7760
137,3,0.05,168,0.7670,0.7901,0.8075,0.8054,0.7989,0.7997
23,2,0.0,276,1.1465,1.1636,1.1783,0.7244,0.7219,0.7234
115,1,0.31,178,1.2088,1.2130,1.2222,0.6984,0.6980,0.6998
56,1,0.13,82,1.3512,1.3568,1.3687,0.6674,0.6650,0.6678
50,1,0.22,250,1.2149,1.2190,1.2259,0.6943,0.6938,0.6965
108,3,0.32,257,1.2957,1.2990,1.3087,0.6723,0.6722,0.6744
143,2,0.47000000000000003,143,1.4995,1.5041,1.5097,0.6377,0.6363,0.6394
160,1,0.3,250,1.0215,1.0309,1.0375,0.7475,0.7454,0.7468
174,1,0.15,82,1.0890,1.0930,1.1062,0.7311,0.7296,0.7303
145,2,0.24,207,1.0488,1.0547,1.0608,0.7326,0.7307,0.7326
94,1,0.01,168,0.9240,0.9523,0.9584,0.7806,0.7752,0.7754
68,3,0.28,206,1.3856,1.3897,1.3955,0.6609,0.6599,0.6629
16,3,0.3,75,2.3577,2.3704,2.3744,0.4975,0.4933,0.4957
151,2,0.14,218,0.8267,0.8427,0.8553,0.7925,0.7887,0.7897
132,3,0.38,164,1.4139,1.4152,1.4248,0.6563,0.6559,0.6579
125,1,0.06,144,0.9729,0.9831,1.0012,0.7643,0.7618,0.7608
487,1,0.38,212,0.9855,0.9943,1.0045,0.7669,0.7649,0.7656
134,3,0.36,257,1.3273,1.3274,1.3405,0.6650,0.6654,0.6671
34,3,0.3,103,1.9487,1.9583,1.9688,0.5535,0.5512,0.5527
11,1,0.23,111,1.9185,1.9280,1.9330,0.5620,0.5597,0.5627
