hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,300,0.3697,0.4204,0.4092,0.9059,0.8961,0.9007
415,3,0.43,300,0.3770,0.4268,0.4203,0.9018,0.8928,0.8960
68,3,0.15,300,0.3998,0.4599,0.4515,0.9034,0.8919,0.8954
115,1,0.45,300,0.4426,0.4855,0.4770,0.8959,0.8891,0.8921
401,3,0.05,300,0.3191,0.4130,0.3957,0.9159,0.8981,0.9035
359,1,0.46,300,0.3929,0.4444,0.4321,0.9047,0.8947,0.8991
47,2,0.22,300,0.4400,0.4858,0.4804,0.8964,0.8879,0.8923
144,1,0.38,300,0.4015,0.4483,0.4428,0.9035,0.8952,0.8966
298,2,0.12,300,0.3211,0.4045,0.3913,0.9141,0.8983,0.9012
76,2,0.33,300,0.4213,0.4684,0.4631,0.8964,0.8885,0.8912
15,2,0.34,300,1.1819,1.1967,1.1977,0.7360,0.7302,0.7277
184,1,0.41000000000000003,300,0.3941,0.4458,0.4379,0.9051,0.8967,0.8975
182,1,0.34,300,0.3699,0.4288,0.4178,0.9074,0.8989,0.9022
36,1,0.19,300,0.4043,0.4581,0.4479,0.9027,0.8937,0.8982
48,1,0.34,300,0.4551,0.5038,0.4953,0.8922,0.8841,0.8884
57,2,0.37,300,0.5153,0.5546,0.5528,0.8805,0.8732,0.8756
140,3,0.05,300,0.3374,0.4183,0.4033,0.9123,0.8967,0.9008
222,1,0.31,300,0.3606,0.4247,0.4101,0.9102,0.8981,0.9014
304,3,0.08,300,0.3139,0.4053,0.3986,0.9158,0.8991,0.9012
206,2,0.24,300,0.3370,0.4070,0.3963,0.9113,0.9003,0.9022
184,2,0.2,300,0.3410,0.4066,0.3970,0.9101,0.8989,0.9005
93,2,0.06,300,0.3428,0.4239,0.4083,0.9099,0.8966,0.9024
89,2,0.39,300,0.4384,0.4824,0.4765,0.8945,0.8863,0.8889
139,3,0.11,300,0.3387,0.4156,0.4103,0.9124,0.8985,0.9020
347,3,0.31,300,0.3695,0.4222,0.4118,0.9068,0.8967,0.9014
410,3,0.25,300,0.3427,0.4100,0.3981,0.9108,0.8979,0.9028
147,3,0.1,300,0.3558,0.4268,0.4163,0.9093,0.8965,0.8993
144,3,0.22,300,0.3780,0.4331,0.4211,0.9047,0.8955,0.8993
194,1,0.09,300,0.3397,0.4185,0.4005,0.9103,0.8980,0.9034
43,3,0.07,300,0.4127,0.4790,0.4677,0.9039,0.8917,0.8953
349,3,0.29,300,0.3425,0.4103,0.3964,0.9109,0.8986,0.9040
252,3,0.22,300,0.3537,0.4202,0.4094,0.9097,0.8977,0.9016
233,3,0.19,300,0.3650,0.4254,0.4168,0.9059,0.8967,0.8980
181,2,0.17,300,0.3422,0.4110,0.3979,0.9106,0.8976,0.9026
38,3,0.34,300,0.9341,0.9668,0.9942,0.8375,0.8326,0.8325
92,2,0.07,300,0.3492,0.4216,0.4037,0.9105,0.8971,0.9019
298,2,0.29,300,0.3353,0.4051,0.3929,0.9107,0.8984,0.9035
107,3,0.4,300,0.5007,0.5431,0.5432,0.8870,0.8793,0.8810
19,1,0.05,300,0.4093,0.4792,0.4671,0.9014,0.8899,0.8929
90,2,0.17,300,0.3568,0.4216,0.4132,0.9085,0.8963,0.9001
44,2,0.23,300,0.4298,0.4772,0.4752,0.8990,0.8897,0.8918
39,3,0.31,300,0.8374,0.8835,0.8928,0.8249,0.8070,0.8092
85,2,0.29,300,0.3918,0.4419,0.4381,0.9008,0.8900,0.8934
112,2,0.33,300,0.3971,0.4470,0.4382,0.9021,0.8921,0.8945
427,1,0.04,300,0.3524,0.4244,0.4107,0.9094,0.8969,0.8993
125,2,0.13,300,0.3394,0.4134,0.3990,0.9110,0.8981,0.9023
134,3,0.0,300,0.3598,0.4357,0.4126,0.9097,0.8950,0.8998
421,2,0.5,300,0.3803,0.4282,0.4194,0.9020,0.8943,0.8972
113,3,0.49,300,0.5846,0.6176,0.6239,0.8731,0.8687,0.8690
73,3,0.46,300,0.7957,0.8359,0.8425,0.8412,0.8313,0.8326
