hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,1.2542,1.2913,1.3107,0.6927,0.6825,0.6771
147,1,0.26,134,0.8929,0.9845,0.9886,0.7963,0.7701,0.7706
59,3,0.41000000000000003,172,1.5972,1.6211,1.6578,0.6219,0.6112,0.6043
190,2,0.13,160,0.6127,0.7680,0.7720,0.8517,0.8144,0.8138
484,3,0.06,100,0.5082,0.7178,0.7206,0.8730,0.8295,0.8313
97,1,0.5,242,1.2338,1.2796,1.3002,0.7052,0.6945,0.6889
18,3,0.3,174,2.1523,2.1695,2.1982,0.5362,0.5249,0.5209
261,3,0.14,153,0.5786,0.7263,0.7315,0.8559,0.8213,0.8225
257,1,0.19,108,0.7351,0.8642,0.8702,0.8294,0.7991,0.7963
45,1,0.5,210,1.5006,1.5310,1.5612,0.6444,0.6336,0.6261
60,3,0.34,163,1.4861,1.5105,1.5413,0.6375,0.6275,0.6212
72,3,0.38,276,1.3452,1.3739,1.3996,0.6787,0.6661,0.6632
183,3,0.28,242,0.7867,0.8666,0.8878,0.8076,0.7839,0.7820
333,2,0.11,292,0.5055,0.7103,0.7161,0.8756,0.8318,0.8293
497,3,0.45,153,1.0051,1.0463,1.0758,0.7503,0.7373,0.7333
302,2,0.45,257,0.9270,0.9865,0.9997,0.7709,0.7521,0.7525
263,1,0.02,89,0.6740,0.8458,0.8675,0.8404,0.8067,0.8052
118,3,0.47000000000000003,48,1.8025,1.8293,1.8617,0.5880,0.5751,0.5699
114,1,0.16,52,1.1053,1.1727,1.1817,0.7332,0.7190,0.7177
182,2,0.44,131,1.1370,1.1744,1.1986,0.7206,0.7099,0.7047
195,3,0.37,49,1.3199,1.3437,1.3776,0.6792,0.6689,0.6628
191,1,0.22,124,0.7852,0.8968,0.9047,0.8181,0.7890,0.7880
278,2,0.24,192,0.6330,0.7624,0.7627,0.8460,0.8134,0.8144
55,1,0.14,120,1.0095,1.0818,1.1020,0.7573,0.7388,0.7327
393,2,0.02,184,0.4118,0.7243,0.7263,0.8977,0.8433,0.8411
357,1,0.25,263,0.5435,0.7286,0.7211,0.8733,0.8306,0.8314
255,1,0.19,268,0.5331,0.7262,0.7351,0.8737,0.8309,0.8294
48,3,0.34,88,1.7239,1.7470,1.7849,0.6075,0.5976,0.5900
117,3,0.05,110,0.7430,0.8708,0.8612,0.8221,0.7909,0.7936
484,3,0.28,280,0.5842,0.7201,0.7235,0.8607,0.8244,0.8257
137,3,0.05,168,0.6222,0.7904,0.7973,0.8515,0.8134,0.8125
23,2,0.0,276,0.9430,1.0623,1.0803,0.7807,0.7588,0.7555
115,1,0.31,178,0.9361,1.0084,1.0251,0.7838,0.7608,0.7583
56,1,0.13,82,1.0950,1.1628,1.1695,0.7358,0.7184,0.7156
50,1,0.22,250,0.9402,1.0220,1.0321,0.7790,0.7591,0.7533
108,3,0.32,257,1.0009,1.0336,1.0593,0.7537,0.7414,0.7344
143,2,0.47000000000000003,143,1.2572,1.2906,1.3217,0.6904,0.6787,0.6738
160,1,0.3,250,0.7612,0.8698,0.8794,0.8270,0.7978,0.7964
174,1,0.15,82,0.8287,0.9389,0.9401,0.8018,0.7757,0.7750
145,2,0.24,207,0.7679,0.8602,0.8722,0.8143,0.7871,0.7864
94,1,0.01,168,0.7088,0.8830,0.8990,0.8353,0.8020,0.7993
68,3,0.28,206,1.2114,1.2383,1.2639,0.7015,0.6870,0.6834
16,3,0.3,75,2.4994,2.5040,2.5313,0.4800,0.4753,0.4710
151,2,0.14,218,0.6625,0.7906,0.8025,0.8410,0.8110,0.8087
132,3,0.38,164,1.2059,1.2272,1.2495,0.7053,0.6949,0.6916
125,1,0.06,144,0.6817,0.8408,0.8352,0.8371,0.8045,0.8094
487,1,0.38,212,0.7239,0.8404,0.8429,0.8355,0.8062,0.8044
134,3,0.36,257,1.0663,1.0949,1.1195,0.7374,0.7266,0.7219
34,3,0.3,103,1.7742,1.7913,1.8292,0.6082,0.5994,0.5916
11,1,0.23,111,1.7982,1.8243,1.8637,0.5884,0.5812,0.5730
