hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,768,0.2440,0.2851,0.2939,0.9481,0.9418,0.9368
415,3,0.43,768,0.2654,0.2994,0.3102,0.9436,0.9384,0.9343
68,3,0.15,768,0.2474,0.2913,0.3138,0.9472,0.9372,0.9348
115,1,0.45,768,0.3144,0.3400,0.3488,0.9329,0.9275,0.9268
401,3,0.05,768,0.1438,0.2514,0.2568,0.9677,0.9471,0.9453
359,1,0.46,768,0.2578,0.2962,0.3084,0.9469,0.9408,0.9376
47,2,0.22,768,0.2873,0.3174,0.3335,0.9380,0.9318,0.9290
144,1,0.38,768,0.2613,0.2965,0.3052,0.9443,0.9380,0.9360
298,2,0.12,768,0.2112,0.2644,0.2770,0.9526,0.9433,0.9417
76,2,0.33,768,0.2956,0.3242,0.3362,0.9365,0.9326,0.9298
15,2,0.34,768,0.9076,0.9015,0.8990,0.8082,0.8102,0.8119
184,1,0.41000000000000003,768,0.2406,0.2840,0.2904,0.9482,0.9399,0.9393
182,1,0.34,768,0.2277,0.2741,0.2835,0.9501,0.9423,0.9387
36,1,0.19,768,0.2781,0.3114,0.3240,0.9377,0.9320,0.9299
48,1,0.34,768,0.3399,0.3564,0.3658,0.9235,0.9194,0.9186
57,2,0.37,768,0.3608,0.3742,0.3890,0.9234,0.9211,0.9197
140,3,0.05,768,0.1709,0.2574,0.2701,0.9629,0.9462,0.9440
222,1,0.31,768,0.2004,0.2571,0.2666,0.9564,0.9463,0.9433
304,3,0.08,768,0.1450,0.2406,0.2562,0.9679,0.9500,0.9465
206,2,0.24,768,0.1882,0.2532,0.2641,0.9583,0.9466,0.9453
184,2,0.2,768,0.1657,0.2423,0.2535,0.9622,0.9491,0.9462
93,2,0.06,768,0.1748,0.2547,0.2684,0.9616,0.9471,0.9419
89,2,0.39,768,0.3505,0.3581,0.3741,0.9253,0.9246,0.9207
139,3,0.11,768,0.1718,0.2506,0.2631,0.9615,0.9474,0.9431
347,3,0.31,768,0.1909,0.2514,0.2622,0.9587,0.9473,0.9443
410,3,0.25,768,0.1628,0.2383,0.2539,0.9635,0.9505,0.9480
147,3,0.1,768,0.1902,0.2623,0.2705,0.9582,0.9437,0.9421
144,3,0.22,768,0.2174,0.2704,0.2811,0.9531,0.9433,0.9424
194,1,0.09,768,0.1556,0.2502,0.2501,0.9652,0.9483,0.9469
43,3,0.07,768,0.2683,0.3178,0.3383,0.9428,0.9348,0.9311
349,3,0.29,768,0.2009,0.2621,0.2656,0.9562,0.9454,0.9441
252,3,0.22,768,0.1759,0.2498,0.2593,0.9611,0.9493,0.9458
233,3,0.19,768,0.1748,0.2472,0.2528,0.9618,0.9487,0.9474
181,2,0.17,768,0.1625,0.2481,0.2609,0.9634,0.9475,0.9452
38,3,0.34,768,0.7122,0.7173,0.7252,0.8381,0.8320,0.8373
92,2,0.07,768,0.2186,0.2740,0.2883,0.9511,0.9414,0.9378
298,2,0.29,768,0.1690,0.2473,0.2485,0.9617,0.9484,0.9471
107,3,0.4,768,0.3646,0.3704,0.3870,0.9245,0.9245,0.9212
19,1,0.05,768,0.2694,0.3146,0.3202,0.9404,0.9307,0.9295
90,2,0.17,768,0.2153,0.2702,0.2853,0.9519,0.9434,0.9390
44,2,0.23,768,0.3224,0.3441,0.3640,0.9303,0.9266,0.9233
39,3,0.31,768,0.6154,0.6210,0.6299,0.8930,0.8917,0.8922
85,2,0.29,768,0.2835,0.3127,0.3252,0.9384,0.9340,0.9297
112,2,0.33,768,0.2601,0.2914,0.3102,0.9438,0.9390,0.9356
427,1,0.04,768,0.1470,0.2421,0.2506,0.9684,0.9473,0.9463
125,2,0.13,768,0.1846,0.2528,0.2659,0.9587,0.9460,0.9443
134,3,0.0,768,0.1678,0.2703,0.2689,0.9623,0.9443,0.9432
421,2,0.5,768,0.2967,0.3262,0.3360,0.9370,0.9322,0.9292
113,3,0.49,768,0.4636,0.4632,0.4813,0.9074,0.9078,0.9048
73,3,0.46,768,0.6142,0.6109,0.6223,0.8851,0.8878,0.8865
