hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,0.3429,0.8136,0.7950,0.9341,0.8108,0.8174
147,1,0.26,134,0.4146,0.8771,0.8653,0.9143,0.7946,0.8010
59,3,0.41000000000000003,172,0.7805,1.2015,1.1699,0.8230,0.7098,0.7189
190,2,0.13,160,0.4166,0.8611,0.8474,0.9105,0.8056,0.8071
484,3,0.06,100,0.4848,0.8874,0.8715,0.8928,0.7931,0.8024
97,1,0.5,242,0.3620,0.8184,0.7858,0.9291,0.8077,0.8157
18,3,0.3,174,1.0312,1.3622,1.3592,0.7602,0.6644,0.6747
261,3,0.14,153,0.4818,0.8881,0.8618,0.8928,0.7888,0.7994
257,1,0.19,108,0.4271,0.8967,0.8665,0.9098,0.7967,0.8070
45,1,0.5,210,0.3423,0.8282,0.7923,0.9364,0.8035,0.8143
60,3,0.34,163,0.7407,1.1257,1.1048,0.8296,0.7269,0.7381
72,3,0.38,276,0.7688,1.0883,1.0651,0.8242,0.7495,0.7542
183,3,0.28,242,0.4933,0.8945,0.8674,0.8955,0.7788,0.7899
333,2,0.11,292,0.4630,0.8627,0.8294,0.8949,0.8049,0.8157
497,3,0.45,153,0.5955,0.9350,0.9273,0.8720,0.7685,0.7731
302,2,0.45,257,0.4740,0.8747,0.8515,0.9050,0.7907,0.7958
263,1,0.02,89,0.5376,0.9477,0.9405,0.8837,0.7904,0.7957
118,3,0.47000000000000003,48,0.9997,1.2209,1.2009,0.7587,0.7147,0.7214
114,1,0.16,52,0.4061,0.9229,0.8996,0.9174,0.7926,0.7999
182,2,0.44,131,0.5128,0.8834,0.8649,0.8958,0.7927,0.8005
195,3,0.37,49,0.6814,1.0303,1.0033,0.8521,0.7536,0.7605
191,1,0.22,124,0.4503,0.9017,0.8702,0.9047,0.7939,0.8018
278,2,0.24,192,0.4500,0.8740,0.8508,0.9023,0.7981,0.8073
55,1,0.14,120,0.4171,0.9171,0.8967,0.9123,0.7938,0.8043
393,2,0.02,184,0.5493,0.9013,0.8773,0.8775,0.8012,0.8040
357,1,0.25,263,0.4687,0.8833,0.8660,0.9026,0.7961,0.8029
255,1,0.19,268,0.3926,0.8826,0.8476,0.9168,0.8057,0.8126
48,3,0.34,88,0.9522,1.3356,1.3076,0.7155,0.6246,0.6357
117,3,0.05,110,0.5543,0.9286,0.8985,0.8768,0.7888,0.8000
484,3,0.28,280,0.4709,0.8451,0.8326,0.8996,0.7992,0.8044
137,3,0.05,168,0.5689,0.9168,0.8885,0.8733,0.7867,0.7959
23,2,0.0,276,0.3987,0.9989,0.9712,0.9176,0.7939,0.8055
115,1,0.31,178,0.3368,0.8597,0.8345,0.9335,0.8053,0.8078
56,1,0.13,82,0.4125,0.9329,0.8912,0.9139,0.7970,0.8044
50,1,0.22,250,0.4122,0.9036,0.8617,0.9144,0.7954,0.8078
108,3,0.32,257,0.5877,1.0195,0.9725,0.8674,0.7642,0.7731
143,2,0.47000000000000003,143,0.4921,0.9281,0.8965,0.9031,0.7713,0.7817
160,1,0.3,250,0.3839,0.8691,0.8484,0.9219,0.8008,0.8062
174,1,0.15,82,0.5526,0.9350,0.9162,0.8794,0.7834,0.7913
145,2,0.24,207,0.4490,0.8988,0.8694,0.9060,0.7883,0.7958
94,1,0.01,168,0.4086,0.9388,0.9125,0.9143,0.7976,0.8047
68,3,0.28,206,0.6093,1.0534,1.0336,0.8812,0.7639,0.7678
16,3,0.3,75,1.3456,1.6245,1.6468,0.6999,0.6197,0.6292
151,2,0.14,218,0.4937,0.8739,0.8602,0.8907,0.8017,0.8068
132,3,0.38,164,0.5723,0.9978,0.9722,0.8787,0.7638,0.7732
125,1,0.06,144,0.5386,0.9298,0.9084,0.8836,0.7910,0.8009
487,1,0.38,212,0.4341,0.8726,0.8404,0.9168,0.8009,0.8053
134,3,0.36,257,0.6680,1.0161,0.9729,0.8502,0.7577,0.7699
34,3,0.3,103,1.1016,1.4097,1.4134,0.7490,0.6675,0.6773
11,1,0.23,111,0.4774,0.9995,0.9615,0.9028,0.7844,0.7906
