hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,1.5948,1.5878,1.5741,0.6193,0.6239,0.6264
147,1,0.26,134,1.2629,1.2974,1.2804,0.6985,0.6976,0.7024
59,3,0.41000000000000003,172,1.9062,1.8975,1.8760,0.5514,0.5515,0.5584
190,2,0.13,160,0.8902,1.0261,0.9934,0.7914,0.7639,0.7751
484,3,0.06,100,0.6101,0.9128,0.8765,0.8606,0.7986,0.8072
97,1,0.5,242,1.5768,1.5665,1.5569,0.6233,0.6285,0.6307
18,3,0.3,174,2.1327,2.1278,2.1072,0.5107,0.5097,0.5138
261,3,0.14,153,0.8495,0.9792,0.9525,0.8002,0.7727,0.7850
257,1,0.19,108,1.0731,1.1655,1.1468,0.7495,0.7391,0.7446
45,1,0.5,210,1.8092,1.7985,1.7750,0.5707,0.5718,0.5781
60,3,0.34,163,1.6991,1.6855,1.6697,0.6076,0.6101,0.6165
72,3,0.38,276,1.6600,1.6491,1.6273,0.6143,0.6178,0.6228
183,3,0.28,242,1.1676,1.1789,1.1730,0.7217,0.7214,0.7267
333,2,0.11,292,0.6139,0.8958,0.8741,0.8617,0.8037,0.8073
497,3,0.45,153,1.4105,1.3972,1.3839,0.6722,0.6757,0.6808
302,2,0.45,257,1.3540,1.3519,1.3385,0.6808,0.6831,0.6885
263,1,0.02,89,1.0052,1.1587,1.1450,0.7633,0.7391,0.7454
118,3,0.47000000000000003,48,2.0055,1.9869,1.9651,0.5426,0.5442,0.5503
114,1,0.16,52,1.4817,1.4983,1.4807,0.6497,0.6535,0.6564
182,2,0.44,131,1.5329,1.5234,1.5028,0.6432,0.6463,0.6504
195,3,0.37,49,1.6735,1.6635,1.6368,0.6150,0.6192,0.6249
191,1,0.22,124,1.1793,1.2342,1.2166,0.7241,0.7192,0.7257
278,2,0.24,192,0.9988,1.0783,1.0545,0.7634,0.7500,0.7588
55,1,0.14,120,1.4116,1.4306,1.4085,0.6628,0.6654,0.6726
393,2,0.02,184,0.5869,0.9458,0.9184,0.8700,0.7950,0.8033
357,1,0.25,263,0.8037,0.9910,0.9651,0.8218,0.7784,0.7892
255,1,0.19,268,0.7677,0.9812,0.9596,0.8309,0.7831,0.7906
48,3,0.34,88,1.9890,1.9695,1.9612,0.5448,0.5490,0.5519
117,3,0.05,110,1.0406,1.1185,1.1107,0.7577,0.7411,0.7489
484,3,0.28,280,0.9131,0.9964,0.9894,0.7800,0.7647,0.7698
137,3,0.05,168,0.8827,1.0253,1.0008,0.7952,0.7658,0.7769
23,2,0.0,276,1.2908,1.3562,1.3373,0.6937,0.6854,0.6915
115,1,0.31,178,1.3217,1.3437,1.3293,0.6847,0.6844,0.6907
56,1,0.13,82,1.4999,1.5065,1.5051,0.6471,0.6472,0.6553
50,1,0.22,250,1.3144,1.3390,1.3176,0.6881,0.6918,0.6947
108,3,0.32,257,1.4382,1.4342,1.4191,0.6563,0.6580,0.6634
143,2,0.47000000000000003,143,1.6222,1.6087,1.5905,0.6200,0.6239,0.6283
160,1,0.3,250,1.1456,1.2055,1.1788,0.7307,0.7270,0.7331
174,1,0.15,82,1.2226,1.2701,1.2619,0.7151,0.7138,0.7180
145,2,0.24,207,1.1900,1.2219,1.1951,0.7153,0.7137,0.7226
94,1,0.01,168,1.0508,1.2042,1.1899,0.7567,0.7276,0.7386
68,3,0.28,206,1.5194,1.5107,1.4855,0.6395,0.6419,0.6502
16,3,0.3,75,2.3461,2.3448,2.3394,0.4597,0.4573,0.4584
151,2,0.14,218,0.9357,1.0419,1.0162,0.7819,0.7622,0.7687
132,3,0.38,164,1.5055,1.4932,1.4878,0.6462,0.6493,0.6531
125,1,0.06,144,1.0816,1.1930,1.1615,0.7441,0.7260,0.7388
487,1,0.38,212,1.0615,1.1386,1.1171,0.7615,0.7499,0.7592
134,3,0.36,257,1.4010,1.3908,1.3725,0.6696,0.6725,0.6796
34,3,0.3,103,2.0131,1.9981,1.9781,0.5268,0.5277,0.5313
11,1,0.23,111,1.9869,1.9782,1.9568,0.5419,0.5428,0.5474
