hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,768,0.2815,0.3861,0.3908,0.9367,0.9174,0.9167
415,3,0.43,768,0.3390,0.4033,0.4035,0.9270,0.9141,0.9143
68,3,0.15,768,0.3417,0.4362,0.4267,0.9279,0.9103,0.9141
115,1,0.45,768,0.3744,0.4318,0.4257,0.9196,0.9072,0.9112
401,3,0.05,768,0.3144,0.4071,0.4022,0.9325,0.9147,0.9119
359,1,0.46,768,0.3139,0.3999,0.4012,0.9333,0.9137,0.9165
47,2,0.22,768,0.3583,0.4323,0.4239,0.9235,0.9089,0.9129
144,1,0.38,768,0.3107,0.3993,0.3957,0.9312,0.9146,0.9154
298,2,0.12,768,0.2405,0.3940,0.3896,0.9452,0.9151,0.9172
76,2,0.33,768,0.3530,0.4202,0.4133,0.9231,0.9113,0.9134
15,2,0.34,768,0.9807,0.9972,0.9970,0.8290,0.8214,0.8290
184,1,0.41000000000000003,768,0.2983,0.3911,0.3921,0.9343,0.9140,0.9156
182,1,0.34,768,0.2677,0.3854,0.3826,0.9411,0.9155,0.9183
36,1,0.19,768,0.3327,0.4145,0.4103,0.9256,0.9104,0.9124
48,1,0.34,768,0.3749,0.4360,0.4257,0.9180,0.9062,0.9085
57,2,0.37,768,0.4187,0.4679,0.4586,0.9113,0.9004,0.9070
140,3,0.05,768,0.2735,0.4036,0.3948,0.9396,0.9150,0.9157
222,1,0.31,768,0.3035,0.3914,0.3919,0.9332,0.9163,0.9162
304,3,0.08,768,0.2394,0.3927,0.3882,0.9461,0.9173,0.9181
206,2,0.24,768,0.2913,0.3863,0.3830,0.9347,0.9162,0.9177
184,2,0.2,768,0.2802,0.3848,0.3874,0.9361,0.9192,0.9165
93,2,0.06,768,0.2680,0.3943,0.3927,0.9407,0.9159,0.9172
89,2,0.39,768,0.3730,0.4312,0.4235,0.9187,0.9057,0.9122
139,3,0.11,768,0.2940,0.4017,0.3909,0.9375,0.9137,0.9174
347,3,0.31,768,0.2486,0.3844,0.3843,0.9446,0.9179,0.9188
410,3,0.25,768,0.2736,0.3897,0.3831,0.9393,0.9147,0.9175
147,3,0.1,768,0.2571,0.3994,0.3931,0.9426,0.9143,0.9173
144,3,0.22,768,0.2641,0.3967,0.3909,0.9413,0.9144,0.9197
194,1,0.09,768,0.2543,0.3924,0.3911,0.9444,0.9178,0.9155
43,3,0.07,768,0.3503,0.4558,0.4300,0.9268,0.9071,0.9132
349,3,0.29,768,0.2557,0.3850,0.3760,0.9412,0.9175,0.9181
252,3,0.22,768,0.2783,0.3909,0.3924,0.9379,0.9146,0.9153
233,3,0.19,768,0.2595,0.3963,0.3870,0.9415,0.9150,0.9199
181,2,0.17,768,0.2742,0.3895,0.3851,0.9374,0.9154,0.9193
38,3,0.34,768,0.7930,0.8163,0.8144,0.8560,0.8443,0.8566
92,2,0.07,768,0.3090,0.4041,0.3996,0.9317,0.9138,0.9146
298,2,0.29,768,0.2416,0.3753,0.3803,0.9447,0.9188,0.9182
107,3,0.4,768,0.4281,0.4844,0.4803,0.9136,0.9012,0.9054
19,1,0.05,768,0.3331,0.4293,0.4218,0.9266,0.9091,0.9120
90,2,0.17,768,0.2916,0.3923,0.3831,0.9348,0.9148,0.9175
44,2,0.23,768,0.3672,0.4308,0.4287,0.9218,0.9097,0.9122
39,3,0.31,768,0.7243,0.7567,0.7455,0.8610,0.8503,0.8626
85,2,0.29,768,0.3230,0.3998,0.3987,0.9285,0.9138,0.9144
112,2,0.33,768,0.3387,0.4102,0.4036,0.9265,0.9117,0.9144
427,1,0.04,768,0.2387,0.4010,0.3946,0.9460,0.9136,0.9184
125,2,0.13,768,0.2532,0.3911,0.3947,0.9423,0.9165,0.9162
134,3,0.0,768,0.2879,0.4110,0.3974,0.9353,0.9118,0.9135
421,2,0.5,768,0.3313,0.4091,0.4033,0.9275,0.9132,0.9163
113,3,0.49,768,0.5049,0.5475,0.5403,0.9037,0.8932,0.9008
73,3,0.46,768,0.6309,0.6726,0.6679,0.8683,0.8583,0.8675
