hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,300,0.2755,0.3659,0.3548,0.9356,0.9201,0.9244
415,3,0.43,300,0.3173,0.3914,0.3703,0.9306,0.9172,0.9224
68,3,0.15,300,0.3421,0.4037,0.4042,0.9298,0.9181,0.9201
115,1,0.45,300,0.3773,0.4213,0.4104,0.9215,0.9113,0.9188
401,3,0.05,300,0.2662,0.3748,0.3749,0.9404,0.9210,0.9242
359,1,0.46,300,0.3354,0.3952,0.3840,0.9292,0.9174,0.9210
47,2,0.22,300,0.3549,0.4123,0.3947,0.9255,0.9134,0.9203
144,1,0.38,300,0.3286,0.3931,0.3800,0.9291,0.9169,0.9208
298,2,0.12,300,0.2497,0.3673,0.3551,0.9425,0.9222,0.9278
76,2,0.33,300,0.3795,0.4253,0.4082,0.9203,0.9095,0.9178
15,2,0.34,300,1.0185,1.0255,1.0245,0.8157,0.8106,0.8150
184,1,0.41000000000000003,300,0.3377,0.3991,0.3836,0.9284,0.9155,0.9204
182,1,0.34,300,0.3267,0.3908,0.3780,0.9306,0.9176,0.9224
36,1,0.19,300,0.3567,0.4159,0.3947,0.9239,0.9125,0.9184
48,1,0.34,300,0.3832,0.4315,0.4150,0.9199,0.9109,0.9182
57,2,0.37,300,0.4517,0.4834,0.4655,0.9070,0.8991,0.9076
140,3,0.05,300,0.2727,0.3765,0.3678,0.9389,0.9193,0.9224
222,1,0.31,300,0.2885,0.3718,0.3634,0.9366,0.9210,0.9249
304,3,0.08,300,0.2957,0.3778,0.3743,0.9344,0.9200,0.9225
206,2,0.24,300,0.2920,0.3702,0.3595,0.9338,0.9209,0.9243
184,2,0.2,300,0.2679,0.3696,0.3567,0.9376,0.9209,0.9230
93,2,0.06,300,0.2993,0.3827,0.3717,0.9335,0.9177,0.9216
89,2,0.39,300,0.3817,0.4273,0.4121,0.9184,0.9071,0.9174
139,3,0.11,300,0.2781,0.3753,0.3737,0.9376,0.9190,0.9242
347,3,0.31,300,0.3270,0.3853,0.3819,0.9296,0.9177,0.9222
410,3,0.25,300,0.2921,0.3781,0.3629,0.9365,0.9224,0.9252
147,3,0.1,300,0.2737,0.3707,0.3615,0.9401,0.9240,0.9262
144,3,0.22,300,0.3041,0.3886,0.3690,0.9354,0.9196,0.9242
194,1,0.09,300,0.2720,0.3761,0.3597,0.9392,0.9209,0.9244
43,3,0.07,300,0.3434,0.4141,0.4089,0.9300,0.9136,0.9188
349,3,0.29,300,0.3037,0.3784,0.3695,0.9330,0.9197,0.9236
252,3,0.22,300,0.2764,0.3706,0.3606,0.9379,0.9213,0.9257
233,3,0.19,300,0.2853,0.3757,0.3631,0.9376,0.9213,0.9253
181,2,0.17,300,0.2683,0.3685,0.3570,0.9387,0.9216,0.9246
38,3,0.34,300,0.7722,0.7882,0.7795,0.8646,0.8565,0.8667
92,2,0.07,300,0.2977,0.3797,0.3697,0.9340,0.9222,0.9230
298,2,0.29,300,0.3045,0.3721,0.3610,0.9313,0.9205,0.9238
107,3,0.4,300,0.4350,0.4728,0.4675,0.9136,0.9037,0.9121
19,1,0.05,300,0.3514,0.4194,0.4025,0.9255,0.9140,0.9156
90,2,0.17,300,0.3218,0.3904,0.3776,0.9293,0.9174,0.9204
44,2,0.23,300,0.3864,0.4371,0.4182,0.9207,0.9105,0.9176
39,3,0.31,300,0.7051,0.7251,0.7609,0.8729,0.8624,0.8715
85,2,0.29,300,0.3280,0.3908,0.3758,0.9278,0.9161,0.9210
112,2,0.33,300,0.3298,0.3932,0.3757,0.9270,0.9147,0.9199
427,1,0.04,300,0.2593,0.3741,0.3665,0.9417,0.9236,0.9233
125,2,0.13,300,0.2810,0.3687,0.3575,0.9366,0.9210,0.9238
134,3,0.0,300,0.2601,0.3834,0.3747,0.9414,0.9205,0.9228
421,2,0.5,300,0.3417,0.3983,0.3737,0.9269,0.9141,0.9229
113,3,0.49,300,0.5436,0.5712,0.5630,0.8869,0.8786,0.8906
73,3,0.46,300,0.7751,0.7999,0.7871,0.8480,0.8426,0.8524
