hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,0.3247,0.6638,0.6414,0.9317,0.8563,0.8573
147,1,0.26,134,0.3371,0.6954,0.6794,0.9296,0.8496,0.8490
59,3,0.41000000000000003,172,0.7989,1.0894,1.0958,0.8655,0.7913,0.8020
190,2,0.13,160,0.3651,0.6920,0.6765,0.9221,0.8444,0.8480
484,3,0.06,100,0.3785,0.6986,0.6838,0.9181,0.8473,0.8497
97,1,0.5,242,0.2773,0.6476,0.6387,0.9433,0.8612,0.8606
18,3,0.3,174,1.3187,1.5026,1.5070,0.6552,0.6197,0.6130
261,3,0.14,153,0.2902,0.6815,0.6686,0.9359,0.8519,0.8542
257,1,0.19,108,0.3027,0.6981,0.6913,0.9346,0.8513,0.8497
45,1,0.5,210,0.3279,0.6686,0.6419,0.9354,0.8595,0.8637
60,3,0.34,163,0.4989,0.9152,0.8814,0.9076,0.8347,0.8407
72,3,0.38,276,0.6349,1.0109,1.0059,0.8766,0.8056,0.8142
183,3,0.28,242,0.3053,0.6880,0.6751,0.9380,0.8501,0.8519
333,2,0.11,292,0.3190,0.7049,0.6823,0.9285,0.8477,0.8495
497,3,0.45,153,0.3615,0.6761,0.6631,0.9312,0.8477,0.8474
302,2,0.45,257,0.3221,0.6634,0.6421,0.9357,0.8593,0.8623
263,1,0.02,89,0.2958,0.7418,0.7194,0.9342,0.8505,0.8513
118,3,0.47000000000000003,48,0.5596,0.9100,0.9092,0.8975,0.8319,0.8378
114,1,0.16,52,0.3546,0.7264,0.7206,0.9248,0.8446,0.8418
182,2,0.44,131,0.3420,0.6664,0.6661,0.9329,0.8565,0.8533
195,3,0.37,49,0.4138,0.7396,0.7375,0.9205,0.8393,0.8388
191,1,0.22,124,0.2891,0.6910,0.6845,0.9379,0.8485,0.8509
278,2,0.24,192,0.2927,0.6632,0.6540,0.9368,0.8577,0.8572
55,1,0.14,120,0.3388,0.7237,0.7092,0.9275,0.8473,0.8443
393,2,0.02,184,0.3343,0.7000,0.6918,0.9273,0.8525,0.8524
357,1,0.25,263,0.2950,0.6845,0.6795,0.9374,0.8541,0.8553
255,1,0.19,268,0.3094,0.7047,0.6907,0.9332,0.8475,0.8491
48,3,0.34,88,0.7695,1.0944,1.0679,0.8547,0.7874,0.7918
117,3,0.05,110,0.3017,0.7216,0.6987,0.9354,0.8516,0.8551
484,3,0.28,280,0.3218,0.6778,0.6546,0.9329,0.8479,0.8554
137,3,0.05,168,0.3190,0.7115,0.7131,0.9325,0.8485,0.8501
23,2,0.0,276,0.3826,0.7879,0.7674,0.9221,0.8419,0.8411
115,1,0.31,178,0.2784,0.6830,0.6695,0.9406,0.8509,0.8501
56,1,0.13,82,0.3514,0.7379,0.7163,0.9249,0.8381,0.8469
50,1,0.22,250,0.2899,0.7204,0.6799,0.9380,0.8489,0.8555
108,3,0.32,257,0.3500,0.7214,0.7172,0.9346,0.8462,0.8468
143,2,0.47000000000000003,143,0.3763,0.6838,0.6722,0.9247,0.8560,0.8589
160,1,0.3,250,0.3013,0.6968,0.6691,0.9357,0.8497,0.8508
174,1,0.15,82,0.2974,0.7160,0.6954,0.9357,0.8525,0.8505
145,2,0.24,207,0.3132,0.6818,0.6462,0.9326,0.8510,0.8564
94,1,0.01,168,0.3047,0.7213,0.7157,0.9336,0.8477,0.8453
68,3,0.28,206,0.4195,0.7945,0.7964,0.9248,0.8438,0.8463
16,3,0.3,75,1.4041,1.6169,1.6170,0.6814,0.6308,0.6243
151,2,0.14,218,0.3075,0.6803,0.6865,0.9336,0.8495,0.8468
132,3,0.38,164,0.3752,0.7459,0.7276,0.9303,0.8507,0.8519
125,1,0.06,144,0.3037,0.7168,0.7156,0.9333,0.8485,0.8444
487,1,0.38,212,0.3390,0.6725,0.6660,0.9318,0.8531,0.8496
134,3,0.36,257,0.4163,0.7362,0.7221,0.9200,0.8508,0.8539
34,3,0.3,103,0.9686,1.2099,1.1929,0.8113,0.7499,0.7599
11,1,0.23,111,0.3644,0.7975,0.7489,0.9300,0.8429,0.8477
