hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,1.2585,1.2997,1.2899,0.6855,0.6786,0.6724
147,1,0.26,134,0.8634,0.9771,0.9504,0.7989,0.7685,0.7750
59,3,0.41000000000000003,172,1.7072,1.7028,1.7117,0.5548,0.5577,0.5495
190,2,0.13,160,0.5389,0.7593,0.7281,0.8755,0.8247,0.8304
484,3,0.06,100,0.4441,0.7166,0.7100,0.9005,0.8334,0.8394
97,1,0.5,242,1.2375,1.2775,1.2735,0.6988,0.6866,0.6847
18,3,0.3,174,2.0426,2.0259,2.0456,0.4862,0.4923,0.4801
261,3,0.14,153,0.5409,0.7489,0.7346,0.8750,0.8202,0.8228
257,1,0.19,108,0.6891,0.8580,0.8384,0.8408,0.7990,0.8035
45,1,0.5,210,1.5047,1.5206,1.5249,0.6148,0.6133,0.6046
60,3,0.34,163,1.5006,1.5146,1.5071,0.6038,0.6055,0.6066
72,3,0.38,276,1.4492,1.4634,1.4711,0.6049,0.6017,0.6013
183,3,0.28,242,0.7615,0.8822,0.8530,0.8193,0.7863,0.7934
333,2,0.11,292,0.3795,0.7047,0.6775,0.9165,0.8453,0.8449
497,3,0.45,153,1.0292,1.0984,1.0762,0.7381,0.7185,0.7229
302,2,0.45,257,0.9706,1.0481,1.0235,0.7504,0.7300,0.7389
263,1,0.02,89,0.5928,0.8701,0.8342,0.8621,0.8125,0.8138
118,3,0.47000000000000003,48,1.7816,1.7829,1.7912,0.5460,0.5463,0.5373
114,1,0.16,52,1.1081,1.1802,1.1670,0.7299,0.7141,0.7159
182,2,0.44,131,1.2091,1.2423,1.2390,0.6938,0.6807,0.6821
195,3,0.37,49,1.3557,1.3772,1.3798,0.6422,0.6385,0.6327
191,1,0.22,124,0.7957,0.9266,0.9007,0.8143,0.7806,0.7847
278,2,0.24,192,0.6365,0.8069,0.7757,0.8529,0.8079,0.8186
55,1,0.14,120,1.0401,1.1182,1.1040,0.7427,0.7312,0.7243
393,2,0.02,184,0.3909,0.7234,0.7422,0.9129,0.8458,0.8410
357,1,0.25,263,0.4750,0.7306,0.7151,0.8990,0.8325,0.8395
255,1,0.19,268,0.4923,0.7392,0.7265,0.8918,0.8300,0.8345
48,3,0.34,88,1.7528,1.7572,1.7666,0.5476,0.5492,0.5406
117,3,0.05,110,0.6426,0.8332,0.8147,0.8512,0.8029,0.8084
484,3,0.28,280,0.5232,0.7177,0.6887,0.8816,0.8328,0.8415
137,3,0.05,168,0.5094,0.7705,0.7529,0.8865,0.8261,0.8297
23,2,0.0,276,0.8846,1.0934,1.0777,0.7931,0.7594,0.7642
115,1,0.31,178,0.9045,1.0065,0.9795,0.7929,0.7640,0.7727
56,1,0.13,82,1.1191,1.1907,1.1800,0.7217,0.7042,0.7050
50,1,0.22,250,0.9706,1.0530,1.0380,0.7652,0.7430,0.7417
108,3,0.32,257,1.0501,1.1101,1.0965,0.7282,0.7105,0.7217
143,2,0.47000000000000003,143,1.2849,1.3151,1.3077,0.6630,0.6593,0.6526
160,1,0.3,250,0.6951,0.8449,0.8204,0.8472,0.8046,0.8078
174,1,0.15,82,0.8511,0.9705,0.9662,0.7951,0.7703,0.7673
145,2,0.24,207,0.7735,0.8913,0.8609,0.8163,0.7808,0.7884
94,1,0.01,168,0.6171,0.8905,0.8588,0.8594,0.8064,0.8120
68,3,0.28,206,1.2038,1.2460,1.2329,0.7053,0.6929,0.6934
16,3,0.3,75,2.2475,2.2399,2.2534,0.4431,0.4485,0.4349
151,2,0.14,218,0.5448,0.7538,0.7298,0.8753,0.8216,0.8263
132,3,0.38,164,1.2162,1.2543,1.2490,0.6899,0.6828,0.6773
125,1,0.06,144,0.6168,0.8583,0.8403,0.8560,0.8060,0.8094
487,1,0.38,212,0.6528,0.8137,0.7979,0.8661,0.8145,0.8199
134,3,0.36,257,0.9738,1.0383,1.0248,0.7622,0.7407,0.7469
34,3,0.3,103,1.8143,1.8177,1.8294,0.5401,0.5413,0.5330
11,1,0.23,111,1.7375,1.7537,1.7485,0.5492,0.5472,0.5448
