hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,300,0.5860,0.6378,0.6642,0.8572,0.8485,0.8425
415,3,0.43,300,0.6619,0.6961,0.7274,0.8406,0.8365,0.8291
68,3,0.15,300,0.7002,0.7497,0.7874,0.8345,0.8252,0.8150
115,1,0.45,300,0.9011,0.9227,0.9679,0.8023,0.7991,0.7813
401,3,0.05,300,0.4966,0.5817,0.6177,0.8753,0.8557,0.8482
359,1,0.46,300,0.7478,0.7905,0.8165,0.8301,0.8194,0.8180
47,2,0.22,300,0.8130,0.8437,0.8951,0.8093,0.8093,0.7922
144,1,0.38,300,0.7800,0.8117,0.8527,0.8224,0.8163,0.8042
298,2,0.12,300,0.4349,0.5515,0.5956,0.8885,0.8667,0.8531
76,2,0.33,300,0.8560,0.8847,0.9266,0.8026,0.7984,0.7844
15,2,0.34,300,1.6591,1.6420,1.7593,0.6052,0.6133,0.5785
184,1,0.41000000000000003,300,0.7914,0.8223,0.8622,0.8211,0.8181,0.8075
182,1,0.34,300,0.6878,0.7336,0.7637,0.8392,0.8291,0.8196
36,1,0.19,300,0.8034,0.8316,0.8762,0.8072,0.8064,0.7934
48,1,0.34,300,0.9647,0.9802,1.0301,0.7795,0.7763,0.7603
57,2,0.37,300,1.0452,1.0580,1.1256,0.7616,0.7575,0.7324
140,3,0.05,300,0.5227,0.6067,0.6481,0.8698,0.8536,0.8443
222,1,0.31,300,0.6368,0.6887,0.7316,0.8487,0.8413,0.8318
304,3,0.08,300,0.4690,0.5668,0.6076,0.8816,0.8622,0.8503
206,2,0.24,300,0.5383,0.6071,0.6367,0.8646,0.8512,0.8404
184,2,0.2,300,0.5627,0.6185,0.6603,0.8588,0.8471,0.8394
93,2,0.06,300,0.5471,0.6263,0.6686,0.8636,0.8490,0.8407
89,2,0.39,300,0.9087,0.9304,0.9881,0.7924,0.7864,0.7724
139,3,0.11,300,0.5492,0.6178,0.6548,0.8643,0.8511,0.8383
347,3,0.31,300,0.5510,0.6069,0.6483,0.8620,0.8501,0.8352
410,3,0.25,300,0.5031,0.5687,0.6059,0.8744,0.8632,0.8487
147,3,0.1,300,0.5354,0.6099,0.6483,0.8667,0.8529,0.8458
144,3,0.22,300,0.5978,0.6495,0.6881,0.8523,0.8437,0.8354
194,1,0.09,300,0.5045,0.5985,0.6558,0.8748,0.8565,0.8452
43,3,0.07,300,0.7394,0.7849,0.8521,0.8257,0.8171,0.7978
349,3,0.29,300,0.5378,0.6034,0.6301,0.8655,0.8543,0.8450
252,3,0.22,300,0.5528,0.6147,0.6469,0.8630,0.8488,0.8376
233,3,0.19,300,0.5190,0.5927,0.6267,0.8697,0.8556,0.8500
181,2,0.17,300,0.5403,0.6071,0.6407,0.8641,0.8514,0.8454
38,3,0.34,300,1.5321,1.5069,1.6315,0.6326,0.6454,0.6062
92,2,0.07,300,0.5375,0.6196,0.6610,0.8651,0.8484,0.8363
298,2,0.29,300,0.5538,0.6133,0.6476,0.8628,0.8508,0.8387
107,3,0.4,300,0.9368,0.9591,1.0335,0.7818,0.7772,0.7487
19,1,0.05,300,0.8178,0.8398,0.8970,0.8049,0.8021,0.7895
90,2,0.17,300,0.6300,0.6769,0.7262,0.8467,0.8355,0.8304
44,2,0.23,300,0.8658,0.8932,0.9522,0.7959,0.7915,0.7814
39,3,0.31,300,1.4178,1.4071,1.5221,0.6801,0.6822,0.6450
85,2,0.29,300,0.7615,0.7946,0.8347,0.8191,0.8161,0.8067
112,2,0.33,300,0.7316,0.7665,0.8028,0.8253,0.8195,0.8133
427,1,0.04,300,0.4606,0.5755,0.6309,0.8846,0.8621,0.8517
125,2,0.13,300,0.5586,0.6259,0.6589,0.8606,0.8487,0.8431
134,3,0.0,300,0.5172,0.6129,0.6733,0.8721,0.8533,0.8382
421,2,0.5,300,0.7186,0.7548,0.7896,0.8305,0.8227,0.8110
113,3,0.49,300,1.1907,1.1922,1.2834,0.7328,0.7331,0.6977
73,3,0.46,300,1.3885,1.3802,1.4744,0.6929,0.6928,0.6609
