hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,0.6242,1.0935,1.1341,0.8677,0.7393,0.7297
147,1,0.26,134,0.6447,1.1436,1.2021,0.8577,0.7282,0.7212
59,3,0.41000000000000003,172,1.1415,1.5097,1.6605,0.7104,0.6324,0.5883
190,2,0.13,160,0.7295,1.1535,1.2230,0.8337,0.7232,0.7168
484,3,0.06,100,0.8249,1.1987,1.2665,0.8040,0.7162,0.7044
97,1,0.5,242,0.6718,1.0896,1.1474,0.8541,0.7387,0.7301
18,3,0.3,174,1.5973,1.8930,2.0189,0.5647,0.5084,0.4679
261,3,0.14,153,0.7796,1.1781,1.2414,0.8199,0.7115,0.7065
257,1,0.19,108,0.6851,1.1842,1.2285,0.8489,0.7240,0.7186
45,1,0.5,210,0.6313,1.0969,1.1501,0.8656,0.7424,0.7249
60,3,0.34,163,0.9562,1.3865,1.4986,0.7869,0.6820,0.6432
72,3,0.38,276,0.9148,1.3302,1.4538,0.7927,0.6866,0.6547
183,3,0.28,242,0.7532,1.1928,1.2431,0.8283,0.7109,0.7059
333,2,0.11,292,0.8780,1.1856,1.2520,0.7958,0.7184,0.7051
497,3,0.45,153,0.9511,1.2408,1.3122,0.7846,0.6966,0.6790
302,2,0.45,257,0.8348,1.1729,1.2441,0.8120,0.7208,0.7023
263,1,0.02,89,0.8964,1.2819,1.3462,0.7951,0.7027,0.6916
118,3,0.47000000000000003,48,1.0405,1.3499,1.4612,0.7692,0.6765,0.6482
114,1,0.16,52,0.7452,1.2061,1.2782,0.8356,0.7175,0.7083
182,2,0.44,131,0.6793,1.1372,1.1909,0.8542,0.7238,0.7131
195,3,0.37,49,0.9582,1.2836,1.3695,0.7817,0.6929,0.6733
191,1,0.22,124,0.7156,1.1780,1.2247,0.8422,0.7212,0.7074
278,2,0.24,192,0.8171,1.1701,1.2370,0.8081,0.7179,0.7009
55,1,0.14,120,0.7513,1.1989,1.2654,0.8312,0.7217,0.7126
393,2,0.02,184,0.7687,1.1705,1.2471,0.8210,0.7250,0.7114
357,1,0.25,263,0.6517,1.1501,1.1937,0.8571,0.7301,0.7236
255,1,0.19,268,0.7142,1.1754,1.2214,0.8413,0.7266,0.7158
48,3,0.34,88,1.1257,1.5099,1.6003,0.7570,0.6640,0.6298
117,3,0.05,110,0.8518,1.2153,1.2936,0.8027,0.7128,0.6997
484,3,0.28,280,0.8516,1.1862,1.2431,0.8042,0.7119,0.6979
137,3,0.05,168,0.7744,1.1849,1.2584,0.8181,0.7202,0.7048
23,2,0.0,276,0.7384,1.2516,1.3344,0.8366,0.7224,0.7099
115,1,0.31,178,0.7200,1.1545,1.1947,0.8413,0.7237,0.7138
56,1,0.13,82,0.7264,1.2019,1.2744,0.8376,0.7225,0.7089
50,1,0.22,250,0.6667,1.1556,1.2037,0.8506,0.7281,0.7186
108,3,0.32,257,0.8189,1.2275,1.3036,0.8176,0.7066,0.6950
143,2,0.47000000000000003,143,0.8379,1.1940,1.2516,0.8162,0.7192,0.7053
160,1,0.3,250,0.7278,1.1603,1.2005,0.8401,0.7282,0.7182
174,1,0.15,82,0.7032,1.2000,1.2355,0.8429,0.7174,0.7184
145,2,0.24,207,0.6982,1.1454,1.2124,0.8405,0.7284,0.7110
94,1,0.01,168,0.7695,1.2353,1.3018,0.8256,0.7174,0.7139
68,3,0.28,206,0.8646,1.2653,1.3569,0.8140,0.7049,0.6917
16,3,0.3,75,1.6495,1.8743,2.0066,0.5565,0.5100,0.4694
151,2,0.14,218,0.8106,1.1861,1.2379,0.8114,0.7204,0.7063
132,3,0.38,164,0.8918,1.2630,1.3324,0.8030,0.6973,0.6855
125,1,0.06,144,0.6923,1.2163,1.2711,0.8436,0.7236,0.7143
487,1,0.38,212,0.6542,1.1423,1.1851,0.8648,0.7249,0.7222
134,3,0.36,257,0.7656,1.1907,1.2558,0.8292,0.7155,0.6961
34,3,0.3,103,1.2242,1.5870,1.7123,0.7066,0.6251,0.5975
11,1,0.23,111,0.8015,1.2395,1.3332,0.8201,0.7166,0.6921
