hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,0.8610,1.6346,1.5379,0.8168,0.6750,0.6869
147,1,0.26,134,0.7747,1.6311,1.5040,0.8278,0.6500,0.6820
59,3,0.41000000000000003,172,1.3661,1.9251,1.6510,0.6954,0.6114,0.6238
190,2,0.13,160,0.9360,1.5748,1.4496,0.7818,0.6409,0.6699
484,3,0.06,100,0.7682,1.7558,1.6396,0.8185,0.6477,0.6699
97,1,0.5,242,0.8055,1.6038,1.4911,0.8285,0.6523,0.6917
18,3,0.3,174,1.3912,1.9995,1.8801,0.6543,0.4977,0.5607
261,3,0.14,153,0.9576,1.7202,1.7100,0.7721,0.6341,0.6529
257,1,0.19,108,0.9368,1.5965,1.5380,0.7928,0.6545,0.6748
45,1,0.5,210,0.9492,1.7358,1.5572,0.7921,0.6295,0.6820
60,3,0.34,163,1.0980,1.8300,1.6190,0.7581,0.6068,0.6602
72,3,0.38,276,1.1151,1.8005,1.6598,0.7184,0.5932,0.6335
183,3,0.28,242,1.1840,1.7024,1.6236,0.7437,0.6409,0.6335
333,2,0.11,292,0.9604,1.7415,1.5300,0.7761,0.6114,0.6772
497,3,0.45,153,0.6858,1.5810,1.5637,0.8455,0.6636,0.7063
302,2,0.45,257,0.6548,1.6304,1.4832,0.8515,0.6750,0.7039
263,1,0.02,89,1.0804,1.6217,1.5333,0.7638,0.6364,0.6748
118,3,0.47000000000000003,48,1.2851,1.8216,1.6079,0.6834,0.5523,0.6335
114,1,0.16,52,0.8945,1.6379,1.5576,0.7935,0.6545,0.6917
182,2,0.44,131,0.8284,1.6269,1.5785,0.8118,0.6409,0.6578
195,3,0.37,49,1.0837,1.6968,1.4907,0.7474,0.6136,0.6748
191,1,0.22,124,0.9778,1.5983,1.5466,0.7784,0.6523,0.6626
278,2,0.24,192,0.7013,1.6044,1.5514,0.8405,0.6614,0.6845
55,1,0.14,120,0.9003,1.6062,1.5425,0.7901,0.6409,0.6917
393,2,0.02,184,0.5959,1.6511,1.5248,0.8555,0.6682,0.6942
357,1,0.25,263,0.7969,1.6122,1.4945,0.8285,0.6568,0.6796
255,1,0.19,268,0.8124,1.4948,1.4942,0.8262,0.6636,0.6820
48,3,0.34,88,1.3581,1.8959,1.7404,0.6346,0.5341,0.5728
117,3,0.05,110,0.9112,1.8659,1.7278,0.7851,0.6227,0.6432
484,3,0.28,280,1.2129,1.6812,1.6503,0.7227,0.6205,0.6359
137,3,0.05,168,0.9630,1.7417,1.6491,0.7701,0.6295,0.6578
23,2,0.0,276,0.9006,1.7782,1.5947,0.7654,0.6341,0.6238
115,1,0.31,178,0.8704,1.5816,1.4953,0.8088,0.6659,0.6699
56,1,0.13,82,0.8373,1.6740,1.6758,0.8071,0.6727,0.6748
50,1,0.22,250,0.8455,1.6878,1.5098,0.8168,0.6432,0.6966
108,3,0.32,257,0.8947,1.6927,1.6153,0.7951,0.6500,0.6796
143,2,0.47000000000000003,143,1.0333,1.6779,1.6078,0.7728,0.6250,0.6359
160,1,0.3,250,0.8341,1.5915,1.5258,0.8158,0.6636,0.6650
174,1,0.15,82,0.9485,1.6125,1.4720,0.7841,0.6591,0.6602
145,2,0.24,207,0.8445,1.6028,1.5383,0.8101,0.6341,0.6699
94,1,0.01,168,0.7884,1.5758,1.4312,0.8205,0.6705,0.6820
68,3,0.28,206,1.0220,1.7360,1.5552,0.7518,0.6159,0.6650
16,3,0.3,75,1.5421,2.1272,2.1111,0.5916,0.4955,0.5146
151,2,0.14,218,0.9104,1.6375,1.5070,0.7891,0.6500,0.6966
132,3,0.38,164,1.0186,1.7092,1.4509,0.7684,0.5932,0.6650
125,1,0.06,144,0.8532,1.6062,1.4933,0.8101,0.6545,0.7063
487,1,0.38,212,0.6672,1.5638,1.5375,0.8529,0.6705,0.6723
134,3,0.36,257,0.7902,1.6214,1.5527,0.8145,0.6864,0.6772
34,3,0.3,103,1.1628,1.8710,1.6872,0.7174,0.5909,0.6529
11,1,0.23,111,0.8913,1.6241,1.5927,0.7925,0.6727,0.6893
