hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,768,0.2399,0.5531,0.6162,0.9468,0.8606,0.8516
415,3,0.43,768,0.0824,0.5528,0.6574,0.9861,0.8812,0.8667
68,3,0.15,768,0.2142,0.6252,0.7132,0.9562,0.8583,0.8516
115,1,0.45,768,0.1682,0.5407,0.6164,0.9695,0.8654,0.8642
401,3,0.05,768,0.1613,0.6192,0.6813,0.9668,0.8583,0.8481
359,1,0.46,768,0.0676,0.5131,0.5823,0.9934,0.8733,0.8783
47,2,0.22,768,0.2661,0.5961,0.6622,0.9423,0.8670,0.8521
144,1,0.38,768,0.0961,0.5417,0.6212,0.9847,0.8725,0.8592
298,2,0.12,768,0.2254,0.6135,0.6590,0.9450,0.8583,0.8521
76,2,0.33,768,0.1807,0.5557,0.6287,0.9638,0.8773,0.8566
15,2,0.34,768,0.9120,1.0571,1.2091,0.7643,0.7387,0.7072
184,1,0.41000000000000003,768,0.0574,0.5322,0.6139,0.9949,0.8686,0.8667
182,1,0.34,768,0.1070,0.5277,0.5823,0.9848,0.8733,0.8687
36,1,0.19,768,0.1689,0.5775,0.6144,0.9662,0.8733,0.8551
48,1,0.34,768,0.2070,0.5538,0.6186,0.9559,0.8654,0.8556
57,2,0.37,768,0.2507,0.5677,0.6884,0.9433,0.8717,0.8486
140,3,0.05,768,0.1716,0.6751,0.7533,0.9633,0.8543,0.8486
222,1,0.31,768,0.1024,0.5471,0.5928,0.9829,0.8678,0.8732
304,3,0.08,768,0.2610,0.6485,0.7135,0.9422,0.8416,0.8431
206,2,0.24,768,0.1931,0.5529,0.6154,0.9602,0.8646,0.8657
184,2,0.2,768,0.1655,0.5738,0.6267,0.9656,0.8662,0.8546
93,2,0.06,768,0.1843,0.6024,0.6568,0.9629,0.8646,0.8521
89,2,0.39,768,0.1685,0.5516,0.6358,0.9651,0.8717,0.8581
139,3,0.11,768,0.2343,0.5983,0.6558,0.9505,0.8591,0.8571
347,3,0.31,768,0.1091,0.5537,0.6465,0.9793,0.8781,0.8672
410,3,0.25,768,0.2182,0.5694,0.6153,0.9539,0.8670,0.8657
147,3,0.1,768,0.1663,0.6003,0.6720,0.9659,0.8591,0.8546
144,3,0.22,768,0.2919,0.5894,0.6595,0.9327,0.8678,0.8556
194,1,0.09,768,0.1942,0.5903,0.6183,0.9581,0.8551,0.8642
43,3,0.07,768,0.1998,0.6746,0.7742,0.9632,0.8551,0.8375
349,3,0.29,768,0.2038,0.5566,0.6505,0.9542,0.8670,0.8587
252,3,0.22,768,0.2374,0.5948,0.6572,0.9468,0.8575,0.8551
233,3,0.19,768,0.2465,0.5993,0.7138,0.9403,0.8709,0.8456
181,2,0.17,768,0.1656,0.5920,0.6349,0.9640,0.8599,0.8551
38,3,0.34,768,0.6272,0.9249,0.9978,0.8793,0.8052,0.7907
92,2,0.07,768,0.3105,0.6056,0.6717,0.9281,0.8591,0.8451
298,2,0.29,768,0.1779,0.5495,0.5868,0.9646,0.8749,0.8637
107,3,0.4,768,0.2241,0.6075,0.7045,0.9575,0.8717,0.8581
19,1,0.05,768,0.3073,0.5974,0.6464,0.9341,0.8606,0.8531
90,2,0.17,768,0.1472,0.5713,0.6429,0.9673,0.8606,0.8506
44,2,0.23,768,0.2677,0.5931,0.6390,0.9425,0.8686,0.8587
39,3,0.31,768,0.5151,0.9332,1.3092,0.9123,0.8131,0.8043
85,2,0.29,768,0.2040,0.5525,0.6279,0.9561,0.8654,0.8536
112,2,0.33,768,0.1194,0.5531,0.6178,0.9772,0.8741,0.8637
427,1,0.04,768,0.2656,0.5886,0.6451,0.9444,0.8583,0.8496
125,2,0.13,768,0.1964,0.5715,0.6362,0.9547,0.8709,0.8571
134,3,0.0,768,0.1945,0.7039,0.7547,0.9575,0.8424,0.8380
421,2,0.5,768,0.1112,0.5524,0.6307,0.9847,0.8765,0.8637
113,3,0.49,768,0.2425,0.6666,0.9494,0.9608,0.8551,0.8526
73,3,0.46,768,0.5103,0.8069,1.0810,0.8764,0.8108,0.7923
