hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,300,0.2396,0.5453,0.4893,0.9453,0.8773,0.8843
415,3,0.43,300,0.1594,0.5239,0.4854,0.9638,0.8820,0.8934
68,3,0.15,300,0.2751,0.6793,0.5857,0.9371,0.8646,0.8768
115,1,0.45,300,0.2929,0.5549,0.5056,0.9368,0.8828,0.8868
401,3,0.05,300,0.1989,0.6012,0.5504,0.9529,0.8709,0.8778
359,1,0.46,300,0.2471,0.5469,0.4882,0.9422,0.8820,0.8858
47,2,0.22,300,0.2437,0.5910,0.5158,0.9434,0.8773,0.8833
144,1,0.38,300,0.2792,0.5567,0.4955,0.9362,0.8789,0.8813
298,2,0.12,300,0.2174,0.5763,0.4806,0.9455,0.8725,0.8828
76,2,0.33,300,0.1948,0.5748,0.4970,0.9548,0.8899,0.8944
15,2,0.34,300,0.9405,1.0419,1.1526,0.8106,0.7751,0.7440
184,1,0.41000000000000003,300,0.2218,0.5459,0.4748,0.9474,0.8820,0.8949
182,1,0.34,300,0.1950,0.5514,0.4820,0.9531,0.8789,0.8924
36,1,0.19,300,0.2745,0.5721,0.5095,0.9352,0.8749,0.8818
48,1,0.34,300,0.2831,0.5715,0.5252,0.9359,0.8749,0.8863
57,2,0.37,300,0.2818,0.5847,0.5293,0.9415,0.8789,0.8944
140,3,0.05,300,0.3033,0.6594,0.5878,0.9267,0.8559,0.8607
222,1,0.31,300,0.2861,0.5521,0.5007,0.9333,0.8741,0.8793
304,3,0.08,300,0.2323,0.6183,0.5389,0.9456,0.8725,0.8763
206,2,0.24,300,0.2194,0.5700,0.4813,0.9463,0.8781,0.8959
184,2,0.2,300,0.2389,0.5482,0.4760,0.9415,0.8797,0.8984
93,2,0.06,300,0.2485,0.6467,0.5476,0.9434,0.8678,0.8848
89,2,0.39,300,0.2614,0.5617,0.5122,0.9417,0.8844,0.8924
139,3,0.11,300,0.1983,0.6302,0.5547,0.9570,0.8789,0.8828
347,3,0.31,300,0.1757,0.5597,0.4784,0.9602,0.8892,0.8929
410,3,0.25,300,0.2198,0.5676,0.4748,0.9507,0.8836,0.9074
147,3,0.1,300,0.2476,0.6402,0.5768,0.9419,0.8614,0.8778
144,3,0.22,300,0.2361,0.5902,0.5530,0.9430,0.8749,0.8778
194,1,0.09,300,0.3083,0.5824,0.5027,0.9313,0.8749,0.8833
43,3,0.07,300,0.2832,0.7340,0.6485,0.9449,0.8591,0.8682
349,3,0.29,300,0.2476,0.5474,0.5025,0.9463,0.8860,0.8919
252,3,0.22,300,0.2216,0.5642,0.5306,0.9499,0.8852,0.8873
233,3,0.19,300,0.2461,0.5813,0.5197,0.9460,0.8789,0.8888
181,2,0.17,300,0.1698,0.5581,0.4693,0.9584,0.8765,0.9019
38,3,0.34,300,0.6801,0.8811,0.9416,0.8575,0.8092,0.7862
92,2,0.07,300,0.2482,0.5758,0.5307,0.9433,0.8733,0.8808
298,2,0.29,300,0.2657,0.5557,0.4768,0.9363,0.8749,0.8989
107,3,0.4,300,0.2353,0.6470,0.5689,0.9547,0.8868,0.8868
19,1,0.05,300,0.2850,0.5966,0.5034,0.9346,0.8781,0.8858
90,2,0.17,300,0.2357,0.5821,0.4999,0.9434,0.8804,0.8883
44,2,0.23,300,0.2374,0.5633,0.5229,0.9458,0.8749,0.8858
39,3,0.31,300,0.5693,0.9285,0.8669,0.8927,0.8139,0.8229
85,2,0.29,300,0.2316,0.5577,0.4969,0.9438,0.8860,0.8954
112,2,0.33,300,0.2621,0.5497,0.4895,0.9404,0.8781,0.8888
427,1,0.04,300,0.2679,0.5936,0.4947,0.9414,0.8765,0.8878
125,2,0.13,300,0.2750,0.5661,0.4974,0.9365,0.8773,0.8893
134,3,0.0,300,0.2721,0.7918,0.7818,0.9417,0.8622,0.8612
421,2,0.5,300,0.2263,0.5192,0.4719,0.9517,0.8892,0.8924
113,3,0.49,300,0.3406,0.6635,0.6062,0.9363,0.8702,0.8773
73,3,0.46,300,0.5080,0.7521,0.7656,0.9152,0.8488,0.8526
