hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,768,0.1335,0.3600,0.4503,0.9752,0.9305,0.9126
415,3,0.43,768,0.1447,0.3765,0.4961,0.9738,0.9260,0.9071
68,3,0.15,768,0.1285,0.4680,0.5561,0.9778,0.9094,0.8960
115,1,0.45,768,0.0655,0.3749,0.4410,0.9902,0.9290,0.9154
401,3,0.05,768,0.0751,0.4488,0.5868,0.9847,0.9230,0.9015
359,1,0.46,768,0.0616,0.3603,0.4124,0.9906,0.9335,0.9196
47,2,0.22,768,0.1156,0.3944,0.4959,0.9793,0.9245,0.9154
144,1,0.38,768,0.1211,0.3505,0.4220,0.9778,0.9350,0.9140
298,2,0.12,768,0.1728,0.4180,0.4722,0.9644,0.9154,0.9057
76,2,0.33,768,0.1374,0.3865,0.4737,0.9756,0.9215,0.9154
15,2,0.34,768,0.5516,0.7066,0.6857,0.8772,0.8625,0.8585
184,1,0.41000000000000003,768,0.1297,0.3624,0.4287,0.9760,0.9260,0.9043
182,1,0.34,768,0.1234,0.3521,0.4324,0.9782,0.9320,0.9168
36,1,0.19,768,0.1548,0.3675,0.4468,0.9726,0.9260,0.9001
48,1,0.34,768,0.1370,0.3733,0.4329,0.9734,0.9230,0.9154
57,2,0.37,768,0.1616,0.3873,0.4830,0.9652,0.9245,0.9168
140,3,0.05,768,0.1530,0.4532,0.5323,0.9689,0.9154,0.9029
222,1,0.31,768,0.0835,0.3655,0.4297,0.9870,0.9245,0.9140
304,3,0.08,768,0.1464,0.4333,0.5311,0.9721,0.9139,0.9057
206,2,0.24,768,0.1151,0.3750,0.4477,0.9784,0.9215,0.9140
184,2,0.2,768,0.1627,0.3943,0.4589,0.9689,0.9154,0.9001
93,2,0.06,768,0.1207,0.4295,0.4963,0.9784,0.9124,0.9043
89,2,0.39,768,0.0920,0.3728,0.4984,0.9843,0.9230,0.9071
139,3,0.11,768,0.1958,0.4553,0.5509,0.9587,0.9003,0.8988
347,3,0.31,768,0.0794,0.3830,0.5615,0.9860,0.9215,0.8988
410,3,0.25,768,0.1553,0.3990,0.4966,0.9713,0.9215,0.9057
147,3,0.1,768,0.1844,0.4288,0.5102,0.9642,0.9109,0.9001
144,3,0.22,768,0.1128,0.3833,0.5471,0.9780,0.9215,0.9098
194,1,0.09,768,0.1235,0.4132,0.4727,0.9768,0.9154,0.8960
43,3,0.07,768,0.2533,0.5055,0.5649,0.9502,0.9018,0.8932
349,3,0.29,768,0.1345,0.4174,0.5265,0.9740,0.9184,0.9071
252,3,0.22,768,0.1389,0.3823,0.5189,0.9711,0.9184,0.8988
233,3,0.19,768,0.1065,0.4065,0.5117,0.9795,0.9260,0.9085
181,2,0.17,768,0.1960,0.4044,0.4502,0.9608,0.9199,0.9126
38,3,0.34,768,0.4618,0.6869,0.6507,0.9079,0.8640,0.8766
92,2,0.07,768,0.1100,0.4023,0.5078,0.9795,0.9275,0.9071
298,2,0.29,768,0.1129,0.3674,0.4405,0.9786,0.9275,0.9154
107,3,0.4,768,0.2308,0.4461,0.5392,0.9494,0.9063,0.8932
19,1,0.05,768,0.2132,0.4626,0.4574,0.9587,0.9154,0.9001
90,2,0.17,768,0.0883,0.3732,0.5139,0.9850,0.9320,0.9015
44,2,0.23,768,0.1138,0.3942,0.5012,0.9815,0.9184,0.9057
39,3,0.31,768,0.5273,0.7180,0.7316,0.8861,0.8565,0.8516
85,2,0.29,768,0.1002,0.3764,0.4951,0.9847,0.9290,0.9126
112,2,0.33,768,0.1419,0.3669,0.4711,0.9738,0.9230,0.9098
427,1,0.04,768,0.1551,0.4144,0.4673,0.9701,0.9215,0.9043
125,2,0.13,768,0.1736,0.4052,0.4947,0.9614,0.9275,0.9057
134,3,0.0,768,0.2371,0.4902,0.5396,0.9524,0.9003,0.8918
421,2,0.5,768,0.0957,0.3686,0.4237,0.9833,0.9230,0.9251
113,3,0.49,768,0.1918,0.4532,0.5185,0.9581,0.9124,0.8974
73,3,0.46,768,0.4288,0.5813,0.6394,0.9006,0.8671,0.8613
