hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,300,0.2003,0.3947,0.4196,0.9624,0.9199,0.9279
415,3,0.43,300,0.1719,0.3850,0.4378,0.9691,0.9215,0.9223
68,3,0.15,300,0.1571,0.4631,0.5344,0.9715,0.9184,0.9196
115,1,0.45,300,0.2016,0.4077,0.4217,0.9618,0.9245,0.9209
401,3,0.05,300,0.1953,0.4652,0.5505,0.9632,0.9184,0.9140
359,1,0.46,300,0.2153,0.4018,0.4277,0.9593,0.9215,0.9182
47,2,0.22,300,0.1984,0.4350,0.4793,0.9640,0.9154,0.9140
144,1,0.38,300,0.1796,0.4056,0.4281,0.9648,0.9215,0.9196
298,2,0.12,300,0.1874,0.4210,0.4748,0.9638,0.9215,0.9196
76,2,0.33,300,0.2004,0.4039,0.4213,0.9630,0.9199,0.9196
15,2,0.34,300,0.6769,0.7804,0.7184,0.8713,0.8625,0.8571
184,1,0.41000000000000003,300,0.2133,0.3986,0.4234,0.9573,0.9215,0.9182
182,1,0.34,300,0.2470,0.4129,0.4345,0.9532,0.9169,0.9168
36,1,0.19,300,0.2010,0.4190,0.4506,0.9597,0.9154,0.9112
48,1,0.34,300,0.2132,0.4113,0.4267,0.9575,0.9215,0.9168
57,2,0.37,300,0.2468,0.4304,0.4410,0.9522,0.9184,0.9168
140,3,0.05,300,0.2054,0.4698,0.5486,0.9622,0.9124,0.9168
222,1,0.31,300,0.1788,0.4181,0.4333,0.9646,0.9215,0.9209
304,3,0.08,300,0.2152,0.4615,0.5077,0.9579,0.9109,0.9126
206,2,0.24,300,0.1628,0.4106,0.4535,0.9665,0.9199,0.9182
184,2,0.2,300,0.2201,0.4187,0.4476,0.9593,0.9230,0.9209
93,2,0.06,300,0.2136,0.4473,0.4819,0.9597,0.9079,0.9168
89,2,0.39,300,0.1910,0.4016,0.4195,0.9664,0.9199,0.9209
139,3,0.11,300,0.2506,0.4670,0.5019,0.9504,0.9094,0.9085
347,3,0.31,300,0.1844,0.3989,0.4527,0.9650,0.9230,0.9140
410,3,0.25,300,0.2075,0.4162,0.4771,0.9604,0.9184,0.9168
147,3,0.1,300,0.1830,0.4618,0.5020,0.9636,0.9079,0.9126
144,3,0.22,300,0.2178,0.4434,0.4867,0.9618,0.9139,0.9182
194,1,0.09,300,0.2009,0.4335,0.4599,0.9604,0.9139,0.9140
43,3,0.07,300,0.2684,0.5202,0.5585,0.9504,0.9094,0.9140
349,3,0.29,300,0.1507,0.4444,0.5025,0.9719,0.9215,0.9126
252,3,0.22,300,0.2149,0.4435,0.4859,0.9642,0.9169,0.9209
233,3,0.19,300,0.2308,0.4373,0.4542,0.9569,0.9109,0.9223
181,2,0.17,300,0.2320,0.4291,0.4689,0.9557,0.9215,0.9209
38,3,0.34,300,0.4584,0.6383,0.6319,0.9242,0.8958,0.8988
92,2,0.07,300,0.2430,0.4625,0.4656,0.9534,0.9109,0.9196
298,2,0.29,300,0.1596,0.3918,0.4522,0.9675,0.9184,0.9168
107,3,0.4,300,0.2220,0.4476,0.4336,0.9603,0.9124,0.9182
19,1,0.05,300,0.2294,0.4323,0.4474,0.9549,0.9169,0.9140
90,2,0.17,300,0.2305,0.4281,0.4647,0.9542,0.9139,0.9168
44,2,0.23,300,0.2210,0.4499,0.4824,0.9559,0.9048,0.9182
39,3,0.31,300,0.4994,0.7020,0.6345,0.9097,0.8761,0.8863
85,2,0.29,300,0.1901,0.4108,0.4352,0.9636,0.9199,0.9196
112,2,0.33,300,0.1899,0.4156,0.4499,0.9628,0.9169,0.9168
427,1,0.04,300,0.2529,0.4335,0.4372,0.9512,0.9139,0.9182
125,2,0.13,300,0.2286,0.4415,0.4616,0.9545,0.9154,0.9209
134,3,0.0,300,0.2853,0.5027,0.5412,0.9477,0.9109,0.9168
421,2,0.5,300,0.1803,0.3845,0.4189,0.9665,0.9169,0.9237
113,3,0.49,300,0.2602,0.4658,0.4572,0.9453,0.8988,0.9071
73,3,0.46,300,0.4246,0.5847,0.5703,0.9187,0.8852,0.8946
