hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,0.4600,0.8166,0.8330,0.9376,0.8399,0.8072
147,1,0.26,134,0.3049,0.8547,0.9026,0.9599,0.8369,0.8169
59,3,0.41000000000000003,172,1.1150,1.2395,1.2175,0.7688,0.7341,0.7268
190,2,0.13,160,0.4483,0.8918,0.9238,0.9181,0.8082,0.8114
484,3,0.06,100,0.5360,1.0141,0.9450,0.8910,0.7855,0.7878
97,1,0.5,242,0.4820,0.8732,0.9009,0.9378,0.8127,0.8031
18,3,0.3,174,1.3769,1.4399,1.3797,0.6604,0.6571,0.6533
261,3,0.14,153,0.2558,0.9567,0.9650,0.9526,0.8187,0.8114
257,1,0.19,108,0.2700,0.9173,0.9023,0.9648,0.8112,0.8031
45,1,0.5,210,0.8000,0.9826,1.0064,0.8487,0.7659,0.7753
60,3,0.34,163,0.7436,1.0382,0.9555,0.8792,0.7749,0.7864
72,3,0.38,276,0.6780,0.9968,0.9724,0.8815,0.7689,0.7878
183,3,0.28,242,0.2770,0.8931,0.8330,0.9583,0.8218,0.8128
333,2,0.11,292,0.1848,0.9314,1.0414,0.9715,0.8172,0.7989
497,3,0.45,153,0.3416,0.8349,0.8957,0.9510,0.8293,0.8031
302,2,0.45,257,0.2021,0.8119,0.8648,0.9805,0.8248,0.8197
263,1,0.02,89,0.3051,0.8924,0.9380,0.9547,0.8051,0.7892
118,3,0.47000000000000003,48,1.2279,1.2740,1.2446,0.7141,0.6934,0.6990
114,1,0.16,52,0.4686,0.9799,0.9532,0.9081,0.7915,0.7975
182,2,0.44,131,0.3955,0.8279,0.8693,0.9429,0.8233,0.8211
195,3,0.37,49,0.6509,0.9167,0.9130,0.8709,0.7734,0.7850
191,1,0.22,124,0.3135,0.8599,0.8088,0.9579,0.8384,0.8197
278,2,0.24,192,0.2394,0.9049,0.9367,0.9658,0.8308,0.8141
55,1,0.14,120,0.4330,0.9592,1.0120,0.9266,0.8233,0.7864
393,2,0.02,184,0.2983,0.8419,0.9535,0.9532,0.8323,0.8155
357,1,0.25,263,0.2774,0.8468,0.8864,0.9640,0.8142,0.8225
255,1,0.19,268,0.2168,0.8736,0.9065,0.9754,0.8263,0.8031
48,3,0.34,88,1.1353,1.2162,1.1558,0.7497,0.7326,0.7365
117,3,0.05,110,0.4253,1.0677,0.9527,0.9248,0.8127,0.8183
484,3,0.28,280,0.3274,0.8532,0.9601,0.9457,0.8308,0.8086
137,3,0.05,168,0.5903,0.9869,0.9787,0.8874,0.8036,0.7906
23,2,0.0,276,0.5865,1.1677,1.0176,0.8798,0.7749,0.7781
115,1,0.31,178,0.2909,0.8494,0.9088,0.9644,0.8353,0.8114
56,1,0.13,82,0.4190,0.9706,0.9277,0.9227,0.8006,0.8100
50,1,0.22,250,0.3893,0.8865,0.9205,0.9321,0.8097,0.8058
108,3,0.32,257,0.2817,0.8601,0.8862,0.9536,0.8157,0.8100
143,2,0.47000000000000003,143,0.5088,0.8309,0.8369,0.9176,0.8097,0.8128
160,1,0.3,250,0.2830,0.8287,0.9333,0.9648,0.8338,0.7961
174,1,0.15,82,0.4226,0.9076,0.8839,0.9264,0.8006,0.7989
145,2,0.24,207,0.3556,0.9072,0.9140,0.9453,0.8187,0.8058
94,1,0.01,168,0.3697,0.9213,0.9105,0.9469,0.8187,0.8100
68,3,0.28,206,0.3795,0.9706,0.9256,0.9451,0.8112,0.7933
16,3,0.3,75,1.6306,1.6619,1.5689,0.5803,0.5650,0.5714
151,2,0.14,218,0.3277,0.9157,0.8739,0.9431,0.8157,0.8211
132,3,0.38,164,0.4616,0.8742,0.8550,0.9313,0.8172,0.8003
125,1,0.06,144,0.3052,0.8488,0.9109,0.9561,0.8248,0.8266
487,1,0.38,212,0.2983,0.8425,0.9144,0.9630,0.8293,0.8211
134,3,0.36,257,0.3946,0.8556,0.8888,0.9421,0.8021,0.8031
34,3,0.3,103,1.1626,1.2584,1.2031,0.7471,0.7205,0.7240
11,1,0.23,111,1.1318,1.2564,1.2573,0.7367,0.6918,0.6990
