hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,768,0.1702,0.3770,0.3600,0.9645,0.9138,0.9204
415,3,0.43,768,0.1727,0.3848,0.3570,0.9631,0.9141,0.9219
68,3,0.15,768,0.2367,0.4739,0.4579,0.9494,0.8974,0.9040
115,1,0.45,768,0.3476,0.4710,0.4401,0.9245,0.8888,0.9025
401,3,0.05,768,0.1547,0.4424,0.4263,0.9656,0.9039,0.9103
359,1,0.46,768,0.1706,0.3832,0.3645,0.9707,0.9146,0.9189
47,2,0.22,768,0.3182,0.4804,0.4518,0.9295,0.8908,0.9015
144,1,0.38,768,0.2385,0.4176,0.3915,0.9484,0.9039,0.9112
298,2,0.12,768,0.1169,0.4217,0.3929,0.9746,0.9105,0.9139
76,2,0.33,768,0.2815,0.4469,0.4185,0.9352,0.8968,0.9061
15,2,0.34,768,0.9624,1.0261,0.9765,0.7487,0.7358,0.7504
184,1,0.41000000000000003,768,0.2336,0.4169,0.3853,0.9512,0.9042,0.9132
182,1,0.34,768,0.1713,0.3935,0.3676,0.9653,0.9104,0.9166
36,1,0.19,768,0.3202,0.4784,0.4416,0.9261,0.8897,0.8987
48,1,0.34,768,0.3763,0.4970,0.4615,0.9136,0.8820,0.8946
57,2,0.37,768,0.4087,0.5192,0.4859,0.9094,0.8824,0.8940
140,3,0.05,768,0.1669,0.4657,0.4390,0.9637,0.8983,0.9067
222,1,0.31,768,0.1566,0.3960,0.3767,0.9678,0.9099,0.9144
304,3,0.08,768,0.2048,0.4305,0.4131,0.9567,0.9048,0.9112
206,2,0.24,768,0.1443,0.3998,0.3655,0.9695,0.9124,0.9180
184,2,0.2,768,0.1435,0.4071,0.3886,0.9725,0.9103,0.9158
93,2,0.06,768,0.2125,0.4501,0.4175,0.9543,0.8981,0.9061
89,2,0.39,768,0.3390,0.4703,0.4448,0.9248,0.8915,0.9016
139,3,0.11,768,0.2260,0.4402,0.4151,0.9491,0.9016,0.9065
347,3,0.31,768,0.1325,0.3855,0.3654,0.9712,0.9172,0.9219
410,3,0.25,768,0.1211,0.3939,0.3779,0.9755,0.9131,0.9165
147,3,0.1,768,0.2117,0.4411,0.4089,0.9547,0.9019,0.9103
144,3,0.22,768,0.1401,0.4131,0.3963,0.9700,0.9120,0.9126
194,1,0.09,768,0.1410,0.4191,0.3932,0.9726,0.9035,0.9143
43,3,0.07,768,0.2933,0.5058,0.4779,0.9367,0.8915,0.8993
349,3,0.29,768,0.1453,0.3898,0.3756,0.9687,0.9122,0.9169
252,3,0.22,768,0.1817,0.4156,0.3897,0.9625,0.9075,0.9153
233,3,0.19,768,0.1774,0.4221,0.3939,0.9618,0.9074,0.9148
181,2,0.17,768,0.1753,0.4217,0.4000,0.9608,0.9056,0.9111
38,3,0.34,768,0.7681,0.8482,0.8107,0.8223,0.8082,0.8176
92,2,0.07,768,0.1935,0.4514,0.4266,0.9577,0.8998,0.9044
298,2,0.29,768,0.1423,0.3825,0.3633,0.9723,0.9141,0.9203
107,3,0.4,768,0.4405,0.5521,0.5209,0.9067,0.8789,0.8915
19,1,0.05,768,0.3465,0.5134,0.4726,0.9189,0.8807,0.8924
90,2,0.17,768,0.1910,0.4308,0.4024,0.9590,0.9045,0.9103
44,2,0.23,768,0.3579,0.5019,0.4597,0.9192,0.8877,0.8994
39,3,0.31,768,0.6772,0.7829,0.7422,0.8494,0.8264,0.8409
85,2,0.29,768,0.2430,0.4263,0.3997,0.9452,0.9021,0.9087
112,2,0.33,768,0.2834,0.4384,0.4148,0.9373,0.8982,0.9049
427,1,0.04,768,0.1297,0.4235,0.3836,0.9735,0.9042,0.9147
125,2,0.13,768,0.1951,0.4222,0.4032,0.9577,0.9025,0.9059
134,3,0.0,768,0.2384,0.4794,0.4434,0.9490,0.8918,0.9011
421,2,0.5,768,0.2405,0.4015,0.3784,0.9447,0.9082,0.9138
113,3,0.49,768,0.5218,0.6185,0.5807,0.8905,0.8695,0.8809
73,3,0.46,768,0.6454,0.7427,0.6994,0.8813,0.8581,0.8717
