hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
464,2,0.41000000000000003,300,0.1400,0.2419,0.2329,0.9652,0.9465,0.9495
415,3,0.43,300,0.1359,0.2484,0.2419,0.9659,0.9449,0.9470
68,3,0.15,300,0.2045,0.3215,0.3105,0.9563,0.9376,0.9379
115,1,0.45,300,0.2866,0.3449,0.3288,0.9380,0.9248,0.9292
401,3,0.05,300,0.1451,0.2792,0.2596,0.9646,0.9429,0.9465
359,1,0.46,300,0.1939,0.2837,0.2737,0.9578,0.9402,0.9453
47,2,0.22,300,0.2348,0.3280,0.3058,0.9463,0.9292,0.9350
144,1,0.38,300,0.2006,0.2883,0.2743,0.9559,0.9386,0.9419
298,2,0.12,300,0.0978,0.2611,0.2488,0.9747,0.9489,0.9522
76,2,0.33,300,0.2569,0.3258,0.3094,0.9425,0.9295,0.9343
15,2,0.34,300,1.0368,1.0842,1.0363,0.7415,0.7393,0.7490
184,1,0.41000000000000003,300,0.2035,0.2906,0.2758,0.9558,0.9378,0.9423
182,1,0.34,300,0.1932,0.2849,0.2680,0.9560,0.9382,0.9432
36,1,0.19,300,0.2420,0.3342,0.3096,0.9451,0.9291,0.9355
48,1,0.34,300,0.3218,0.3784,0.3594,0.9310,0.9192,0.9265
57,2,0.37,300,0.3538,0.4105,0.3817,0.9261,0.9146,0.9219
140,3,0.05,300,0.1268,0.2998,0.2769,0.9711,0.9416,0.9470
222,1,0.31,300,0.1359,0.2573,0.2475,0.9685,0.9466,0.9497
304,3,0.08,300,0.1303,0.2773,0.2697,0.9670,0.9452,0.9462
206,2,0.24,300,0.1271,0.2505,0.2432,0.9682,0.9476,0.9476
184,2,0.2,300,0.1176,0.2560,0.2491,0.9716,0.9482,0.9498
93,2,0.06,300,0.1608,0.2814,0.2772,0.9616,0.9430,0.9434
89,2,0.39,300,0.2810,0.3418,0.3259,0.9375,0.9264,0.9276
139,3,0.11,300,0.1415,0.2801,0.2553,0.9673,0.9433,0.9448
347,3,0.31,300,0.1267,0.2457,0.2374,0.9686,0.9486,0.9507
410,3,0.25,300,0.1114,0.2465,0.2401,0.9700,0.9451,0.9493
147,3,0.1,300,0.1211,0.2718,0.2656,0.9718,0.9448,0.9469
144,3,0.22,300,0.1326,0.2667,0.2556,0.9651,0.9411,0.9454
194,1,0.09,300,0.1236,0.2700,0.2593,0.9706,0.9465,0.9475
43,3,0.07,300,0.2093,0.3471,0.3276,0.9559,0.9351,0.9349
349,3,0.29,300,0.1239,0.2500,0.2404,0.9696,0.9476,0.9499
252,3,0.22,300,0.1188,0.2563,0.2410,0.9710,0.9472,0.9496
233,3,0.19,300,0.1537,0.2583,0.2493,0.9643,0.9443,0.9461
181,2,0.17,300,0.1093,0.2516,0.2468,0.9734,0.9484,0.9509
38,3,0.34,300,0.6508,0.7089,0.6685,0.8729,0.8663,0.8682
92,2,0.07,300,0.1331,0.2873,0.2693,0.9680,0.9428,0.9451
298,2,0.29,300,0.1125,0.2462,0.2332,0.9722,0.9491,0.9511
107,3,0.4,300,0.3276,0.3889,0.3681,0.9345,0.9241,0.9295
19,1,0.05,300,0.2264,0.3476,0.3202,0.9467,0.9276,0.9330
90,2,0.17,300,0.1457,0.2746,0.2570,0.9649,0.9445,0.9467
44,2,0.23,300,0.2735,0.3556,0.3370,0.9397,0.9260,0.9294
39,3,0.31,300,0.6915,0.7567,0.7289,0.8609,0.8546,0.8587
85,2,0.29,300,0.2085,0.2929,0.2809,0.9521,0.9372,0.9399
112,2,0.33,300,0.2001,0.2837,0.2709,0.9525,0.9364,0.9393
427,1,0.04,300,0.1358,0.2869,0.2628,0.9686,0.9432,0.9465
125,2,0.13,300,0.1138,0.2679,0.2529,0.9720,0.9483,0.9485
134,3,0.0,300,0.1365,0.3266,0.3070,0.9682,0.9403,0.9416
421,2,0.5,300,0.1652,0.2533,0.2448,0.9596,0.9423,0.9446
113,3,0.49,300,0.4524,0.5006,0.4783,0.9134,0.9060,0.9121
73,3,0.46,300,0.6330,0.6762,0.6461,0.8657,0.8587,0.8633
