hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,0.2694,0.8662,0.8777,0.9512,0.7906,0.7904
147,1,0.26,134,0.3348,0.9655,0.9462,0.9292,0.7812,0.7861
59,3,0.41000000000000003,172,1.0186,1.5555,1.5052,0.7886,0.6382,0.6402
190,2,0.13,160,0.3779,0.9409,0.9232,0.9191,0.7793,0.7828
484,3,0.06,100,0.4098,0.9371,0.9476,0.9092,0.7810,0.7822
97,1,0.5,242,0.2412,0.8817,0.8599,0.9553,0.7895,0.7907
18,3,0.3,174,0.7993,1.4487,1.4467,0.8426,0.6751,0.6870
261,3,0.14,153,0.4050,0.9324,0.9084,0.9103,0.7774,0.7833
257,1,0.19,108,0.3770,0.9498,0.9309,0.9186,0.7841,0.7859
45,1,0.5,210,0.2672,0.8820,0.8908,0.9512,0.7910,0.7822
60,3,0.34,163,0.6523,1.2740,1.3072,0.8558,0.7028,0.7038
72,3,0.38,276,0.6691,1.2153,1.2130,0.8659,0.7293,0.7325
183,3,0.28,242,0.4411,0.9451,0.9258,0.9043,0.7683,0.7735
333,2,0.11,292,0.4356,0.9163,0.8924,0.9068,0.7799,0.7869
497,3,0.45,153,0.3302,0.9039,0.8937,0.9398,0.7735,0.7806
302,2,0.45,257,0.2928,0.8744,0.8722,0.9433,0.7866,0.7940
263,1,0.02,89,0.3715,0.9902,0.9530,0.9228,0.7804,0.7836
118,3,0.47000000000000003,48,0.6607,1.3049,1.2636,0.8722,0.6990,0.7029
114,1,0.16,52,0.3944,0.9898,0.9993,0.9142,0.7777,0.7747
182,2,0.44,131,0.3143,0.9067,0.8849,0.9393,0.7761,0.7832
195,3,0.37,49,0.4408,1.0478,1.0401,0.9103,0.7514,0.7524
191,1,0.22,124,0.3964,0.9646,0.9424,0.9168,0.7805,0.7835
278,2,0.24,192,0.4081,0.9147,0.8927,0.9156,0.7818,0.7850
55,1,0.14,120,0.4067,0.9896,1.0033,0.9131,0.7764,0.7735
393,2,0.02,184,0.3881,0.9313,0.9451,0.9154,0.7806,0.7803
357,1,0.25,263,0.3853,0.9103,0.9012,0.9195,0.7856,0.7845
255,1,0.19,268,0.4257,0.9369,0.8995,0.9091,0.7757,0.7883
48,3,0.34,88,0.8132,1.4020,1.3960,0.8171,0.6648,0.6669
117,3,0.05,110,0.5405,1.0102,1.0072,0.8775,0.7604,0.7679
484,3,0.28,280,0.2891,0.8711,0.8733,0.9397,0.7876,0.7905
137,3,0.05,168,0.5054,0.9785,0.9695,0.8910,0.7735,0.7749
23,2,0.0,276,0.4480,1.1117,1.1037,0.9083,0.7602,0.7666
115,1,0.31,178,0.3753,0.9363,0.9146,0.9227,0.7834,0.7871
56,1,0.13,82,0.4473,1.0405,1.0328,0.9045,0.7687,0.7752
50,1,0.22,250,0.4546,0.9809,0.9694,0.9017,0.7739,0.7777
108,3,0.32,257,0.4963,0.9924,0.9834,0.8944,0.7630,0.7669
143,2,0.47000000000000003,143,0.3481,0.9622,0.9191,0.9364,0.7678,0.7779
160,1,0.3,250,0.3665,0.9187,0.9184,0.9235,0.7863,0.7838
174,1,0.15,82,0.3863,0.9578,0.9564,0.9179,0.7838,0.7801
145,2,0.24,207,0.4293,0.9161,0.9194,0.9094,0.7794,0.7826
94,1,0.01,168,0.4401,0.9931,0.9577,0.9098,0.7727,0.7813
68,3,0.28,206,0.5334,1.1033,1.1176,0.8942,0.7591,0.7540
16,3,0.3,75,1.2245,1.6771,1.6861,0.6973,0.5785,0.5848
151,2,0.14,218,0.3345,0.9332,0.9420,0.9291,0.7870,0.7871
132,3,0.38,164,0.4431,1.0384,0.9999,0.9197,0.7644,0.7694
125,1,0.06,144,0.4122,0.9627,0.9481,0.9119,0.7823,0.7815
487,1,0.38,212,0.4001,0.9182,0.9000,0.9243,0.7831,0.7853
134,3,0.36,257,0.4677,1.0111,0.9990,0.9089,0.7636,0.7646
34,3,0.3,103,0.8023,1.3560,1.3474,0.8390,0.7129,0.7095
11,1,0.23,111,0.4905,1.0656,1.0587,0.9052,0.7647,0.7713
