hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,0.4062,0.5257,0.5488,0.9099,0.8814,0.8750
147,1,0.26,134,0.3583,0.5250,0.5509,0.9145,0.8819,0.8759
59,3,0.41000000000000003,172,0.6913,0.8089,0.8348,0.8693,0.8300,0.8345
190,2,0.13,160,0.4017,0.5379,0.5700,0.9078,0.8808,0.8734
484,3,0.06,100,0.3827,0.5509,0.5845,0.9102,0.8770,0.8732
97,1,0.5,242,0.4043,0.5133,0.5440,0.9090,0.8847,0.8766
18,3,0.3,174,1.2790,1.3139,1.3021,0.7890,0.7754,0.7687
261,3,0.14,153,0.3894,0.5291,0.5671,0.9083,0.8791,0.8712
257,1,0.19,108,0.3901,0.5391,0.5578,0.9053,0.8753,0.8701
45,1,0.5,210,0.4455,0.5398,0.5678,0.9030,0.8789,0.8692
60,3,0.34,163,0.4969,0.6738,0.6869,0.9001,0.8591,0.8568
72,3,0.38,276,0.5045,0.6536,0.6904,0.8974,0.8634,0.8608
183,3,0.28,242,0.3925,0.5232,0.5514,0.9114,0.8789,0.8684
333,2,0.11,292,0.4091,0.5425,0.5697,0.9064,0.8787,0.8725
497,3,0.45,153,0.4370,0.5290,0.5644,0.9019,0.8707,0.8664
302,2,0.45,257,0.4277,0.5225,0.5642,0.9046,0.8819,0.8744
263,1,0.02,89,0.3876,0.5512,0.5849,0.9048,0.8777,0.8690
118,3,0.47000000000000003,48,0.5457,0.6639,0.6982,0.8933,0.8618,0.8560
114,1,0.16,52,0.3948,0.5387,0.5808,0.9079,0.8788,0.8707
182,2,0.44,131,0.4165,0.5295,0.5599,0.9082,0.8791,0.8729
195,3,0.37,49,0.4494,0.5645,0.5992,0.9026,0.8693,0.8620
191,1,0.22,124,0.3814,0.5310,0.5561,0.9089,0.8832,0.8753
278,2,0.24,192,0.4559,0.5326,0.5753,0.8938,0.8815,0.8699
55,1,0.14,120,0.3944,0.5564,0.5736,0.9080,0.8775,0.8713
393,2,0.02,184,0.3812,0.5481,0.5894,0.9104,0.8799,0.8689
357,1,0.25,263,0.3780,0.5453,0.5576,0.9098,0.8824,0.8767
255,1,0.19,268,0.4208,0.5375,0.5743,0.9029,0.8768,0.8714
48,3,0.34,88,0.7543,0.8396,0.8720,0.8715,0.8393,0.8376
117,3,0.05,110,0.3879,0.5437,0.5678,0.9098,0.8809,0.8748
484,3,0.28,280,0.4300,0.5212,0.5714,0.9008,0.8808,0.8671
137,3,0.05,168,0.3903,0.5444,0.5739,0.9093,0.8760,0.8740
23,2,0.0,276,0.3493,0.5731,0.5861,0.9117,0.8771,0.8699
115,1,0.31,178,0.3797,0.5189,0.5517,0.9114,0.8819,0.8757
56,1,0.13,82,0.3848,0.5413,0.5790,0.9101,0.8771,0.8751
50,1,0.22,250,0.3846,0.5452,0.5631,0.9105,0.8817,0.8779
108,3,0.32,257,0.4444,0.5597,0.5903,0.9057,0.8776,0.8690
143,2,0.47000000000000003,143,0.4126,0.5251,0.5614,0.9098,0.8805,0.8725
160,1,0.3,250,0.3805,0.5199,0.5494,0.9100,0.8850,0.8771
174,1,0.15,82,0.3768,0.5363,0.5741,0.9114,0.8807,0.8744
145,2,0.24,207,0.3887,0.5209,0.5558,0.9087,0.8838,0.8784
94,1,0.01,168,0.3672,0.5378,0.5620,0.9121,0.8795,0.8753
68,3,0.28,206,0.4492,0.5861,0.6289,0.9063,0.8754,0.8684
16,3,0.3,75,1.1676,1.2027,1.2115,0.8108,0.7859,0.7841
151,2,0.14,218,0.3986,0.5372,0.5656,0.9070,0.8787,0.8729
132,3,0.38,164,0.4272,0.5421,0.5710,0.9092,0.8788,0.8715
125,1,0.06,144,0.3961,0.5509,0.5810,0.9073,0.8812,0.8730
487,1,0.38,212,0.3940,0.5244,0.5579,0.9070,0.8791,0.8767
134,3,0.36,257,0.4332,0.5439,0.5831,0.9088,0.8796,0.8728
34,3,0.3,103,0.8423,0.9363,0.9649,0.8529,0.8189,0.8215
11,1,0.23,111,0.4296,0.5701,0.6049,0.9093,0.8796,0.8706
