hidden_size,nlayers,dropout,pca_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc
87,1,0.48,209,1.0634,1.0525,1.0899,0.7449,0.7570,0.7340
147,1,0.26,134,0.6733,0.6911,0.7393,0.8496,0.8480,0.8371
59,3,0.41000000000000003,172,1.4228,1.3952,1.4016,0.6757,0.6923,0.6751
190,2,0.13,160,0.4805,0.5694,0.5983,0.8867,0.8749,0.8624
484,3,0.06,100,0.4097,0.5567,0.5845,0.9037,0.8769,0.8707
97,1,0.5,242,1.0275,1.0046,1.0485,0.7537,0.7669,0.7444
18,3,0.3,174,1.9948,1.9765,1.9494,0.5411,0.5584,0.5480
261,3,0.14,153,0.4926,0.5709,0.6085,0.8847,0.8690,0.8586
257,1,0.19,108,0.5705,0.6304,0.6661,0.8712,0.8565,0.8503
45,1,0.5,210,1.3105,1.2880,1.3164,0.6905,0.7055,0.6863
60,3,0.34,163,1.3037,1.2737,1.2955,0.6930,0.7094,0.6911
72,3,0.38,276,1.1595,1.1384,1.1593,0.7242,0.7333,0.7215
183,3,0.28,242,0.5906,0.6169,0.6636,0.8590,0.8580,0.8422
333,2,0.11,292,0.4280,0.5490,0.5864,0.9004,0.8791,0.8703
497,3,0.45,153,0.8098,0.7824,0.8441,0.8038,0.8179,0.7932
302,2,0.45,257,0.7425,0.7268,0.7803,0.8264,0.8368,0.8166
263,1,0.02,89,0.5021,0.6158,0.6611,0.8833,0.8631,0.8534
118,3,0.47000000000000003,48,1.5579,1.5391,1.5389,0.6473,0.6650,0.6495
114,1,0.16,52,0.8998,0.8970,0.9414,0.7928,0.7984,0.7815
182,2,0.44,131,0.9864,0.9557,1.0085,0.7627,0.7798,0.7541
195,3,0.37,49,1.1076,1.0867,1.1316,0.7398,0.7528,0.7313
191,1,0.22,124,0.6296,0.6664,0.7012,0.8591,0.8539,0.8419
278,2,0.24,192,0.6012,0.6180,0.6676,0.8610,0.8594,0.8457
55,1,0.14,120,0.8110,0.8230,0.8711,0.8155,0.8209,0.7978
393,2,0.02,184,0.4364,0.5704,0.6091,0.8973,0.8731,0.8668
357,1,0.25,263,0.4824,0.5541,0.5992,0.8935,0.8739,0.8642
255,1,0.19,268,0.4768,0.5648,0.6019,0.8902,0.8731,0.8651
48,3,0.34,88,1.5098,1.4837,1.4917,0.6405,0.6609,0.6453
117,3,0.05,110,0.5334,0.6119,0.6505,0.8758,0.8631,0.8551
484,3,0.28,280,0.4972,0.5492,0.5959,0.8847,0.8739,0.8622
137,3,0.05,168,0.5121,0.5949,0.6311,0.8813,0.8655,0.8557
23,2,0.0,276,0.7077,0.7804,0.8120,0.8470,0.8416,0.8284
115,1,0.31,178,0.7415,0.7465,0.7898,0.8368,0.8368,0.8224
56,1,0.13,82,0.9164,0.9142,0.9588,0.7920,0.8000,0.7774
50,1,0.22,250,0.7338,0.7472,0.7917,0.8358,0.8360,0.8183
108,3,0.32,257,0.8190,0.8069,0.8527,0.8173,0.8244,0.8042
143,2,0.47000000000000003,143,1.0756,1.0512,1.0949,0.7385,0.7537,0.7317
160,1,0.3,250,0.5684,0.6065,0.6547,0.8737,0.8672,0.8555
174,1,0.15,82,0.6886,0.7211,0.7639,0.8441,0.8442,0.8244
145,2,0.24,207,0.5955,0.6267,0.6671,0.8608,0.8628,0.8443
94,1,0.01,168,0.5530,0.6483,0.6781,0.8756,0.8593,0.8497
68,3,0.28,206,0.9725,0.9483,1.0007,0.7672,0.7778,0.7567
16,3,0.3,75,2.2973,2.2714,2.2354,0.4547,0.4719,0.4727
151,2,0.14,218,0.4990,0.5661,0.6110,0.8818,0.8711,0.8584
132,3,0.38,164,1.0061,0.9758,1.0141,0.7546,0.7677,0.7448
125,1,0.06,144,0.5257,0.6263,0.6609,0.8806,0.8638,0.8532
487,1,0.38,212,0.5973,0.6193,0.6709,0.8690,0.8706,0.8499
134,3,0.36,257,0.8139,0.7857,0.8382,0.8092,0.8210,0.8016
34,3,0.3,103,1.6299,1.6020,1.6057,0.6498,0.6678,0.6510
11,1,0.23,111,1.6104,1.5793,1.5848,0.6362,0.6583,0.6420
